Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1997-11-21,19.375,19.375,17.625,17.875,3659300.0
1997-11-24,18.75,18.75,17.625,17.9375,1071300.0
1997-11-25,18.125,18.875,17.0,17.0,356000.0
1997-11-26,17.1875,17.375,14.875,15.625,486600.0
1997-11-28,15.5,15.625,15.25,15.375,88200.0
1997-12-01,16.375,16.75,16.0,16.375,282500.0
1997-12-02,16.5,16.5,15.875,16.25,173700.0
1997-12-03,16.0,16.25,15.0,15.75,261900.0
1997-12-04,15.75,16.125,15.5,16.0625,85900.0
1997-12-05,16.125,16.375,15.5,15.5,103300.0
1997-12-08,15.875,16.875,15.5,16.875,114400.0
1997-12-09,16.875,17.375,16.625,16.6875,103400.0
1997-12-10,16.625,16.875,16.375,16.625,60900.0
1997-12-11,16.4375,16.75,15.3125,15.625,111000.0
1997-12-12,15.75,16.125,15.5,16.125,140600.0
1997-12-15,16.125,16.875,15.625,16.875,82200.0
1997-12-16,17.0,18.125,16.5,17.3125,114200.0
1997-12-17,17.375,17.375,16.0,16.0,180700.0
1997-12-18,16.25,16.25,14.75,14.875,319200.0
1997-12-19,14.875,14.875,13.75,14.5,217400.0
1997-12-22,14.625,15.0,14.375,14.5,113100.0
1997-12-23,14.5,14.875,14.375,14.5,36800.0
1997-12-24,14.75,14.75,13.9375,14.0,53000.0
1997-12-26,13.875,14.25,13.625,14.0,37600.0
1997-12-29,14.125,14.375,13.625,13.75,115200.0
1997-12-30,13.625,14.625,13.625,14.25,167100.0
1997-12-31,14.5,14.875,13.75,13.875,110500.0
1998-01-02,13.875,14.375,13.875,14.25,104900.0
1998-01-05,14.375,14.5,13.875,13.875,199900.0
1998-01-06,13.9375,14.125,13.5,14.0,87100.0
1998-01-07,14.0,14.0,13.5,13.875,84300.0
1998-01-08,14.0,14.5,13.75,14.4375,84200.0
1998-01-09,14.5,14.75,13.875,14.0625,139900.0
1998-01-12,13.75,14.625,13.75,14.5625,83400.0
1998-01-13,14.75,16.5,14.625,16.375,219000.0
1998-01-14,16.75,16.75,15.875,15.875,69300.0
1998-01-15,16.125,16.125,15.75,16.125,28600.0
1998-01-16,16.75,16.9375,15.875,16.0,70600.0
1998-01-20,16.1875,16.5,15.875,16.375,110300.0
1998-01-21,16.3125,16.5,15.75,16.125,110700.0
1998-01-22,16.0,16.5,15.75,16.125,64600.0
1998-01-23,16.25,16.25,16.0,16.0,135400.0
1998-01-26,16.375,17.5,16.25,16.75,114500.0
1998-01-27,16.875,17.25,16.4375,16.625,150800.0
1998-01-28,17.0,17.125,16.625,17.125,34600.0
1998-01-29,17.125,17.125,16.125,16.375,95200.0
1998-01-30,16.375,16.375,14.875,15.0,173100.0
1998-02-02,15.25,15.375,14.625,14.625,251500.0
1998-02-03,14.875,15.125,14.375,15.0,91700.0
1998-02-04,15.125,15.75,15.0,15.5625,75000.0
1998-02-05,15.5,15.875,14.9375,15.375,58100.0
1998-02-06,14.875,15.375,14.875,15.125,26000.0
1998-02-09,15.0,15.4375,15.0,15.1875,77800.0
1998-02-10,15.125,16.5,15.125,15.875,112900.0
1998-02-11,16.125,16.25,15.75,16.1875,54900.0
1998-02-12,16.1875,17.0,16.1875,16.875,145300.0
1998-02-13,16.6875,16.875,16.0,16.3125,94000.0
1998-02-17,16.125,16.4375,16.0,16.0625,85500.0
1998-02-18,16.1875,16.1875,15.0,15.375,101100.0
1998-02-19,15.4375,15.5,14.625,15.5,146200.0
1998-02-20,15.25,15.375,14.75,14.75,99200.0
1998-02-23,15.0,15.0,14.75,14.8125,186100.0
1998-02-24,15.0,15.0,14.75,14.9375,153900.0
1998-02-25,14.875,15.0,14.625,14.6875,93900.0
1998-02-26,14.875,14.875,14.625,14.6875,61600.0
1998-02-27,14.75,15.0,14.5,15.0,152200.0
1998-03-02,15.0,15.0,14.625,14.9375,248300.0
1998-03-03,14.75,15.75,14.75,15.75,304700.0
1998-03-04,15.75,16.75,15.625,16.0,196000.0
1998-03-05,16.25,16.25,15.75,16.0,105900.0
1998-03-06,15.75,16.3125,15.75,16.1875,229900.0
1998-03-09,16.3125,17.0,16.1875,16.6875,214700.0
1998-03-10,16.75,18.625,16.75,18.125,432800.0
1998-03-11,18.625,20.0,18.5,19.125,548000.0
1998-03-12,19.75,19.9375,19.125,19.125,190200.0
1998-03-13,19.5,19.5,18.875,19.125,92300.0
1998-03-16,19.375,19.375,19.125,19.25,104400.0
1998-03-17,19.5,19.625,18.75,18.75,83900.0
1998-03-18,18.75,19.0,18.375,18.5,86800.0
1998-03-19,18.875,19.875,18.5,19.875,114900.0
1998-03-20,20.0,20.625,19.625,20.125,112600.0
1998-03-23,20.75,20.75,19.75,19.75,162200.0
1998-03-24,19.75,23.0,19.5,22.4375,220000.0
1998-03-25,22.875,23.8125,22.25,22.6875,266600.0
1998-03-26,22.75,24.875,22.25,24.5,285700.0
1998-03-27,25.625,29.75,25.5,29.0,979100.0
1998-03-30,29.0,29.75,27.0625,27.875,443200.0
1998-03-31,27.875,29.0,27.3125,29.0,226900.0
1998-04-01,30.0,32.875,29.875,32.625,439100.0
1998-04-02,35.75,37.0,34.125,36.875,745000.0
1998-04-03,37.5,39.4375,36.0,36.875,779700.0
1998-04-06,38.375,38.625,35.625,36.96875,513800.0
1998-04-07,37.625,37.75,32.0,34.84375,596300.0
1998-04-08,34.8125,35.125,31.125,34.09375,548500.0
1998-04-09,34.875,36.375,34.625,35.75,320600.0
1998-04-13,36.125,36.4375,33.5,34.0,208400.0
1998-04-14,33.875,34.125,32.625,32.75,374900.0
1998-04-15,32.5625,32.75,30.375,30.75,486600.0
1998-04-16,29.75,32.0,27.1875,32.0,1306100.0
1998-04-17,33.125,35.0,32.25,32.875,530000.0
1998-04-20,33.125,33.5,31.125,31.5,271700.0
1998-04-21,31.125,33.625,30.75,32.4375,335100.0
1998-04-22,36.75,36.75,33.0,33.5625,603300.0
1998-04-23,34.125,34.375,28.0,31.0,380100.0
1998-04-24,31.0,31.875,30.0,30.375,203400.0
1998-04-27,30.125,31.25,27.75,31.125,296400.0
1998-04-28,33.5,34.5,31.8125,32.5,462400.0
1998-04-29,34.375,34.375,32.8125,33.25,307200.0
1998-04-30,34.125,34.5,33.125,33.9375,277600.0
1998-05-01,34.125,34.4375,33.0,33.0,140600.0
1998-05-04,33.125,33.125,31.5,31.875,217900.0
1998-05-05,31.75,31.75,30.125,30.375,239800.0
1998-05-06,30.75,31.4375,29.5625,29.625,227700.0
1998-05-07,29.75,29.75,26.5625,27.0,676000.0
1998-05-08,27.0,28.9375,26.1875,27.84375,345100.0
1998-05-11,27.875,29.25,27.0,27.5,184700.0
1998-05-12,27.125,27.875,26.625,27.25,166400.0
1998-05-13,26.8125,29.25,26.8125,28.0,170900.0
1998-05-14,28.0,28.9375,26.75,28.53125,200100.0
1998-05-15,28.625,28.6875,27.5,27.5,147200.0
1998-05-18,27.5,27.875,26.5,26.875,195200.0
1998-05-19,26.875,27.375,25.125,25.4375,210600.0
1998-05-20,24.9375,25.25,23.9375,24.78125,431100.0
1998-05-21,24.875,24.875,22.0,23.375,1155100.0
1998-05-22,23.0,23.8125,23.0,23.75,316600.0
1998-05-26,23.875,24.25,23.125,23.625,385500.0
1998-05-27,22.875,23.875,22.625,23.625,562100.0
1998-05-28,24.0,24.125,22.75,22.75,110700.0
1998-05-29,23.25,23.25,22.75,23.125,480100.0
1998-06-01,22.9375,23.25,22.25,22.5,58400.0
1998-06-02,22.9375,22.9375,21.375,21.65625,118500.0
1998-06-03,21.625,22.375,21.25,21.25,105400.0
1998-06-04,21.375,21.375,20.0,20.4375,173600.0
1998-06-05,20.0625,22.75,19.9375,22.3125,274500.0
1998-06-08,22.375,26.25,22.25,26.0,378900.0
1998-06-09,26.25,26.875,25.375,26.375,451300.0
1998-06-10,26.375,27.9375,24.0,26.25,429300.0
1998-06-11,26.5,26.6875,25.375,26.25,153100.0
1998-06-12,26.5,26.5,25.3125,25.5,95500.0
1998-06-15,25.125,25.5,24.0625,24.5625,225200.0
1998-06-16,25.125,25.9375,24.6875,25.9375,60700.0
1998-06-17,26.375,28.125,25.9375,27.5625,275900.0
1998-06-18,27.9375,29.375,27.625,28.875,329900.0
1998-06-19,29.375,31.625,29.25,31.3125,551500.0
1998-06-22,31.25,32.875,30.375,32.0,358700.0
1998-06-23,32.0,37.625,32.0,36.0,857200.0
1998-06-24,37.0,37.25,32.5,36.375,599300.0
1998-06-25,36.1875,36.625,33.875,34.4375,299700.0
1998-06-26,34.125,34.875,34.125,34.3125,267300.0
1998-06-29,34.4375,35.8125,34.25,35.5625,182300.0
1998-06-30,35.375,38.75,35.0,37.3125,600100.0
1998-07-01,38.125,41.5,37.875,40.5,521900.0
1998-07-02,41.625,45.375,39.0,40.0,863100.0
1998-07-06,40.25,42.125,35.625,37.875,483600.0
1998-07-07,38.75,39.75,35.0,35.5,611100.0
1998-07-08,31.625,34.5,30.875,33.75,474400.0
1998-07-09,34.75,36.25,33.75,34.3125,339700.0
1998-07-10,34.0,35.0,32.5,34.75,258600.0
1998-07-13,36.0,36.0,34.375,35.6875,324800.0
1998-07-14,36.75,38.375,35.875,37.375,346100.0
1998-07-15,38.375,41.0,38.0,39.125,439500.0
1998-07-16,39.25,40.5,37.375,40.1875,190500.0
1998-07-17,41.0,45.375,40.4375,42.125,1045600.0
1998-07-20,43.1875,45.875,43.0,45.0,515600.0
1998-07-21,45.375,48.25,44.125,45.0,465300.0
1998-07-22,44.25,45.0,42.25,44.25,415400.0
1998-07-23,44.625,45.5,37.375,37.5,699600.0
1998-07-24,33.25,36.375,32.25,33.25,837600.0
1998-07-27,33.125,33.125,25.0,28.25,1642600.0
1998-07-28,28.25,30.8125,27.5,30.125,1015500.0
1998-07-29,30.875,31.5,28.75,29.0,223900.0
1998-07-30,30.5,32.0,29.875,31.625,300900.0
1998-07-31,32.4375,32.625,29.125,29.6875,271500.0
1998-08-03,29.625,30.125,28.25,28.625,198100.0
1998-08-04,30.0,30.25,26.0,29.0,364700.0
1998-08-05,29.375,32.125,28.375,32.125,397500.0
1998-08-06,32.0,36.75,31.0625,36.0,588400.0
1998-08-07,36.5,36.75,33.875,34.5,174100.0
1998-08-10,35.5,35.5,34.125,34.75,62900.0
1998-08-11,32.625,34.0,31.75,33.125,509700.0
1998-08-12,33.5,34.75,32.5,33.0,103000.0
1998-08-13,32.5,33.0625,31.5,31.875,131500.0
1998-08-14,31.75,32.875,31.25,31.4375,230900.0
1998-08-17,30.5,32.25,30.5,31.375,114800.0
1998-08-18,31.625,32.125,31.375,31.5625,385900.0
1998-08-19,31.875,33.0,31.1875,31.5,159600.0
1998-08-20,32.1875,32.1875,30.1875,30.5,87200.0
1998-08-21,30.0,31.125,27.75,28.875,295100.0
1998-08-24,30.125,30.125,27.5625,27.875,124100.0
1998-08-25,28.0,28.5,28.0,28.5,260300.0
1998-08-26,28.25,28.375,26.25,26.875,182700.0
1998-08-27,26.125,26.125,21.5625,22.0,413700.0
1998-08-28,22.375,24.375,21.5,23.625,426000.0
1998-08-31,23.625,24.625,19.3125,19.75,333000.0
1998-09-01,20.0625,21.5,15.25,17.5,1617300.0
1998-09-02,21.875,22.0,19.1875,19.875,1594600.0
1998-09-03,19.625,19.625,18.5,18.5,303800.0
1998-09-04,19.5,20.25,18.25,19.1875,199100.0
1998-09-08,21.6875,21.875,19.5,19.875,325600.0
1998-09-09,19.8125,20.125,18.875,19.0,222700.0
