Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2002-11-22,12.05,13.4,12.0,12.9,1722100.0
2002-11-25,12.99,13.03,12.5,12.66,149800.0
2002-11-26,12.61,12.75,12.46,12.5,147600.0
2002-11-27,12.5,13.0,12.5,12.9,95100.0
2002-11-29,12.9,13.0,12.8,12.85,145900.0
2002-12-02,12.78,13.24,12.78,13.24,105900.0
2002-12-03,13.24,13.4,13.05,13.25,58600.0
2002-12-04,13.21,13.94,13.21,13.65,158100.0
2002-12-05,13.71,13.96,13.15,13.47,64200.0
2002-12-06,13.21,13.78,13.21,13.4,28500.0
2002-12-09,13.25,13.5,13.241,13.241,23200.0
2002-12-10,13.5,13.83,13.301,13.7,34300.0
2002-12-11,13.73,13.8,13.42,13.68,4800.0
2002-12-12,13.69,13.93,13.5,13.92,108100.0
2002-12-13,13.92,14.18,13.55,14.12,193000.0
2002-12-16,14.14,14.38,14.11,14.11,34400.0
2002-12-17,14.2,14.29,14.04,14.22,13200.0
2002-12-18,13.88,14.1,13.65,13.84,36800.0
2002-12-19,13.76,14.08,13.75,13.87,18700.0
2002-12-20,13.86,14.32,13.8,13.9,12200.0
2002-12-23,13.92,14.05,13.9,13.9,14000.0
2002-12-24,14.0,14.0,13.85,13.98,15000.0
2002-12-26,14.3,14.3,14.1,14.3,3400.0
2002-12-27,14.04,14.75,13.9,14.73,29100.0
2002-12-30,14.59,15.12,14.52,15.079,72200.0
2002-12-31,14.9,15.4,14.38,14.38,72900.0
2003-01-02,14.75,14.75,14.12,14.25,63300.0
2003-01-03,14.2,14.25,13.91,14.02,38700.0
2003-01-06,14.0,14.19,13.8,14.1,6500.0
2003-01-07,13.8,14.1,13.76,14.05,4000.0
2003-01-08,13.76,14.0,13.49,13.899,18200.0
2003-01-09,13.9,13.9,13.42,13.71,46700.0
2003-01-10,13.7,13.81,13.6,13.81,17700.0
2003-01-13,13.6,14.0,13.6,13.86,6900.0
