Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-01-30,4.0,4.0,3.75,4.0,11100.0
1995-01-31,4.0,4.375,4.0,4.375,3000.0
1995-02-02,3.75,3.75,3.75,3.75,2000.0
1995-02-03,3.75,3.75,3.75,3.75,3700.0
1995-02-06,3.75,3.75,3.75,3.75,5500.0
1995-02-07,3.75,3.75,3.75,3.75,3400.0
1995-02-08,3.75,3.75,3.75,3.75,3000.0
1995-02-09,3.75,3.875,3.75,3.875,3900.0
1995-02-10,3.75,3.75,3.75,3.75,2000.0
1995-02-13,4.25,4.25,3.75,3.75,6000.0
1995-02-14,3.75,4.0,3.75,3.75,3000.0
1995-02-15,3.75,4.25,3.75,4.0,6100.0
1995-02-16,3.75,3.75,3.75,3.75,2000.0
1995-02-17,3.75,4.0,3.75,4.0,79000.0
1995-02-21,3.75,4.0,3.625,3.625,5600.0
1995-02-22,3.625,4.0,3.375,3.4375,66300.0
1995-02-23,3.625,3.625,3.625,3.625,4000.0
1995-02-27,3.25,3.25,3.25,3.25,2300.0
1995-03-09,3.25,3.25,3.25,3.25,400.0
1995-03-10,3.75,3.75,3.25,3.25,2900.0
1995-03-13,3.75,3.75,3.25,3.5,4500.0
1995-03-15,3.5,3.75,3.375,3.75,6500.0
1995-03-17,3.375,3.375,3.375,3.375,200.0
1995-03-20,3.625,3.625,3.375,3.375,800.0
1995-03-22,3.6875,3.6875,3.625,3.625,4100.0
1995-03-24,3.375,3.6875,3.375,3.6875,11000.0
1995-03-27,3.5,3.875,3.5,3.875,17500.0
1995-03-28,3.875,3.875,3.75,3.75,5000.0
1995-03-29,3.875,3.875,3.625,3.75,7300.0
1995-03-30,3.875,4.25,3.75,4.25,18100.0
1995-03-31,4.0,4.5,4.0,4.375,29300.0
1995-04-03,4.5,4.75,4.125,4.25,5600.0
1995-04-04,4.25,4.625,4.25,4.5,5800.0
1995-04-05,4.375,4.5,4.25,4.375,18500.0
1995-04-06,4.5,4.5,4.375,4.375,1100.0
1995-04-07,4.125,4.125,4.125,4.125,200.0
1995-04-10,4.375,4.625,3.875,3.984375,15000.0
1995-04-11,3.875,4.125,3.875,4.125,2800.0
1995-04-13,3.875,4.0,3.875,4.0,2000.0
1995-04-17,3.875,3.875,3.875,3.875,400.0
1995-04-18,3.6875,3.875,3.6875,3.875,4000.0
1995-04-20,4.0,4.0,4.0,4.0,1000.0
1995-04-24,4.0,4.0,3.5,3.5,3000.0
1995-04-26,4.125,4.125,3.875,3.875,14500.0
1995-04-27,3.875,3.875,3.875,3.875,1900.0
1995-05-03,3.625,3.625,3.625,3.625,2300.0
