Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-10-01,6.6,7.0,6.5,7.0,78910.0
2018-10-02,6.82,6.91,6.6,6.65,60457.0
2018-10-03,6.59,6.72,6.445,6.6,57659.0
2018-10-04,6.2,6.51,6.2,6.33,68516.0
2018-10-05,6.38,6.6,6.22,6.5,20017.0
2018-10-08,6.41,6.485,6.32,6.44,60612.0
2018-10-09,6.38,6.5,6.25,6.39,54441.0
2018-10-10,6.35,6.37,6.12,6.16,58271.0
2018-10-11,6.12,6.25,5.91,5.96,67670.0
2018-10-12,5.95,6.01,5.755,5.97,37946.0
2018-10-15,6.02,6.28,5.98,6.18,29094.0
2018-10-16,6.19,6.25,6.0,6.1,74074.0
2018-10-17,6.04,6.27,6.04,6.23,47639.0
2018-10-18,6.2,6.45,6.18,6.21,39524.0
2018-10-19,6.21,6.35,6.17,6.25,25343.0
2018-10-22,6.21,6.53,6.21,6.32,20026.0
2018-10-23,6.28,6.43,6.12,6.26,13201.0
2018-10-24,6.26,6.3,6.18,6.2,44503.0
2018-10-25,6.19,6.24,6.06,6.19,11583.0
2018-10-26,6.13,6.23,5.97,6.05,25720.0
2018-10-29,6.09,6.09,5.8,5.85,32830.0
2018-10-30,5.8,5.99,5.78,5.87,29003.0
2018-10-31,5.92,6.05,5.825,5.92,32208.0
2018-11-01,5.95,6.46,5.87,6.27,54032.0
2018-11-02,6.29,6.29,6.08,6.2,18360.0
2018-11-05,6.12,6.22,6.01,6.05,46400.0
2018-11-06,6.02,6.12,5.95,6.06,33743.0
2018-11-07,6.11,6.24,6.0,6.13,86722.0
2018-11-08,6.3,6.4,6.1,6.2,125516.0
2018-11-09,6.17,6.21,6.12,6.17,45465.0
2018-11-12,6.14,6.15,5.82,5.93,178986.0
2018-11-13,5.85,5.94,5.85,5.91,130278.0
2018-11-14,5.96,5.99,5.75,5.87,149768.0
2018-11-15,5.86,5.96,5.75,5.89,52204.0
2018-11-16,5.9,6.07,5.8,6.03,45247.0
2018-11-19,6.0,6.41,6.0,6.29,168847.0
2018-11-20,6.34,6.35,6.18,6.35,49933.0
2018-11-21,6.35,6.41,6.19,6.3,36882.0
2018-11-23,6.23,6.275,6.07,6.08,24836.0
2018-11-26,6.11,6.2,6.01,6.01,56871.0
2018-11-27,5.98,6.03,5.98,5.98,10462.0
2018-11-28,6.0,6.09,5.98,6.04,43701.0
2018-11-29,6.04,6.05,5.98,6.04,35660.0
2018-11-30,6.0,6.23,5.98,6.2,50761.0
2018-12-03,6.24,6.24,5.95,5.97,102876.0
2018-12-04,5.99,6.12,5.99,6.06,50542.0
2018-12-06,5.96,6.11,5.88,6.1,30530.0
2018-12-07,6.1,6.11,5.97,5.99,140739.0
2018-12-10,6.35,6.37,6.07,6.09,114374.0
2018-12-11,6.16,6.29,6.1,6.14,88005.0
2018-12-12,6.19,6.25,6.1,6.17,37783.0
2018-12-13,6.2,6.28,5.93,5.97,81809.0
2018-12-14,5.91,5.91,5.7,5.7,44043.0
2018-12-17,5.7,6.03,5.7,5.95,96629.0
2018-12-18,5.98,6.21,5.955,6.16,101114.0
2018-12-19,6.16,6.44,6.16,6.41,135822.0
2018-12-20,6.39,6.39,6.095,6.29,55711.0
