Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-09-02,154.3,154.3,154.3,154.3,10.0
2016-09-07,150.0,160.0,150.0,160.0,32.0
2016-09-09,158.4,158.8,158.4,158.4,48.0
2016-09-13,140.5,140.5,120.0,120.0,206.5
2016-09-14,115.0,115.0,97.5,97.5,102.5
2016-09-15,112.5,122.89999999999999,112.5,122.89999999999999,45.0
2016-09-16,120.0,120.0,110.5,110.60000000000001,278.4
2016-09-19,106.5,111.0,106.5,110.19999999999999,140.4
2016-09-20,111.0,111.0,110.9,110.9,15.4
2016-09-21,117.0,117.0,110.0,110.0,10.2
2016-09-22,110.0,111.6,110.0,111.19999999999999,60.0
2016-09-23,115.9,120.0,115.9,120.0,17.0
2016-09-26,118.0,118.0,118.0,118.0,40.0
2016-09-27,119.9,119.9,119.9,119.9,10.0
2016-09-28,118.5,141.3,118.5,141.2,360.5
2016-09-29,158.7,158.7,127.10000000000001,134.0,91.0
2016-10-03,132.6,132.6,132.0,132.0,20.0
2016-10-04,138.0,138.0,138.0,138.0,40.0
2016-10-05,140.0,162.5,140.0,150.0,344.0
2016-10-06,145.0,148.0,145.0,148.0,77.9
2016-10-07,145.0,145.5,145.0,145.0,150.0
2016-10-10,142.5,142.6,142.5,142.5,770.0
2016-10-11,141.4,142.0,140.0,142.0,515.0
2016-10-12,140.0,141.2,140.0,141.0,77.5
2016-10-13,141.0,142.0,141.0,142.0,56.8
2016-10-14,141.0,142.0,140.0,142.0,208.0
2016-10-17,140.8,140.8,140.8,140.8,37.5
2016-10-18,141.9,144.0,141.9,144.0,297.6
2016-10-19,150.0,150.0,148.0,150.0,80.0
2016-10-20,149.0,150.0,147.4,147.4,150.1
2016-10-21,148.9,148.9,140.0,142.0,380.0
2016-10-25,145.29999999999998,145.29999999999998,145.0,145.0,300.0
2016-10-27,136.6,137.0,135.0,136.6,645.2
2016-10-28,134.0,134.0,134.0,134.0,10.0
2016-11-01,132.5,135.0,132.5,135.0,70.0
2016-11-02,132.5,133.0,127.5,127.5,194.8
2016-11-03,140.0,145.0,140.0,145.0,30.0
2016-11-04,134.0,134.0,134.0,134.0,10.0
2016-11-07,120.60000000000001,126.0,120.5,125.9,57.5
2016-11-08,130.0,134.2,130.0,134.2,120.0
2016-11-11,110.7,119.80000000000001,110.5,115.60000000000001,180.0
2016-11-14,117.8,118.3,110.7,112.0,365.0
2016-11-15,134.4,134.4,122.4,122.4,10.7
2016-11-16,119.60000000000001,119.60000000000001,119.1,119.1,120.0
2016-11-17,117.6,117.6,117.6,117.6,60.0
2016-11-18,123.5,125.0,123.5,125.0,90.0
2016-11-21,129.5,129.8,129.5,129.8,40.0
2016-11-23,138.8,138.8,138.8,138.8,10.0
2016-11-29,137.7,137.7,136.6,136.6,69.2
2016-11-30,139.0,142.5,139.0,142.5,382.4
2016-12-02,150.0,150.0,145.0,145.0,20.0
2016-12-05,145.29999999999998,147.3,145.29999999999998,147.3,30.0
2016-12-07,145.0,145.1,145.0,145.1,50.0
2016-12-08,136.0,136.0,136.0,136.0,10.0
2016-12-09,148.0,154.5,147.5,152.5,855.0
2016-12-12,157.79999999999998,157.79999999999998,157.79999999999998,157.79999999999998,10.0
2016-12-13,159.5,159.5,158.0,158.0,37.5
2016-12-14,157.5,157.5,157.5,157.5,269.0
2016-12-15,154.60000000000002,155.0,146.8,147.5,274.8
2016-12-16,154.0,154.0,154.0,154.0,150.0
