Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-10-25,8.5,9.14,8.31,8.62,102541.0
2013-10-28,8.52,8.95,8.25,8.4,16254.0
2013-10-29,8.74,9.88,8.25,9.88,19115.0
2013-10-30,9.58,10.0,9.4,9.4,7371.0
2013-10-31,8.71,9.69,8.71,9.66,2095.0
2013-11-01,9.58,9.6,8.95,8.95,3100.0
2013-11-04,9.5,9.5,9.5,9.5,
2013-11-05,9.4,9.4,9.4,9.4,200.0
2013-11-06,9.4,9.44,8.74,8.74,46664.0
2013-11-07,9.12,9.15,8.46,8.61,10900.0
2013-11-08,8.24,8.75,8.24,8.73,2500.0
2013-11-11,8.91,8.91,8.91,8.91,100.0
2013-11-12,8.95,8.97,8.91,8.97,1500.0
2013-11-13,8.6,8.8,8.6,8.74,16828.0
2013-11-14,8.75,8.75,8.74,8.74,2200.0
2013-11-15,8.75,8.75,8.68,8.68,7700.0
2013-11-18,9.0,9.0,8.6,8.6,2200.0
2013-11-19,9.0,9.0,8.5,8.74,5854.0
2013-11-20,8.73,8.75,8.73,8.75,12003.0
2013-11-21,8.75,8.8,8.21,8.21,10981.0
2013-11-22,8.6,8.6,8.42,8.48,10080.0
2013-11-25,8.55,8.55,8.42,8.42,10023.0
2013-11-26,8.54,8.54,8.48,8.54,9576.0
2013-11-27,8.54,8.55,8.54,8.55,200.0
2013-11-29,8.54,8.8,8.48,8.8,4230.0
2013-12-02,8.99,8.99,8.56,8.72,7117.0
2013-12-03,9.64,9.75,8.5,8.5,42749.0
2013-12-04,8.69,8.69,8.46,8.57,7097.0
2013-12-05,8.61,8.99,8.6,8.99,2825.0
2013-12-06,8.89,8.93,8.71,8.74,2900.0
2013-12-09,8.83,9.29,8.83,9.28,3180.0
2013-12-10,9.3,9.3,9.0,9.18,4186.0
2013-12-11,9.11,9.39,9.02,9.39,600.0
2013-12-12,9.0,9.33,9.0,9.33,8076.0
2013-12-13,9.3,9.6,9.3,9.46,6905.0
2013-12-16,9.69,10.3,9.59,10.235,69242.0
2013-12-17,10.3,10.3,9.0,9.39,29850.0
2013-12-18,9.4,9.525,8.41,8.48,33166.0
2013-12-19,8.28,8.28,7.86,7.9,77957.0
2013-12-20,8.16,8.25,7.9,8.02,210384.0
2013-12-23,8.23,8.28,8.03,8.15,18562.0
2013-12-24,8.23,8.28,8.15,8.2,5805.0
2013-12-26,8.2,8.29,8.15,8.17,4829.0
2013-12-27,8.2,8.35,8.13,8.13,22355.0
2013-12-30,8.1,8.24,8.1,8.22,5599.0
2013-12-31,8.19,8.38,8.1,8.1,13385.0
2014-01-02,8.19,8.21,7.99,8.09,3395.0
2014-01-03,8.19,8.19,7.95,8.0,7827.0
2014-01-06,8.14,8.28,7.94,8.2,25261.0
2014-01-07,8.22,8.36,8.14,8.24,17509.0
2014-01-08,8.38,8.4,8.1,8.12,15129.0
2014-01-09,8.27,8.4,8.12,8.36,11236.0
2014-01-10,8.46,8.84,8.4,8.75,13339.0
2014-01-13,8.84,8.9,8.7,8.77,9069.0
2014-01-14,8.82,9.03,8.82,8.97,6464.0
