Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-05-24,14.25,16.0,14.0,15.5,648138.0
2018-05-25,15.21,15.44,14.7,15.0,37396.0
2018-05-29,14.94,16.6,14.8,16.12,33825.0
2018-05-30,16.0,16.57,15.98,16.5,51024.0
2018-05-31,16.61,17.8,16.55,17.49,17536.0
2018-06-01,17.63,19.83,17.63,19.65,29724.0
2018-06-04,19.94,19.94,16.8,17.5,16915.0
2018-06-05,17.44,17.9,17.0,17.25,3792.0
2018-06-06,17.45,17.71,17.41,17.44,2652.0
2018-06-07,17.51,19.3,17.25,19.3,9671.0
2018-06-08,19.0,19.0,18.18,18.76,13772.0
2018-06-11,18.74,18.77,17.31,17.31,7176.0
2018-06-12,17.52,18.54,17.41,17.61,4779.0
2018-06-13,17.76,18.92,17.61,18.92,18975.0
2018-06-14,18.8,19.53,18.07,18.7,17824.0
2018-06-15,18.38,18.95,18.2,18.8,8582.0
2018-06-18,18.13,21.45,18.12,20.76,25308.0
2018-06-19,21.35,26.89,21.35,25.6,25347.0
2018-06-20,25.35,26.0,21.6,22.55,30139.0
2018-06-21,22.29,25.01,21.5,23.17,40972.0
2018-06-22,23.88,23.88,21.62,21.62,14238.0
2018-06-25,21.49,21.49,19.0,19.75,27927.0
2018-06-26,19.89,22.5,19.0,21.76,8904.0
2018-06-27,21.64,21.64,18.02,18.48,14614.0
2018-06-28,18.34,18.95,15.62,15.8,18710.0
2018-06-29,15.92,17.4,15.6,15.6,36365.0
2018-07-02,15.69,16.84,14.25,14.83,35474.0
2018-07-03,14.86,15.62,14.85,15.0,6278.0
2018-07-05,15.1,15.36,14.79,15.01,13291.0
2018-07-06,15.07,15.98,15.0,15.11,17166.0
2018-07-09,15.24,15.58,14.56,14.99,9469.0
2018-07-10,14.88,15.62,14.88,15.39,28168.0
2018-07-11,15.25,16.0,15.25,15.66,3208.0
2018-07-12,15.79,16.49,15.53,15.95,14668.0
2018-07-13,15.94,17.5,15.6,16.0,20088.0
2018-07-16,15.79,15.96,15.23,15.3,14945.0
2018-07-17,15.46,15.7,15.06,15.2,5493.0
2018-07-18,15.23,15.59,15.1,15.25,11734.0
2018-07-19,15.2,15.86,15.2,15.4,6506.0
2018-07-20,15.32,15.73,15.32,15.41,12254.0
2018-07-23,15.43,15.59,15.0,15.0,8673.0
2018-07-24,15.09,15.4,15.05,15.13,5882.0
2018-07-25,15.15,15.53,15.15,15.4,1182.0
2018-07-26,15.86,15.86,15.41,15.54,12781.0
2018-07-27,15.53,15.9,15.53,15.6,3925.0
2018-07-30,15.65,15.82,15.65,15.7,955.0
2018-07-31,15.77,16.71,15.77,16.24,3977.0
2018-08-01,16.32,16.78,16.2,16.64,6421.0
2018-08-02,16.5,16.5,14.03,15.65,11591.0
2018-08-03,15.68,15.68,15.3,15.3,2845.0
2018-08-06,15.14,15.57,15.14,15.15,6700.0
2018-08-07,15.27,15.37,14.9,15.2,2675.0
2018-08-08,15.19,15.94,14.6,15.48,14713.0
2018-08-09,14.9,14.9,13.65,14.18,14507.0
2018-08-10,13.86,14.79,13.65,14.38,10837.0
2018-08-13,14.43,14.43,13.22,13.39,7497.0
2018-08-14,13.37,14.16,13.37,13.9,4839.0
2018-08-15,13.82,14.45,13.33,14.02,12141.0
2018-08-16,14.0,14.85,13.92,14.85,2861.0
2018-08-17,14.85,15.38,14.41,15.03,9098.0
2018-08-20,15.0,16.15,15.0,16.15,5801.0
2018-08-21,16.22,17.88,15.65,17.88,11595.0
2018-08-22,17.88,19.85,17.88,19.85,34136.0
2018-08-23,19.46,21.0,19.46,19.87,5490.0
2018-08-24,19.9,20.47,19.3,19.69,1882.0
