Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-07-26,6.14,6.14,6.05,6.05,200.0
2016-07-28,6.5,6.5,5.87,5.87,530.0
2016-08-01,6.33,6.33,6.33,6.33,200.0
2016-08-04,6.24,6.24,6.24,6.24,60.0
2016-08-05,6.44,6.55,6.44,6.55,2000.0
2016-08-09,6.4,6.4,6.4,6.4,300.0
2016-08-12,6.55,6.55,6.55,6.55,500.0
2016-08-15,6.5,6.55,6.49,6.55,4751.0
2016-08-16,6.55,6.55,6.55,6.55,132.0
2016-08-17,6.5,6.5,6.5,6.5,300.0
2016-08-18,6.49,6.49,6.49,6.49,230.0
2016-08-19,6.5,6.5,6.5,6.5,393.0
2016-08-22,6.49,6.5,6.49,6.5,1611.0
2016-08-23,6.28,6.28,6.28,6.28,500.0
2016-08-24,6.28,6.47,6.25,6.25,7800.0
2016-08-25,6.37,6.37,6.26,6.29,1419.0
2016-08-29,6.27,6.27,6.16,6.16,590.0
2016-09-06,6.29,6.31,6.29,6.3,4898.0
2016-09-07,6.29,6.29,6.29,6.29,100.0
2016-09-13,6.15,6.15,6.14,6.14,2101.0
2016-09-14,6.33,6.33,6.33,6.33,14.0
2016-09-16,6.15,6.3,6.12,6.3,368.0
2016-09-21,6.2,6.2,6.2,6.2,100.0
2016-09-23,6.29,6.29,6.29,6.29,250.0
2016-09-27,6.2,6.29,6.2,6.29,170.0
2016-09-28,6.16,6.16,6.16,6.16,100.0
2016-09-29,6.15,6.15,6.15,6.15,301.0
2016-09-30,6.28,6.28,6.15,6.15,752.0
2016-10-03,6.3,6.3,6.28,6.29,1571.0
2016-10-04,6.28,6.3,6.28,6.3,2137.0
2016-10-05,5.68,6.3,5.68,6.3,600.0
2016-10-10,6.49,6.49,6.49,6.49,200.0
2016-10-11,6.3,6.3,6.3,6.3,621.0
2016-10-19,6.33,6.33,5.85,5.85,1100.0
2016-10-21,6.35,6.35,6.35,6.35,200.0
2016-10-24,6.31,6.35,6.31,6.35,600.0
2016-10-26,6.31,6.31,6.31,6.31,200.0
2016-10-27,6.31,6.31,6.3,6.3,300.0
2016-11-01,6.3,6.3,6.01,6.01,618.0
2016-11-04,6.03,6.29,6.03,6.29,300.0
2016-11-07,6.3,6.3,6.3,6.3,500.0
2016-11-09,6.25,6.25,6.25,6.25,10.0
2016-11-15,5.95,5.95,5.85,5.85,1200.0
2016-11-16,5.86,5.86,5.85,5.85,700.0
2016-11-17,5.88,5.88,5.88,5.88,389.0
2016-11-21,6.15,6.15,5.42,5.42,137.0
2016-11-22,5.3,5.3,5.1,5.1,139.0
2016-11-25,5.59,5.59,5.59,5.59,100.0
2016-11-28,5.0,6.1,5.0,6.1,500.0
2016-11-29,6.08,6.08,6.0,6.0,555.0
2016-12-01,6.0,6.0,6.0,6.0,300.0
2016-12-02,5.8,6.0,5.8,6.0,2573.0
2016-12-05,6.0,6.0,5.5,5.5,105.0
2016-12-06,5.85,5.85,5.85,5.85,27.0
2016-12-08,5.55,5.75,5.55,5.75,375.0
2016-12-09,5.5,5.99,5.5,5.99,444.0
2016-12-12,5.66,5.66,5.66,5.66,43.0
2016-12-15,5.51,5.51,5.51,5.51,20.0
2016-12-16,5.52,5.52,5.52,5.52,13.0
2016-12-19,5.55,5.55,5.55,5.55,500.0
2016-12-22,5.5,5.5,5.5,5.5,2.0
2016-12-23,5.5,5.5,5.5,5.5,600.0
2016-12-27,5.5,5.5,5.5,5.5,100.0
2016-12-28,5.26,5.26,5.25,5.25,1200.0
2016-12-30,5.23,5.23,5.23,5.23,100.0
2017-01-03,5.24,5.24,5.24,5.24,1000.0
2017-01-04,5.05,5.07,5.05,5.05,679.0
2017-01-10,5.06,5.06,5.05,5.05,721.0
2017-01-12,4.85,5.065,4.85,5.05,500.0
2017-01-17,4.73,4.73,4.73,4.73,28.0
2017-01-20,4.82,4.82,4.82,4.82,400.0
2017-01-23,5.0,5.0,5.0,5.0,1000.0
2017-01-24,4.99,4.99,4.99,4.99,1.0
2017-01-26,4.49,4.49,4.49,4.49,20.0
2017-01-31,4.57,4.99,4.57,4.99,457.0
2017-02-01,5.0,5.0,5.0,5.0,500.0
2017-02-03,5.0,5.0,4.8,5.0,11850.0
2017-02-06,4.99,5.0,4.99,5.0,700.0
2017-02-07,4.97,5.0,4.97,5.0,13500.0
2017-02-09,4.99,4.99,4.85,4.85,325.0
2017-02-10,4.85,5.0,4.75,5.0,10631.0
2017-02-13,5.0,5.0,4.9,4.9,280.0
2017-02-16,4.66,4.66,4.66,4.66,87.0
2017-02-21,4.92,4.95,4.92,4.95,18.0
2017-02-22,4.77,4.77,4.77,4.77,8.0
2017-02-23,4.75,4.75,4.56,4.68,615.0
2017-02-27,4.78,4.78,4.78,4.78,51.0
2017-03-01,4.58,4.58,4.58,4.58,14.0
2017-03-02,4.67,4.67,4.67,4.67,36.0
2017-03-03,4.58,4.58,4.58,4.58,20.0
2017-03-06,4.6,4.67,4.54,4.54,5885.0
2017-03-07,4.59,4.59,4.59,4.59,200.0
2017-03-09,4.52,4.69,4.5,4.69,15099.0
2017-03-13,4.68,4.7,4.68,4.7,400.0
2017-03-15,4.7,4.7,4.7,4.7,1.0
2017-03-16,4.65,4.65,4.65,4.65,661.0
2017-03-17,4.42,4.42,4.42,4.42,625.0
2017-03-20,4.43,4.44,4.43,4.44,200.0
2017-03-21,4.46,4.46,4.42,4.42,500.0
2017-03-22,4.42,4.42,4.41,4.41,300.0
2017-03-23,4.42,4.42,4.3,4.3,300.0
2017-03-24,4.32,4.32,4.32,4.32,100.0
2017-03-27,4.49,4.49,4.49,4.49,900.0
2017-03-28,4.49,4.49,4.49,4.49,1006.0
2017-03-29,4.36,4.36,4.36,4.36,500.0
2017-03-30,4.37,4.37,4.31,4.31,800.0
2017-03-31,4.35,4.39,4.35,4.39,409.0
2017-04-03,4.31,4.31,4.31,4.31,100.0
2017-04-04,4.31,4.31,3.82,3.82,1200.0
2017-04-05,4.0,4.12,4.0,4.12,873.0
2017-04-07,4.22,4.26,4.21,4.26,2200.0
2017-04-12,4.65,4.69,4.65,4.69,129.0
2017-04-13,4.45,4.45,4.45,4.45,200.0
