Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-01-08,9.4,9.42,9.4,9.42,2200.0
2014-01-10,10.47,10.47,10.47,10.47,100.0
2014-01-13,9.4,9.7,9.4,9.7,1100.0
2014-01-14,10.37,10.37,9.7,9.7,600.0
2014-01-16,9.56,9.56,9.56,9.56,100.0
2014-01-17,9.64,9.64,9.64,9.64,100.0
2014-01-21,9.68,9.88,9.52,9.86,2500.0
2014-01-22,9.7,9.7,9.52,9.65,2810.0
2014-01-27,9.65,9.65,9.65,9.65,100.0
2014-01-28,9.6,9.7,9.6,9.7,600.0
2014-01-31,9.65,9.65,9.61,9.61,400.0
2014-02-03,9.69,9.69,9.69,9.69,200.0
2014-02-04,9.75,9.75,9.6,9.6,102.0
2014-02-05,9.82,9.82,9.64,9.64,122.0
2014-02-07,9.6,9.6,9.6,9.6,2131.0
2014-02-12,9.69,9.69,9.69,9.69,100.0
2014-02-13,9.71,9.71,9.69,9.69,800.0
2014-02-18,9.8,9.82,9.62,9.75,3500.0
2014-02-19,9.79,9.79,9.65,9.68,7803.0
2014-02-20,9.68,9.82,9.64,9.64,4541.0
2014-02-21,9.71,9.72,9.63,9.67,6164.0
2014-02-24,9.63,9.67,9.63,9.67,862.0
2014-02-25,9.64,9.7,9.64,9.7,3869.0
2014-02-26,9.7,9.7,9.63,9.64,4365.0
2014-03-04,9.7,9.7,9.65,9.65,113.0
2014-03-13,9.71,9.71,9.67,9.67,200.0
2014-03-19,9.64,9.71,9.64,9.71,132.0
2014-03-26,9.64,9.64,9.64,9.64,100.0
2014-03-28,9.67,9.72,9.67,9.72,2900.0
2014-03-31,9.72,9.72,9.65,9.65,1340.0
2014-04-01,9.68,9.68,9.68,9.68,500.0
2014-04-04,9.75,9.75,9.65,9.65,4100.0
2014-04-07,9.66,9.66,9.66,9.66,100.0
2014-04-09,9.62,9.62,9.62,9.62,1500.0
2014-04-11,9.67,9.67,9.65,9.65,1300.0
2014-04-14,9.65,9.65,9.65,9.65,200.0
2014-04-17,9.74,9.74,9.71,9.74,1600.0
2014-04-25,9.7,9.72,9.7,9.72,500.0
2014-04-29,9.68,9.68,9.68,9.68,800.0
2014-05-02,9.69,9.72,9.65,9.65,17801.0
2014-05-06,9.67,9.67,9.67,9.67,100.0
2014-05-12,9.71,9.71,9.65,9.65,900.0
2014-05-16,9.71,9.72,9.69,9.69,1100.0
2014-05-20,9.69,9.69,9.66,9.66,200.0
2014-05-21,9.71,9.71,9.71,9.71,183.0
2014-05-23,9.73,9.73,9.7,9.7,800.0
2014-05-27,9.7,9.7,9.7,9.7,10000.0
2014-05-28,9.69,9.69,9.69,9.69,2000.0
2014-05-30,9.7,9.7,9.7,9.7,300.0
2014-06-09,9.86,9.86,9.68,9.7,1200.0
2014-06-11,9.68,9.7,9.68,9.7,1200.0
2014-06-12,9.72,9.74,9.68,9.68,901.0
2014-06-13,9.7,9.71,9.68,9.71,1900.0
2014-06-18,9.68,9.68,9.68,9.68,647.0
2014-06-24,9.69,9.69,9.69,9.69,94.0
2014-06-25,9.68,9.69,9.68,9.68,1948.0
2014-06-26,9.68,9.7,9.68,9.7,3069.0
2014-07-02,9.68,9.75,9.68,9.7,1207.0
2014-07-11,9.7,9.7,9.7,9.7,100.0
2014-07-14,9.74,9.74,9.74,9.74,100.0
2014-07-15,9.69,9.74,9.68,9.74,400.0
2014-07-17,9.72,9.72,9.72,9.72,200.0
2014-07-18,9.72,9.75,9.72,9.72,2700.0
2014-07-24,9.73,9.73,9.73,9.73,100.0
2014-07-29,9.69,9.69,9.68,9.68,1200.0
2014-08-06,9.78,9.8,9.75,9.75,3200.0
2014-08-07,9.79,9.8,9.78,9.78,9300.0
2014-08-08,9.7,9.79,9.7,9.79,479.0
2014-08-12,9.71,9.71,9.71,9.71,100.0
2014-08-14,9.7,9.7,9.68,9.68,200.0
2014-08-18,9.66,9.66,9.65,9.65,400.0
2014-08-20,9.74,9.74,9.66,9.66,500.0
2014-08-25,9.69,9.69,9.69,9.69,100.0
2014-09-02,9.61,9.61,9.6,9.6,2359.0
2014-09-04,9.69,9.78,9.69,9.78,1000.0
2014-09-05,9.78,9.79,9.78,9.79,680.0
2014-09-12,9.62,9.65,9.62,9.65,1640.0
2014-09-15,9.64,9.67,9.64,9.67,400.0
2014-09-23,9.68,9.68,9.68,9.68,200.0
2014-09-26,9.72,9.73,9.72,9.73,1831.0
2014-09-29,9.74,9.75,9.74,9.75,800.0
2014-10-01,9.66,9.66,9.66,9.66,222.0
2014-10-02,9.68,9.68,9.68,9.68,400.0
2014-10-17,9.75,9.75,9.75,9.75,1100.0
2014-10-20,9.65,9.68,9.65,9.68,35400.0
2014-10-21,9.67,9.69,9.65,9.67,19600.0
2014-10-22,9.65,9.65,9.65,9.65,500.0
2014-10-30,9.78,9.78,9.78,9.78,1919.0
2014-12-01,9.88,9.88,9.88,9.88,200.0
2014-12-02,9.8,9.8,9.8,9.8,200.0
2014-12-05,9.7,9.73,9.7,9.71,500.0
2014-12-09,9.71,9.71,9.71,9.71,500.0
2014-12-10,9.74,9.74,9.67,9.67,101.0
2014-12-15,9.68,9.68,9.68,9.68,100.0
2014-12-26,9.73,9.73,9.73,9.73,100.0
2014-12-30,9.73,9.73,9.73,9.73,900.0
2015-01-08,9.77,9.77,9.77,9.77,100.0
2015-01-09,9.73,9.73,9.7,9.7,400.0
2015-01-12,9.74,9.74,9.74,9.74,200.0
2015-01-16,9.77,9.77,9.77,9.77,200.0
