Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-06-28,11.5,12.34,11.5,11.52,1633771.0
2018-06-29,11.6,12.65,11.55,12.65,21701.0
2018-07-02,12.5,13.18,12.5,13.0,48847.0
2018-07-03,13.47,13.47,12.92,12.92,28188.0
2018-07-05,13.49,13.49,13.0,13.17,16715.0
2018-07-06,13.34,13.5,13.03,13.25,10511.0
2018-07-09,13.53,13.615,13.19,13.3,13467.0
2018-07-10,13.6,13.66,13.0,13.01,36004.0
2018-07-11,13.05,13.15,13.0,13.0,27050.0
2018-07-12,13.0,13.17,13.0,13.0,15591.0
2018-07-13,13.16,13.16,12.77,12.85,7386.0
2018-07-16,13.08,13.1,13.0,13.0,16554.0
2018-07-17,13.1,13.1,13.0,13.01,7885.0
2018-07-18,13.02,15.4,12.97,14.1,31298.0
2018-07-19,14.14,14.715,14.06,14.68,19096.0
2018-07-20,14.77,16.41,13.85,15.94,12953.0
2018-07-23,15.74,16.08,15.47,15.9,8028.0
2018-07-24,16.0,16.0,15.26,15.36,14141.0
2018-07-25,15.46,15.57,15.12,15.57,2142.0
2018-07-26,15.51,15.51,13.85,14.38,11539.0
2018-07-27,14.38,14.65,14.08,14.4,9343.0
2018-07-30,14.5,14.92,12.0,12.21,29017.0
2018-07-31,12.2,12.4,10.78,11.01,20422.0
2018-08-01,11.0,12.05,10.9,11.47,14945.0
2018-08-02,11.47,11.52,10.95,11.05,22341.0
2018-08-03,11.06,11.3,10.7,11.01,10509.0
2018-08-06,11.02,11.02,9.67,9.67,26491.0
2018-08-07,9.74,10.48,9.74,10.43,7642.0
2018-08-08,10.43,10.59,10.34,10.5,17891.0
2018-08-09,10.46,10.46,9.81,10.25,4053.0
2018-08-10,10.3,10.45,10.26,10.45,2658.0
2018-08-13,10.38,10.51,10.02,10.25,1641.0
2018-08-14,10.31,11.97,10.31,10.55,15882.0
2018-08-15,10.76,12.1,10.7,11.73,11516.0
2018-08-16,11.72,11.72,10.5,10.6,19137.0
2018-08-17,10.5,10.5,10.39,10.48,6678.0
2018-08-20,10.49,10.6,10.38,10.5,9999.0
2018-08-21,10.57,10.57,10.41,10.49,4267.0
2018-08-22,10.5,10.65,10.49,10.65,15455.0
2018-08-23,10.65,10.86,10.55,10.8,11079.0
2018-08-24,10.71,11.49,10.71,10.86,8133.0
2018-08-27,10.97,10.97,10.55,10.74,5804.0
2018-08-28,10.73,10.75,9.8,10.7,4875.0
2018-08-29,10.68,11.1,10.625,10.9,4182.0
2018-08-30,10.91,11.075,10.49,10.82,5594.0
2018-08-31,10.78,10.78,10.5,10.61,6093.0
2018-09-04,10.51,11.15,10.0,10.34,48147.0
2018-09-05,10.31,11.25,10.25,11.05,17649.0
2018-09-06,11.05,11.5,10.86,11.09,17434.0
2018-09-07,11.03,11.75,11.03,11.57,10639.0
2018-09-10,11.67,11.75,11.36,11.54,10000.0
2018-09-11,11.52,11.61,11.3,11.33,8206.0
2018-09-12,11.4,11.4,11.05,11.21,7770.0
2018-09-13,11.24,11.35,10.85,10.9,9530.0
2018-09-14,10.91,11.0,10.43,10.66,8451.0
2018-09-17,10.65,11.01,10.5,10.53,13746.0
2018-09-18,10.54,10.98,10.34,10.35,8451.0
2018-09-19,10.33,10.69,10.33,10.34,30723.0
2018-09-20,10.38,10.78,10.32,10.36,33613.0
2018-09-21,10.38,10.65,9.99,9.99,679564.0
