Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-12-10,27.67,28.5,26.5,27.78,6651526.0
2015-12-11,27.8,28.47,27.5,27.5,515521.0
2015-12-14,27.5,27.52,26.11,26.26,186757.0
2015-12-15,26.39,26.89,26.32,26.5,130419.0
2015-12-16,26.75,26.85,26.47,26.54,100104.0
2015-12-17,26.94,28.155,26.71,28.01,101410.0
2015-12-18,27.9,28.24,27.67,28.22,238327.0
2015-12-21,28.84,29.83,28.75,29.35,91874.0
2015-12-22,30.16,30.72,29.84,30.1,88918.0
2015-12-23,30.57,30.57,28.37,28.49,115824.0
2015-12-24,28.33,28.6,27.56,28.21,44261.0
2015-12-28,28.28,28.93,28.03,28.9,41634.0
2015-12-29,29.21,31.23,29.21,31.1,119089.0
2015-12-30,31.46,31.46,30.02,30.21,64758.0
2015-12-31,30.22,31.0,29.99,30.08,64952.0
2016-01-04,29.0,29.0,27.2,27.41,177097.0
2016-01-05,27.91,28.0,26.27,26.77,151578.0
2016-01-06,26.46,27.23,26.05,27.05,148960.0
2016-01-07,26.55,27.3,26.47,26.97,72384.0
2016-01-08,27.06,27.74,26.94,27.17,55400.0
2016-01-11,27.1,27.45,26.98,27.12,62340.0
2016-01-12,27.2,27.34,26.73,26.82,74816.0
2016-01-13,27.0,27.19,26.0,26.73,147455.0
2016-01-14,26.68,27.1,25.79,26.84,93555.0
2016-01-15,26.04,26.04,24.54,25.19,206112.0
2016-01-19,25.3,25.7,23.09,24.02,204600.0
2016-01-20,23.21,23.65,21.69,22.63,223639.0
2016-01-21,22.72,25.03,22.05,24.24,134088.0
2016-01-22,25.11,25.12,24.33,24.61,114556.0
2016-01-25,24.5,24.5,23.455,23.67,72425.0
2016-01-26,23.68,24.19,22.66,24.01,95502.0
2016-01-27,24.02,24.47,22.17,22.28,85920.0
2016-01-28,22.72,22.87,20.18,20.39,201022.0
2016-01-29,20.99,21.7,20.6,20.77,231032.0
2016-02-01,20.69,21.22,20.07,21.17,192257.0
2016-02-02,21.04,21.81,20.67,21.34,148566.0
2016-02-03,21.93,24.49,21.12,23.77,150256.0
2016-02-04,24.0,24.87,23.35,24.0,388226.0
2016-02-05,24.0,24.06,17.61,20.19,617849.0
2016-02-08,19.88,19.88,16.92,17.92,492135.0
2016-02-09,17.85,19.405,17.64,18.92,334041.0
2016-02-10,19.04,21.11,19.04,20.06,197935.0
2016-02-11,19.41,20.38,19.39,20.35,184767.0
2016-02-12,20.48,20.85,19.7,20.1,146504.0
2016-02-16,20.4,23.75,20.4,22.18,322195.0
2016-02-17,22.33,23.6,22.32,23.35,209201.0
2016-02-18,23.24,23.93,21.89,22.0,196237.0
2016-02-19,21.59,22.65,20.92,22.13,196552.0
2016-02-22,22.1,22.99,21.93,22.11,103718.0
2016-02-23,21.88,22.6,21.88,22.51,134861.0
2016-02-24,22.34,22.66,21.69,22.56,97950.0
2016-02-25,23.01,23.55,22.37,23.535,98322.0
2016-02-26,23.47,23.47,22.84,23.3,179419.0
2016-02-29,23.13,23.96,23.13,23.77,178536.0
2016-03-01,23.86,24.25,23.16,23.6,118101.0
2016-03-02,23.45,24.19,23.45,24.16,75915.0
2016-03-03,24.04,24.33,22.86,23.0,79445.0
2016-03-04,23.24,23.26,22.5,23.02,99100.0
2016-03-07,22.98,23.87,22.5,23.03,163647.0
2016-03-08,22.85,22.98,22.3,22.36,73317.0
2016-03-09,22.55,23.59,21.61,21.77,118842.0
2016-03-10,21.8,22.28,21.24,22.22,109974.0
2016-03-11,22.36,23.57,22.21,22.97,99481.0
2016-03-14,22.97,23.19,22.51,22.73,58027.0
2016-03-15,22.51,23.58,22.36,23.5,83572.0
2016-03-16,23.63,24.37,23.51,24.19,114299.0
2016-03-17,23.98,24.67,23.76,24.42,82200.0
2016-03-18,24.33,24.58,23.2,23.24,219950.0
2016-03-21,23.4,24.24,23.08,23.92,120905.0
2016-03-22,23.77,25.01,23.77,24.69,132441.0
2016-03-23,24.75,25.07,24.21,24.63,93071.0
2016-03-24,24.57,24.57,23.3,23.82,139359.0
2016-03-28,24.0,24.405,23.72,24.01,85952.0
2016-03-29,23.83,24.18,23.77,24.11,75651.0
2016-03-30,24.05,24.73,23.7,23.74,154543.0
2016-03-31,23.68,25.15,23.68,25.15,676953.0
2016-04-01,24.85,24.85,23.51,23.69,159749.0
2016-04-04,23.77,24.15,23.43,24.1,106006.0
2016-04-05,23.86,23.96,22.78,23.48,203516.0
2016-04-06,23.44,23.74,23.2,23.55,74547.0
2016-04-07,23.19,23.35,22.89,23.06,87172.0
2016-04-08,23.25,23.56,23.145,23.24,57591.0
2016-04-11,23.39,23.51,23.15,23.23,73651.0
2016-04-12,23.3,23.42,22.95,23.11,79578.0
2016-04-13,23.27,23.63,23.27,23.57,111907.0
2016-04-14,23.57,23.61,22.9,22.94,86392.0
2016-04-15,22.9,23.05,22.53,22.61,82311.0
2016-04-18,22.68,23.37,22.61,23.3,133330.0
2016-04-19,23.41,23.52,23.15,23.4,121518.0
2016-04-20,23.42,24.01,23.07,23.61,93302.0
2016-04-21,23.65,24.57,23.65,24.3,75284.0
2016-04-22,24.3,24.39,23.69,23.82,104346.0
2016-04-25,23.62,24.35,23.62,23.91,127582.0
2016-04-26,24.04,24.23,23.86,24.1,53830.0
2016-04-27,24.06,24.42,23.5,23.66,138753.0
2016-04-28,23.69,23.89,23.07,23.19,91849.0
2016-04-29,23.15,23.42,22.55,23.17,134533.0
2016-05-02,23.35,24.21,23.31,24.17,75950.0
2016-05-03,23.93,23.93,23.06,23.78,103332.0
2016-05-04,23.61,23.83,22.78,23.28,95333.0
2016-05-05,23.38,23.49,22.53,23.02,196230.0
2016-05-06,22.81,23.29,21.19,21.83,245345.0
2016-05-09,21.9,22.51,20.94,21.09,127515.0
2016-05-10,21.05,21.99,20.54,21.81,146215.0
2016-05-11,21.64,22.34,21.11,22.01,97622.0
2016-05-12,21.95,22.03,21.28,21.58,98908.0
2016-05-13,21.47,22.31,21.47,21.93,83789.0
2016-05-16,21.75,22.91,21.75,22.03,96524.0
2016-05-17,21.91,22.21,21.53,21.73,81583.0
2016-05-18,21.57,22.26,21.53,22.12,118540.0
2016-05-19,21.91,21.99,21.52,21.8,118249.0
2016-05-20,21.74,22.74,21.59,22.69,123115.0
2016-05-23,22.58,22.99,22.29,22.37,163176.0
2016-05-24,22.5,23.16,22.5,22.82,158636.0
2016-05-25,22.56,23.24,22.33,23.02,153018.0
2016-05-26,22.99,23.22,22.67,22.91,96833.0
2016-05-27,22.71,22.86,22.16,22.78,122039.0
2016-05-31,22.85,22.87,22.3,22.57,162716.0
2016-06-01,22.45,23.95,22.45,23.93,156262.0
2016-06-02,23.96,25.03,23.74,24.95,265217.0
2016-06-03,24.99,24.99,24.0,24.15,150101.0
2016-06-06,24.02,24.47,23.95,24.36,96897.0
