Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-05-20,5.96,6.74,5.06,6.37,9520.0
2014-05-21,6.95,17.65,6.95,14.8,30020.0
2014-05-22,15.0,31.31,14.93,20.8,95182.0
2014-05-23,26.5,26.5,11.69,13.44,39997.0
2014-05-27,12.66,13.12,11.05,12.83,26423.0
2014-05-28,12.21,14.49,10.63,11.84,16729.0
2014-05-29,11.25,11.27,9.05,9.49,22100.0
2014-05-30,10.25,10.25,8.05,8.3,24202.0
2014-06-02,8.0,8.9,7.74,8.03,36885.0
2014-06-03,7.63,8.0,7.07,7.47,18539.0
2014-06-04,7.2,9.08,7.2,8.41,30503.0
2014-06-05,8.61,9.8,8.61,9.01,23386.0
2014-06-06,9.0,9.21,7.96,8.19,15194.0
2014-06-09,8.4,8.4,7.72,7.84,10105.0
2014-06-10,8.0,8.87,7.27,7.64,11219.0
2014-06-11,7.34,7.83,7.25,7.72,9088.0
2014-06-12,7.45,7.76,7.3,7.59,7360.0
2014-06-13,7.25,7.64,7.25,7.31,7973.0
2014-06-16,7.25,7.25,6.38,6.67,14269.0
2014-06-17,6.5,6.56,6.38,6.52,11149.0
2014-06-18,6.26,6.67,6.26,6.26,9940.0
2014-06-19,6.43,7.0,6.3,6.68,28546.0
2014-06-20,6.65,7.29,6.57,7.29,8706.0
2014-06-23,7.25,7.25,6.64,6.84,7730.0
2014-06-24,6.67,7.49,6.67,7.16,10672.0
2014-06-25,7.35,7.6,7.3,7.37,9100.0
2014-06-26,7.41,7.7,7.36,7.7,3199.0
2014-06-27,8.14,8.14,7.87,8.0,20555.0
2014-06-30,8.4,8.4,7.82,7.99,1646.0
2014-07-01,8.18,8.18,6.65,7.1,15985.0
2014-07-02,6.87,6.9,6.66,6.76,10436.0
2014-07-03,6.9,6.9,6.27,6.32,12979.0
2014-07-07,6.3,6.3,5.75,5.97,29472.0
2014-07-08,6.0,6.01,5.75,6.0,6550.0
2014-07-09,6.1,6.25,6.02,6.2,14021.0
2014-07-10,6.17,6.17,5.84,6.1,11945.0
2014-07-11,6.1,6.1,6.065,6.09,5584.0
2014-07-14,6.1,6.16,5.95,5.95,2535.0
2014-07-15,6.05,6.06,6.05,6.06,1000.0
2014-07-16,6.05,6.05,6.05,6.05,300.0
2014-07-17,6.35,6.76,6.32,6.32,8005.0
2014-07-18,6.32,6.89,6.32,6.4,4227.0
2014-07-21,6.42,6.65,6.42,6.65,1301.0
2014-07-22,6.45,6.5,6.35,6.4,4657.0
2014-07-23,6.4,6.45,6.4,6.45,911.0
2014-07-24,6.42,6.46,6.37,6.42,4389.0
2014-07-25,6.5,6.5,6.38,6.46,12202.0
2014-07-28,6.27,6.39,6.19,6.39,1721.0
2014-07-29,6.6,6.6,6.42,6.42,3363.0
2014-07-30,6.42,6.42,6.29,6.29,400.0
2014-07-31,6.34,6.34,6.15,6.2,991.0
2014-08-01,6.28,6.28,6.05,6.25,3600.0
2014-08-04,6.12,6.23,6.12,6.23,200.0
2014-08-05,6.17,6.28,6.09,6.18,2487.0
2014-08-06,6.18,6.18,6.17,6.17,213.0
2014-08-07,6.19,6.19,6.19,6.19,100.0
2014-08-08,6.06,6.06,6.06,6.06,500.0
2014-08-11,6.06,6.12,6.06,6.06,4504.0
2014-08-12,6.05,6.06,6.05,6.06,2030.0
2014-08-13,6.0,6.0,5.95,6.0,3070.0
2014-08-14,6.05,6.15,6.0,6.0,6900.0
2014-08-15,5.99,5.99,5.99,5.99,1000.0
2014-08-19,5.92,6.0,5.92,6.0,1690.0
2014-08-20,6.0,6.04,5.99,6.0,4634.0
2014-08-21,5.97,6.0,5.87,6.0,3627.0
2014-08-22,5.9,5.99,5.9,5.99,646.0
2014-08-25,5.9,5.9,5.89,5.9,1250.0
2014-08-26,5.93,6.0,5.9,6.0,4701.0
2014-08-27,5.91,5.91,5.91,5.91,500.0
2014-08-28,5.85,5.85,5.25,5.42,8187.0
2014-08-29,5.52,5.52,5.45,5.49,351.0
2014-09-02,5.48,5.55,5.38,5.39,12563.0
2014-09-03,5.38,5.5,5.36,5.38,3685.0
2014-09-04,5.0,5.21,4.98,5.21,25476.0
2014-09-05,5.35,5.36,5.3,5.31,2565.0
2014-09-08,5.22,5.45,5.22,5.39,4655.0
2014-09-09,5.3,6.59,5.3,5.78,49074.0
2014-09-10,6.19,6.19,5.8,6.05,10384.0
2014-09-11,6.07,6.1,5.98,6.09,13512.0
2014-09-12,6.09,6.09,5.97,6.09,2492.0
2014-09-15,6.08,6.08,6.01,6.01,444.0
2014-09-16,6.08,6.2,5.9,6.05,24499.0
2014-09-17,6.11,6.2,5.85,6.2,13939.0
2014-09-18,6.09,6.1,5.9,6.02,4178.0
2014-09-19,5.92,6.0,5.81,5.81,3181.0
2014-09-22,5.93,6.04,5.9,6.04,2250.0
2014-09-23,5.96,6.2,5.92,6.0,4000.0
2014-09-24,6.0,6.0,6.0,6.0,100.0
2014-09-25,6.13,6.15,6.045,6.15,5788.0
2014-09-26,6.05,6.05,5.87,5.88,4093.0
2014-09-29,5.87,5.87,5.62,5.62,2180.0
2014-09-30,5.73,5.8,5.52,5.6,8547.0
2014-10-01,5.53,5.53,5.35,5.4,3525.0
2014-10-02,5.5,5.76,5.5,5.65,7365.0
2014-10-03,5.69,5.72,5.65,5.7,1300.0
2014-10-06,5.8,5.8,5.57,5.58,2631.0
2014-10-07,5.55,5.55,5.25,5.25,3925.0
2014-10-08,5.34,5.34,5.25,5.25,4073.0
2014-10-09,5.32,5.36,5.26,5.295,2929.0
2014-10-10,5.27,5.41,5.25,5.26,2212.0
2014-10-13,5.25,5.25,5.21,5.21,4640.0
2014-10-14,5.3,5.3,5.11,5.11,13875.0
2014-10-15,5.34,5.34,5.25,5.25,500.0
2014-10-16,5.25,5.34,5.11,5.26,900.0
2014-10-20,5.18,5.3,5.18,5.3,1906.0
2014-10-21,5.22,5.87,5.11,5.86,7181.0
2014-10-22,5.65,5.8,5.65,5.76,300.0
2014-10-23,5.9,6.15,5.8,6.15,6659.0
2014-10-24,6.08,6.08,6.07,6.07,513.0
2014-10-27,6.08,6.08,5.88,5.88,280.0
2014-10-28,5.95,6.38,5.95,6.21,3321.0
2014-10-29,6.39,6.5,6.31,6.31,12142.0
2014-10-30,6.5,6.5,6.28,6.47,5607.0
2014-10-31,6.58,7.0,6.53,6.93,10985.0
2014-11-03,6.93,6.93,6.35,6.35,4178.0
2014-11-04,6.28,6.55,6.25,6.37,13550.0
2014-11-05,6.9,6.92,6.43,6.43,802.0
2014-11-06,6.55,6.89,6.55,6.8,724.0
2014-11-07,6.78,6.78,6.67,6.77,1737.0
2014-11-10,6.55,6.57,6.55,6.56,500.0
2014-11-11,6.92,7.23,6.7,7.1,9373.0
2014-11-12,7.45,7.48,7.1,7.41,113875.0
2014-11-13,7.77,7.77,7.3,7.41,2870.0
2014-11-14,7.66,7.77,7.63,7.69,5691.0
2014-11-17,7.6,7.6,6.26,6.26,17155.0
2014-11-18,6.49,6.49,6.0,6.02,6422.0
2014-11-19,6.0,6.19,5.62,6.19,3232.0
2014-11-20,5.95,6.35,5.95,6.35,2647.0
2014-11-21,6.36,6.36,6.115,6.2,821.0
2014-11-24,6.1,6.49,6.1,6.3,2268.0
2014-11-25,6.3,6.3,6.0,6.09,12416.0
2014-11-26,6.01,6.01,5.74,5.8,3300.0
2014-11-28,5.7,5.7,5.7,5.7,100.0
2014-12-01,5.83,5.83,5.7,5.7,6862.0
2014-12-02,5.69,5.69,5.5,5.59,5951.0
2014-12-03,5.51,5.51,5.46,5.46,1700.0
2014-12-04,5.5,5.5,4.99,5.14,14677.0
2014-12-05,5.25,5.25,5.09,5.2,4573.0
2014-12-08,5.29,5.4,5.23,5.39,8257.0
2014-12-09,5.4,5.54,5.39,5.54,970.0
2014-12-10,5.55,5.55,5.29,5.29,1563.0
2014-12-11,5.38,5.4,5.35,5.4,332.0
2014-12-12,5.16,5.27,5.12,5.26,4688.0
2014-12-15,5.35,5.35,5.04,5.11,1511.0
2014-12-16,5.22,5.22,4.98,5.06,2132.0
2014-12-17,4.985,5.0,4.97,5.0,1020.0
2014-12-18,5.1,5.1,4.95,4.96,4235.0
2014-12-19,5.0,5.0,4.59,4.59,21753.0
2014-12-22,4.99,5.0,4.85,4.85,4953.0
2014-12-23,4.99,5.25,4.99,5.25,4578.0
2014-12-24,5.27,5.29,4.98,5.29,499.0
2014-12-26,5.13,5.3,5.13,5.26,2018.0
2014-12-29,5.26,5.26,5.26,5.26,92.0
2014-12-30,5.16,5.2,5.16,5.2,70.0
2014-12-31,5.25,5.25,5.1,5.23,2621.0
2015-01-02,5.25,5.25,5.01,5.01,1125.0
2015-01-05,5.17,5.17,4.75,4.9,6075.0
2015-01-06,4.67,4.87,4.67,4.77,1901.0
2015-01-07,4.91,4.91,4.71,4.71,1179.0
2015-01-08,4.79,4.93,4.79,4.84,1320.0
2015-01-09,4.78,4.78,4.68,4.69,1870.0
2015-01-12,4.85,4.85,4.75,4.79,1362.0
2015-01-13,4.84,4.84,4.74,4.81,365.0
2015-01-14,4.83,4.83,4.57,4.67,2081.0
2015-01-15,4.67,4.86,4.67,4.75,2115.0
2015-01-16,4.75,4.8,4.63,4.7,6461.0
2015-01-20,4.8,4.8,4.71,4.8,5500.0
2015-01-21,4.95,4.95,4.76,4.76,800.0
2015-01-22,4.75,4.75,4.62,4.62,470.0
2015-01-23,4.6,4.6,4.6,4.6,964.0
2015-01-26,4.95,4.95,4.64,4.71,3089.0
2015-01-27,4.83,4.83,4.7,4.7,119.0
2015-01-28,4.69,4.74,4.69,4.74,320.0
2015-01-29,4.62,4.82,4.62,4.82,9130.0
2015-01-30,4.75,4.8,4.74,4.74,5637.0
2015-02-02,5.0,5.0,5.0,5.0,10.0
2015-02-03,4.75,4.76,4.75,4.76,489.0
2015-02-04,4.8,4.82,4.8,4.82,382.0
2015-02-05,4.9,5.11,4.9,5.06,10288.0
2015-02-06,5.11,5.15,5.0,5.1,1068.0
2015-02-09,5.19,5.29,5.16,5.16,1954.0
2015-02-10,5.16,5.2,5.16,5.2,1170.0
2015-02-11,5.3,5.65,5.25,5.51,5886.0
2015-02-12,5.5,5.55,5.25,5.4,6030.0
2015-02-13,5.29,5.4,5.25,5.37,2936.0
2015-02-17,5.3,5.3,5.07,5.07,2571.0
2015-02-18,5.29,5.29,5.11,5.11,112.0
2015-02-19,5.28,5.28,5.0,5.01,1090.0
2015-02-20,5.1,5.1,5.1,5.1,11.0
2015-02-23,5.23,5.28,5.07,5.28,883.0
2015-02-24,5.3,5.3,5.28,5.29,5400.0
2015-02-25,5.3,5.3,5.26,5.3,233.0
2015-02-26,5.3,5.34,5.27,5.27,1133.0
2015-02-27,5.31,5.57,5.31,5.49,15716.0
2015-03-02,5.55,5.55,5.25,5.25,271.0
2015-03-03,5.46,5.46,5.37,5.37,145.0
2015-03-04,5.45,5.45,5.26,5.39,857.0
2015-03-05,5.35,5.35,5.35,5.35,27.0
2015-03-06,5.26,5.26,5.09,5.09,408.0
2015-03-09,5.34,5.34,5.16,5.32,856.0
2015-03-10,5.24,5.24,4.86,5.13,1614.0
2015-03-11,5.13,5.13,5.01,5.01,2215.0
2015-03-12,5.05,5.09,5.05,5.09,238.0
2015-03-13,5.13,5.13,5.0,5.0,6260.0
2015-03-16,5.07,5.07,4.71,4.71,1114.0
