Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-05-07,9.5,9.6,7.2,7.89,600046.0
2019-05-08,8.29,8.53,7.85,8.23,126499.0
2019-05-09,8.46,8.605,7.91,8.1,53355.0
2019-05-10,7.96,8.32,7.81,8.27,18506.0
2019-05-13,7.95,8.0,7.61,7.98,17859.0
2019-05-14,7.7,8.9,7.7,8.9,20236.0
2019-05-15,9.1,9.1,8.3,8.68,18789.0
2019-05-16,8.78,8.94,8.27,8.6,14251.0
2019-05-17,8.41,8.85,8.41,8.78,12752.0
2019-05-20,8.94,9.0,8.5,9.0,42770.0
2019-05-21,9.25,9.25,8.68,9.03,39893.0
2019-05-22,8.93,9.0,8.41,8.9,39601.0
2019-05-23,8.69,8.91,8.46,8.66,14860.0
2019-05-24,9.19,9.19,8.68,9.02,16491.0
2019-05-28,9.23,9.23,8.7,8.83,18350.0
2019-05-29,8.89,8.97,8.64,8.97,34759.0
2019-05-30,8.87,9.75,8.81,9.11,33184.0
2019-05-31,9.25,9.99,8.85,9.99,52903.0
2019-06-03,10.01,10.62,9.9,10.12,51143.0
2019-06-04,10.24,10.34,9.3,9.94,44538.0
2019-06-05,9.9,10.29,9.51,9.66,15116.0
2019-06-06,9.57,9.86,9.4,9.41,8058.0
2019-06-07,9.53,9.69,9.28,9.29,16285.0
2019-06-10,9.25,9.26,7.58,7.8,29395.0
2019-06-11,7.82,8.6,7.61,8.14,16880.0
2019-06-12,8.06,8.24,7.85,7.95,22911.0
2019-06-13,7.92,7.92,7.79,7.83,3993.0
2019-06-14,7.9,7.9,7.51,7.55,4204.0
2019-06-17,7.49,7.84,5.72,7.66,14916.0
2019-06-18,7.87,8.43,7.81,8.43,22276.0
2019-06-19,8.54,10.02,7.71,9.5,31949.0
2019-06-20,9.43,9.78,9.0,9.0,17148.0
2019-06-21,9.08,9.2,8.43,8.57,155832.0
2019-06-24,8.5,8.87,8.19,8.23,7807.0
2019-06-25,8.31,8.31,7.9,7.9,3739.0
2019-06-26,8.29,8.4,7.81,7.93,12425.0
2019-06-27,8.01,8.33,7.45,7.9,6698.0
2019-06-28,7.88,8.05,7.5,7.5,34561.0
2019-07-01,7.66,8.05,7.16,7.25,28469.0
2019-07-02,7.3,7.48,7.28,7.28,1091.0
2019-07-03,7.23,7.7,7.19,7.19,931.0
2019-07-05,7.21,7.52,7.21,7.52,66.0
2019-07-08,7.73,7.73,7.5,7.5,7640.0
2019-07-09,7.535,7.535,7.3,7.3,1162.0
2019-07-10,7.25,7.47,7.23,7.47,917.0
2019-07-11,7.4,7.7,7.21,7.21,4365.0
2019-07-12,7.74,7.74,7.4,7.4,595.0
2019-07-15,7.6,7.6,7.21,7.21,1495.0
2019-07-16,7.08,7.1,6.8,6.8,1672.0
2019-07-17,6.87,7.1,6.87,7.1,2753.0
2019-07-18,7.04,7.04,6.35,6.35,2187.0
2019-07-19,6.73,6.94,6.4,6.5,2701.0
2019-07-22,6.5,6.5,6.0,6.0,1556.0
2019-07-23,6.24,6.77,6.12,6.61,4849.0
2019-07-24,6.66,6.67,6.06,6.06,2545.0
2019-07-25,6.1,6.5,5.75,5.925,14743.0
2019-07-26,5.84,6.35,5.84,6.05,2036.0
2019-07-29,6.0,6.14,5.89,5.89,5346.0
2019-07-30,6.01,6.04,5.56,5.56,5823.0
2019-07-31,5.8,6.46,5.56,6.01,3687.0
2019-08-01,6.46,6.46,5.49,5.49,2792.0
2019-08-02,5.92,5.95,4.95,4.99,11976.0
2019-08-05,4.92,4.96,4.44,4.44,2811.0
2019-08-06,5.39,5.39,4.8,4.86,1037.0
2019-08-07,5.22,5.22,4.68,4.68,1571.0
2019-08-08,5.11,5.11,4.96,4.99,836.0
2019-08-09,4.94,5.19,4.76,4.85,2242.0
2019-08-12,4.85,4.9,4.85,4.9,446.0
2019-08-13,4.65,4.67,4.44,4.6,2532.0
2019-08-14,4.51,4.7,4.51,4.7,1341.0
2019-08-15,4.75,4.75,4.4,4.4,2890.0
2019-08-16,4.5,4.64,4.5,4.64,1469.0
2019-08-19,4.65,4.65,4.62,4.62,1307.0
2019-08-20,4.57,5.25,4.57,4.78,5387.0
2019-08-21,4.8,5.0,4.8,5.0,776.0
2019-08-22,4.97,5.23,4.8,5.23,3710.0
2019-08-23,5.17,5.17,4.35,4.8,5756.0
2019-08-26,4.81,5.14,4.7,5.14,1562.0
2019-08-27,5.13,5.13,4.69,4.69,609.0
2019-08-28,4.64,4.99,4.64,4.99,1012.0
2019-08-29,5.0,5.37,4.65,4.82,2053.0
2019-08-30,4.8,4.96,4.8,4.96,2250.0
2019-09-03,4.87,4.87,4.11,4.2,5516.0
2019-09-04,4.2,4.5,4.2,4.5,824.0
2019-09-05,4.53,5.93,4.5,4.5,9532.0
2019-09-06,4.55,5.07,4.5,4.97,5400.0
2019-09-09,5.0,5.01,4.82,5.0,5647.0
2019-09-10,5.04,5.04,4.91,4.91,526.0
2019-09-11,5.05,5.05,4.81,4.98,2759.0
2019-09-12,4.94,4.94,4.63,4.75,12045.0
2019-09-13,4.73,4.76,4.57,4.67,1656.0
2019-09-16,4.61,4.7,4.53,4.7,255.0
2019-09-17,4.61,4.66,4.39,4.39,24122.0
2019-09-18,4.44,5.25,4.4,4.79,3350.0
2019-09-19,4.85,5.1,4.7,4.7,4132.0
2019-09-20,4.6,4.9,4.56,4.65,3574.0
