Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-09-21,28.75,30.39,27.81,30.1,2057854.0
2016-09-22,31.0,31.68,28.45,28.9,482048.0
2016-09-23,28.85,28.85,26.84,27.66,179259.0
2016-09-26,27.1,28.41,27.0,27.77,25207.0
2016-09-27,28.33,30.82,27.5,29.98,186709.0
2016-09-28,30.73,33.4,30.02,33.39,222487.0
2016-09-29,33.15,33.15,28.8,28.99,212438.0
2016-09-30,29.35,30.94,29.2,29.21,111257.0
2016-10-03,29.12,29.12,26.19,26.38,235187.0
2016-10-04,26.39,27.21,23.66,23.83,251403.0
2016-10-05,24.42,25.2,23.5,24.78,136352.0
2016-10-06,25.12,26.93,24.65,26.08,135170.0
2016-10-07,25.28,26.49,25.17,26.26,89943.0
2016-10-10,25.77,26.1,25.16,25.28,49962.0
2016-10-11,25.06,25.86,23.5,25.52,93034.0
2016-10-12,25.32,26.95,25.32,26.9,68872.0
2016-10-13,26.4,26.66,25.5,25.97,51289.0
2016-10-14,26.11,27.23,26.11,26.36,28791.0
2016-10-17,27.02,27.24,26.2,26.27,64505.0
2016-10-18,26.27,26.3,25.83,25.88,52254.0
2016-10-19,25.75,26.16,25.27,25.46,31263.0
2016-10-20,25.1,26.6,25.1,26.49,24143.0
2016-10-21,26.51,27.5,26.38,27.48,46213.0
2016-10-24,27.38,28.7,27.15,28.52,59350.0
2016-10-25,28.61,29.4,28.61,28.8,46186.0
2016-10-26,28.95,28.95,28.0,28.18,36282.0
2016-10-27,28.16,28.57,25.49,25.52,110401.0
2016-10-28,25.75,26.7,25.5,25.61,32891.0
2016-10-31,26.01,26.01,24.17,25.18,58707.0
2016-11-01,25.44,25.56,25.01,25.24,23341.0
2016-11-02,25.02,26.0,24.25,24.43,66515.0
2016-11-03,24.26,24.39,22.09,22.9,90645.0
2016-11-04,22.93,24.08,22.84,23.87,42140.0
2016-11-07,24.16,24.28,22.29,22.9,64149.0
2016-11-08,24.26,24.26,22.56,22.8,95395.0
2016-11-09,22.15,23.44,22.03,22.95,91149.0
2016-11-10,23.9,24.25,23.185,23.43,113899.0
2016-11-11,25.01,26.48,24.02,25.45,169009.0
2016-11-14,25.57,27.34,25.55,25.77,144027.0
2016-11-15,25.84,26.045,25.03,25.25,153799.0
2016-11-16,25.0,25.97,25.0,25.36,132643.0
2016-11-17,25.57,26.35,25.48,25.93,136232.0
2016-11-18,25.97,29.24,25.97,29.1,155910.0
2016-11-21,28.86,30.41,28.05,29.33,158648.0
2016-11-22,29.4,29.55,28.32,28.73,91654.0
2016-11-23,28.71,30.5,28.19,30.19,101316.0
2016-11-25,29.99,30.4,28.69,29.08,40396.0
2016-11-28,29.28,29.28,26.0,26.7,169195.0
2016-11-29,26.65,27.69,25.5,27.12,106003.0
2016-11-30,26.94,27.3,25.9,26.58,73519.0
2016-12-01,26.4,26.72,25.5,26.08,112240.0
2016-12-02,25.87,26.47,25.68,26.2,69805.0
2016-12-05,26.2,27.21,26.18,26.62,74200.0
2016-12-06,26.61,28.38,26.09,28.1,122724.0
2016-12-07,28.12,28.2,27.46,27.58,70041.0
2016-12-08,27.53,28.01,27.16,27.41,69583.0
2016-12-09,27.56,28.35,27.15,27.47,84885.0
2016-12-12,28.64,29.52,28.1,29.36,133789.0
2016-12-13,29.4,30.38,28.67,29.29,128302.0
2016-12-14,29.12,29.4,27.93,28.0,74988.0
2016-12-15,28.1,29.63,28.1,29.52,97034.0
2016-12-16,29.69,29.9,28.81,29.23,782868.0
2016-12-19,29.36,29.9,28.79,29.22,106520.0
2016-12-20,29.39,31.28,29.08,31.1,112065.0
2016-12-21,31.22,31.22,29.84,30.36,109283.0
2016-12-22,30.2,30.87,29.54,30.32,60663.0
2016-12-23,30.46,30.71,29.55,30.15,40893.0
2016-12-27,30.46,30.46,29.63,29.94,57633.0
2016-12-28,29.85,29.98,28.44,28.49,35162.0
2016-12-29,28.6,29.01,28.17,28.38,65068.0
2016-12-30,28.35,28.73,26.93,27.67,73452.0
2017-01-03,28.05,28.73,26.45,26.93,209987.0
2017-01-04,27.01,28.64,26.43,27.1,137804.0
2017-01-05,26.9,27.71,26.64,27.45,53713.0
2017-01-06,27.51,27.86,26.9,27.7,71159.0
2017-01-09,27.56,28.93,27.39,28.44,68369.0
2017-01-10,28.42,29.0,27.81,28.86,61209.0
2017-01-11,28.79,30.08,28.29,29.75,87149.0
2017-01-12,29.63,29.74,28.65,29.37,52506.0
2017-01-13,29.42,30.5,29.3,29.35,39278.0
2017-01-17,29.22,29.44,28.9,28.99,21517.0
2017-01-18,29.11,29.44,28.76,29.01,39453.0
2017-01-19,28.63,29.22,28.6,29.0,40741.0
2017-01-20,28.98,29.6,28.98,29.26,29548.0
2017-01-23,29.29,29.85,29.17,29.79,29213.0
2017-01-24,29.97,30.04,29.35,29.65,72585.0
2017-01-25,29.92,31.21,29.9,30.41,66036.0
2017-01-26,30.39,31.09,30.35,30.78,49005.0
2017-01-27,30.69,30.93,30.6,30.83,59705.0
2017-01-30,30.7,30.7,29.3,29.75,102267.0
2017-01-31,29.64,30.0,29.2,29.66,64894.0
2017-02-01,29.97,30.03,28.91,29.59,59543.0
2017-02-02,29.38,29.41,28.91,29.02,21329.0
2017-02-03,29.23,29.23,28.55,28.92,44676.0
2017-02-06,28.74,28.98,28.3,28.8,18910.0
2017-02-07,29.46,29.46,28.11,28.55,25587.0
2017-02-08,28.43,29.01,28.29,28.34,20343.0
2017-02-09,28.37,29.08,28.37,29.04,20970.0
2017-02-10,29.12,29.46,28.92,29.05,33973.0
2017-02-13,29.16,30.47,29.16,30.06,76234.0
2017-02-14,30.11,32.14,29.91,30.35,116479.0
2017-02-15,30.5,31.83,30.5,31.67,31710.0
2017-02-16,32.13,33.4,31.54,33.36,136221.0
2017-02-17,34.0,35.34,31.89,32.41,279742.0
2017-02-21,33.36,35.6,32.45,35.0,122952.0
2017-02-22,34.8,35.44,33.94,34.3,55123.0
2017-02-23,36.0,36.87,35.0,36.39,143708.0
2017-02-24,37.43,38.135,36.64,37.32,98944.0
2017-02-27,37.48,37.48,35.29,36.83,180092.0
2017-02-28,38.11,42.27,37.77,42.21,1171166.0
2017-03-01,41.55,43.97,41.01,43.05,166878.0
2017-03-02,42.33,43.25,41.75,42.44,97052.0
2017-03-03,42.69,45.14,42.0,44.6,111984.0
2017-03-06,44.5,44.5,41.16,42.34,192069.0
2017-03-07,42.12,44.4,41.45,44.08,111061.0
2017-03-08,44.21,44.5,43.16,43.31,82202.0
2017-03-09,43.33,44.38,42.8,44.38,110184.0
2017-03-10,44.47,46.02,44.04,45.79,110442.0
2017-03-13,45.79,46.1,43.05,43.35,100572.0
2017-03-14,43.23,43.99,41.11,41.22,123595.0
2017-03-15,41.02,42.18,40.41,41.55,194890.0
2017-03-16,41.84,42.1,39.7,40.18,191008.0
2017-03-17,40.06,40.06,38.67,39.51,183561.0
2017-03-20,38.8,39.55,38.0,38.1,260766.0
2017-03-21,37.68,38.62,36.58,37.55,295787.0
2017-03-22,37.23,38.8,37.18,38.64,226164.0
2017-03-23,38.41,38.78,36.88,37.02,133506.0
2017-03-24,37.0,37.35,35.9,36.02,341164.0
2017-03-27,35.63,37.93,34.87,37.22,217814.0
2017-03-28,37.26,37.26,35.77,36.49,160779.0
2017-03-29,36.25,38.33,36.25,37.98,260508.0
2017-03-30,37.78,38.62,36.44,36.73,203989.0
2017-03-31,36.85,37.72,36.11,37.25,435761.0
2017-04-03,37.19,37.62,36.85,37.02,176093.0
2017-04-04,37.01,37.18,35.39,36.33,182283.0
2017-04-05,36.5,37.49,36.09,37.05,192514.0
2017-04-06,37.45,38.27,37.35,37.71,181799.0
2017-04-07,37.66,37.87,36.9,36.99,114020.0
2017-04-10,37.11,37.71,36.68,36.9,71465.0
2017-04-11,36.8,38.08,36.75,37.55,165069.0
2017-04-12,37.69,37.69,36.98,37.21,207151.0
2017-04-13,36.98,37.18,35.67,36.85,149938.0
2017-04-17,36.65,37.44,35.95,36.44,130393.0
2017-04-18,36.32,36.35,35.04,35.19,230073.0
2017-04-19,35.32,36.02,35.32,35.86,107911.0
2017-04-20,35.99,36.69,35.83,36.23,94340.0
2017-04-21,36.29,36.46,35.66,35.98,81951.0
2017-04-24,36.37,37.22,36.16,36.47,123350.0
2017-04-25,36.56,36.89,35.99,36.2,103990.0
2017-04-26,36.2,37.08,36.2,36.33,93239.0
2017-04-27,36.4,38.06,35.64,37.69,191597.0
2017-04-28,38.1,38.43,36.61,37.35,197389.0
2017-05-01,37.61,37.91,36.88,37.59,80191.0
2017-05-02,37.76,39.0,37.5,38.28,183435.0
2017-05-03,38.33,38.72,37.55,38.06,72557.0
2017-05-04,38.06,40.01,37.76,39.85,275296.0
2017-05-05,39.86,40.28,38.85,40.07,196274.0
2017-05-08,40.23,40.6,39.5,40.39,114974.0
2017-05-09,40.3,41.62,40.3,40.86,244289.0
2017-05-10,40.86,41.04,39.82,40.05,129116.0
2017-05-11,40.09,40.16,39.29,39.89,373921.0
2017-05-12,47.42,53.65,46.6,51.9,3062783.0
2017-05-15,52.02,54.5,51.68,53.57,915860.0
2017-05-16,54.23,54.23,51.91,52.2,283715.0
2017-05-17,51.09,52.53,47.7,47.75,588596.0
2017-05-18,47.9,51.88,47.7,51.38,427275.0
2017-05-19,52.0,52.37,49.64,50.07,458671.0
2017-05-22,49.0,53.12,49.0,52.51,374780.0
2017-05-23,52.75,54.38,50.92,53.48,303102.0
2017-05-24,52.89,53.47,51.5,51.5,1414337.0
2017-05-25,52.04,53.01,51.4,51.99,506559.0
2017-05-26,52.19,53.28,51.52,52.24,267645.0
2017-05-30,52.72,55.17,51.39,53.49,540110.0
2017-05-31,53.99,55.36,52.25,55.0,664208.0
2017-06-01,55.93,56.27,53.45,54.96,378374.0
2017-06-02,55.04,57.38,54.38,56.96,349450.0
2017-06-05,57.29,57.57,55.485,55.69,240461.0
2017-06-06,55.39,56.78,54.71,55.84,238776.0
2017-06-07,55.61,56.46,53.65,54.38,272750.0
2017-06-08,55.23,55.86,53.91,55.44,269159.0
