Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-10-14,13.66,14.25,12.63,13.26,3048005.0
2016-10-17,13.2,14.06,13.2,13.87,139428.0
2016-10-18,13.89,14.04,13.75,13.93,89036.0
2016-10-19,14.17,14.46,13.9,14.37,94096.0
2016-10-20,14.36,14.5,14.19,14.33,100541.0
2016-10-21,14.2,14.83,14.14,14.39,140473.0
2016-10-24,14.45,14.6,14.4,14.4,41347.0
2016-10-25,14.4,14.55,14.4,14.4,42835.0
2016-10-26,14.4,14.4,13.98,14.2,46034.0
2016-10-27,14.25,14.345,14.25,14.28,50334.0
2016-10-28,14.3,14.49,14.11,14.14,39224.0
2016-10-31,14.01,14.01,13.5,13.5,194367.0
2016-11-01,13.5,13.78,13.44,13.62,15379.0
2016-11-02,13.61,13.65,12.36,12.48,91957.0
2016-11-03,12.5,12.95,12.19,12.7,38051.0
2016-11-04,12.51,13.07,12.51,12.91,9010.0
2016-11-07,12.88,13.77,12.88,13.61,59459.0
2016-11-08,13.3,13.81,13.225,13.47,27546.0
2016-11-09,13.17,13.65,12.48,13.41,50207.0
2016-11-10,13.46,13.82,12.81,13.45,24120.0
2016-11-11,13.53,13.99,12.64,13.74,102281.0
2016-11-14,13.82,14.15,13.5,13.88,40123.0
2016-11-15,13.99,14.9,13.95,14.65,46238.0
2016-11-16,14.6,14.6,14.03,14.28,11652.0
2016-11-17,14.36,14.82,14.36,14.65,16173.0
2016-11-18,14.56,14.9,14.08,14.54,12065.0
2016-11-21,14.48,15.25,14.48,15.09,65991.0
2016-11-22,15.17,15.27,14.75,14.93,14920.0
2016-11-23,15.03,15.07,14.57,15.01,33290.0
2016-11-25,15.09,15.09,14.2,14.68,10343.0
2016-11-28,14.61,15.09,14.35,14.96,32773.0
2016-11-29,14.97,14.97,14.41,14.81,34476.0
2016-11-30,15.0,16.2,14.91,16.03,119773.0
2016-12-01,16.07,17.15,16.07,16.28,59135.0
2016-12-02,16.36,19.05,15.98,16.36,17020.0
2016-12-05,16.42,17.7,16.42,17.15,55507.0
2016-12-06,17.15,17.4,16.57,17.25,21156.0
2016-12-07,17.24,17.24,16.87,16.91,27286.0
2016-12-08,17.0,17.25,16.64,16.71,34729.0
2016-12-09,16.79,17.38,16.79,17.18,21747.0
2016-12-12,17.29,17.5,16.09,16.4,42914.0
2016-12-13,16.29,16.58,14.65,16.08,35344.0
2016-12-14,15.84,16.06,14.79,14.9,35497.0
2016-12-15,14.71,15.55,14.27,14.6,47517.0
2016-12-16,14.45,15.38,14.04,14.82,684526.0
2016-12-19,14.9,15.4,14.785,15.0,42401.0
2016-12-20,14.97,15.73,14.9,15.45,30829.0
2016-12-21,15.48,15.93,15.215,15.46,16270.0
2016-12-22,15.57,15.875,15.04,15.46,44119.0
2016-12-23,15.57,15.78,15.32,15.74,12189.0
2016-12-27,15.83,15.83,15.41,15.44,24592.0
2016-12-28,15.44,15.69,15.18,15.36,51272.0
2016-12-29,15.5,15.5,14.83,15.01,24063.0
2016-12-30,15.1,15.29,15.04,15.2,16058.0
2017-01-03,15.38,15.7,15.15,15.38,25703.0
2017-01-04,15.44,15.9,15.35,15.9,99234.0
2017-01-05,15.9,16.55,15.69,16.52,61059.0
2017-01-06,16.56,17.03,16.4,16.9,50962.0
2017-01-09,16.79,17.06,16.5,16.86,31588.0
2017-01-10,16.86,17.14,16.76,17.12,27285.0
2017-01-11,17.09,17.49,16.88,17.2,65372.0
2017-01-12,17.34,17.34,16.79,17.23,21957.0
2017-01-13,17.18,17.42,17.11,17.31,47564.0
2017-01-17,17.37,17.77,17.26,17.61,45084.0
2017-01-18,17.47,19.03,17.47,18.23,58740.0
2017-01-19,18.23,18.29,17.87,18.04,47724.0
2017-01-20,18.27,19.86,18.27,18.7,59907.0
2017-01-23,18.43,18.69,17.82,17.91,36778.0
2017-01-24,17.96,17.96,17.14,17.78,29003.0
2017-01-25,17.92,18.28,17.43,17.9,20424.0
2017-01-26,18.01,18.6,17.92,18.17,21256.0
2017-01-27,17.98,18.27,17.98,18.11,12190.0
2017-01-30,17.93,18.02,17.51,17.81,15558.0
2017-01-31,17.54,18.4,17.54,18.0,17204.0
2017-02-01,18.06,18.43,17.73,18.2,20967.0
2017-02-02,18.22,18.48,17.97,18.37,17938.0
2017-02-03,18.41,18.94,18.41,18.85,10330.0
2017-02-06,18.75,19.0,18.27,18.4,19768.0
2017-02-07,18.45,18.76,18.16,18.16,11190.0
2017-02-08,18.1,18.2,17.76,18.09,23590.0
2017-02-09,18.14,18.2,18.0,18.06,15377.0
2017-02-10,18.07,18.76,18.05,18.52,8080.0
2017-02-13,18.52,18.59,18.3,18.55,8293.0
2017-02-14,18.65,20.8,18.64,20.3,49761.0
2017-02-15,20.22,20.42,19.54,19.82,33559.0
2017-02-16,20.1,20.1,19.66,19.86,17520.0
2017-02-17,19.94,20.16,19.82,20.12,28696.0
2017-02-21,20.2,21.47,20.0,21.18,37451.0
