Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-04-04,34.26,36.25,33.75,35.81,15382918.0
2019-04-05,35.4,36.8,35.0,36.58,718548.0
2019-04-08,37.0,39.41,36.59,39.22,761994.0
2019-04-09,39.32,39.645,37.66,38.6,563364.0
2019-04-10,38.96,40.98,38.61,40.26,2435248.0
2019-04-11,41.17,42.98,40.39,42.06,545036.0
2019-04-12,43.13,43.27,41.05,41.87,282502.0
2019-04-15,41.85,44.24,41.55,42.33,267045.0
2019-04-16,43.18,43.18,40.08,40.82,283998.0
2019-04-17,41.1,41.1,38.63,39.4,372346.0
2019-04-18,39.49,39.68,38.21,39.36,231918.0
2019-04-22,39.27,40.24,38.9,40.05,194163.0
2019-04-23,40.3,40.74,38.86,39.3,174926.0
2019-04-24,39.09,40.05,38.27,39.99,179371.0
2019-04-25,39.87,40.265,39.4,39.8,123641.0
2019-04-26,39.93,41.02,39.93,40.23,159681.0
2019-04-29,39.36,41.41,38.7,41.25,216362.0
2019-04-30,41.34,41.34,39.83,40.25,170398.0
2019-05-01,40.5,41.8,40.21,40.31,174163.0
2019-05-02,40.06,40.06,38.95,39.45,169373.0
2019-05-03,39.48,39.93,38.4,39.17,210513.0
2019-05-06,38.34,41.045,38.05,40.25,189758.0
2019-05-07,40.0,40.41,38.55,39.25,173195.0
2019-05-08,39.51,41.11,38.99,39.89,222331.0
2019-05-09,41.46,42.2,40.4,41.08,305396.0
2019-05-10,41.09,43.99,41.09,43.0,288262.0
2019-05-13,42.17,43.46,41.59,42.98,171866.0
2019-05-14,43.01,44.92,42.16,43.43,180542.0
2019-05-15,43.2,46.29,42.2,42.47,240102.0
2019-05-16,42.39,44.15,40.31,44.01,267442.0
2019-05-17,43.35,44.32,42.8,43.29,112552.0
2019-05-20,42.95,44.62,42.61,44.55,115458.0
2019-05-21,44.99,45.15,43.22,43.46,77072.0
2019-05-22,43.47,43.9,42.88,43.48,74553.0
2019-05-23,42.91,44.02,42.85,44.01,67502.0
2019-05-24,44.06,44.41,43.26,44.25,67815.0
2019-05-28,44.47,44.71,42.96,43.33,78682.0
2019-05-29,43.07,43.33,42.33,43.01,85190.0
2019-05-30,43.47,44.22,43.03,43.97,71116.0
2019-05-31,44.26,45.18,43.5,45.09,185054.0
2019-06-03,45.45,45.76,43.45,43.82,150126.0
2019-06-04,44.1,44.56,42.28,43.52,114633.0
2019-06-05,43.74,44.7,42.84,44.01,97658.0
2019-06-06,43.23,44.2,43.05,43.59,115416.0
2019-06-07,43.7,44.02,42.4,42.9,96852.0
2019-06-10,43.1,43.78,43.1,43.41,88833.0
2019-06-11,43.49,43.65,40.85,42.75,126116.0
2019-06-12,42.42,43.15,41.44,42.58,89574.0
2019-06-13,42.7,42.98,41.66,41.84,78310.0
2019-06-14,42.04,42.24,41.28,41.44,63962.0
2019-06-17,41.38,42.58,41.06,41.82,83122.0
2019-06-18,42.0,42.9,41.21,42.23,134098.0
2019-06-19,42.05,43.29,41.95,43.03,120033.0
2019-06-20,43.49,43.61,42.87,42.95,237263.0
2019-06-21,42.82,43.51,42.6,43.21,1538606.0
2019-06-24,43.49,43.49,41.32,41.51,234025.0
2019-06-25,41.41,41.86,40.52,41.09,246714.0
2019-06-26,41.04,41.75,40.52,41.52,155251.0
2019-06-27,41.7,42.5,41.7,42.43,287955.0
2019-06-28,42.72,44.5,42.72,43.81,366230.0
2019-07-01,44.3,44.59,43.53,43.87,192794.0
2019-07-02,43.86,44.38,42.6,44.12,266249.0
2019-07-03,44.46,47.08,43.73,45.5,281347.0
2019-07-05,45.5,46.85,45.09,46.32,202783.0
2019-07-08,46.51,47.48,45.53,46.85,179093.0
2019-07-09,46.85,47.915,46.81,47.06,94210.0
2019-07-10,47.07,48.3,46.69,47.88,107960.0
2019-07-11,48.26,49.98,47.58,49.33,151013.0
2019-07-12,49.49,49.51,47.2,48.25,202894.0
2019-07-15,48.45,48.45,47.24,47.39,70566.0
2019-07-16,47.4,47.96,47.4,47.83,77358.0
2019-07-17,47.51,48.58,46.785,48.4,75062.0
2019-07-18,48.2,49.75,48.2,49.71,55376.0
2019-07-19,49.89,50.48,49.23,49.5,78135.0
2019-07-22,49.6,50.18,49.47,50.0,49644.0
2019-07-23,50.06,50.24,49.55,50.04,46186.0
2019-07-24,50.07,50.07,46.27,46.43,194313.0
2019-07-25,46.43,46.85,46.03,46.61,108835.0
2019-07-26,46.8,48.45,46.8,48.17,102188.0
2019-07-29,48.46,49.35,47.35,47.64,126440.0
2019-07-30,47.39,48.91,46.8,47.22,94932.0
2019-07-31,47.4,47.52,46.67,47.36,109036.0
2019-08-01,46.73,47.35,45.55,45.7,152485.0
2019-08-02,45.69,47.1,44.69,46.5,78911.0
2019-08-05,45.78,46.45,44.82,45.31,71593.0
2019-08-06,45.69,45.92,44.64,45.4,94143.0
2019-08-07,44.8,46.11,44.51,45.86,77366.0
2019-08-08,47.2,48.51,43.65,44.24,224103.0
2019-08-09,44.33,45.575,44.33,45.23,77707.0
2019-08-12,44.9,46.41,44.8,45.98,54975.0
2019-08-13,45.93,46.5,44.76,45.48,50277.0
2019-08-14,45.3,45.49,44.21,44.21,36980.0
2019-08-15,44.57,45.22,44.22,44.99,56161.0
2019-08-16,45.28,45.45,44.72,44.88,84749.0
2019-08-19,45.26,45.3,44.6,44.99,46424.0
2019-08-20,44.94,46.3,44.94,45.8,64656.0
2019-08-21,45.96,46.24,45.79,45.85,62050.0
2019-08-22,46.03,46.03,44.7,45.01,51651.0
2019-08-23,44.75,45.29,43.845,44.21,48166.0
2019-08-26,44.14,44.56,42.35,42.9,117774.0
2019-08-27,42.91,43.295,42.69,42.79,50787.0
2019-08-28,42.53,43.2,42.46,42.73,58682.0
2019-08-29,42.82,43.78,42.76,43.74,69117.0
2019-08-30,43.75,44.1,42.36,42.59,78537.0
2019-09-03,42.27,42.27,39.93,40.58,134965.0
2019-09-04,40.79,42.24,40.06,42.12,145170.0
