Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-03-28,13.0,14.34,11.77,13.98,3795472.0
2014-03-31,14.49,14.82,13.61,13.65,148900.0
2014-04-01,13.65,14.1,13.65,14.06,55012.0
2014-04-02,14.1,15.61,13.965,15.61,91146.0
2014-04-03,15.85,15.85,13.29,14.15,112522.0
2014-04-04,13.89,14.12,13.0,13.06,72451.0
2014-04-07,13.05,13.38,12.83,12.99,63921.0
2014-04-08,13.24,13.24,12.86,13.01,21229.0
2014-04-09,13.31,13.31,12.67,12.97,22839.0
2014-04-10,12.89,13.18,12.71,13.08,10942.0
2014-04-11,13.27,13.27,12.57,12.94,36036.0
2014-04-14,13.3,13.3,12.82,12.85,24719.0
2014-04-15,13.4,13.4,12.0,12.6,89312.0
2014-04-16,12.02,12.7,12.02,12.52,17877.0
2014-04-17,12.4,13.19,12.35,13.06,19378.0
2014-04-21,13.3,13.3,13.02,13.1,7415.0
2014-04-22,13.34,14.64,13.34,14.17,70539.0
2014-04-23,14.33,14.85,14.24,14.395,33302.0
2014-04-24,14.52,14.77,14.22,14.7,33972.0
2014-04-25,14.71,14.95,14.32,14.86,17702.0
2014-04-28,14.67,15.47,14.51,15.02,46515.0
2014-04-29,14.97,15.29,14.73,14.98,38639.0
2014-04-30,15.2,15.2,14.54,14.92,25596.0
2014-05-01,14.8,15.37,14.8,15.34,17054.0
2014-05-02,15.39,15.75,15.07,15.18,25392.0
2014-05-05,14.97,15.26,14.97,15.15,26005.0
2014-05-06,15.0,15.35,14.5,14.85,23167.0
2014-05-07,15.09,15.49,12.33,12.5,68362.0
2014-05-08,12.95,13.12,12.02,12.09,38862.0
2014-05-09,12.09,12.12,10.76,10.93,49876.0
2014-05-12,10.76,11.2,10.6,10.77,65561.0
2014-05-13,10.75,13.65,10.75,13.35,131360.0
2014-05-14,13.23,14.16,13.0,13.67,60725.0
2014-05-15,13.68,13.68,13.2,13.46,31642.0
2014-05-16,13.43,13.7,13.16,13.5,14104.0
2014-05-19,13.5,13.73,13.49,13.55,16932.0
2014-05-20,13.45,13.62,13.27,13.4,36323.0
2014-05-21,13.44,13.73,13.39,13.58,17263.0
2014-05-22,13.54,13.63,13.31,13.34,23802.0
2014-05-23,13.37,13.51,13.17,13.28,31423.0
2014-05-27,13.29,13.79,13.29,13.63,17006.0
2014-05-28,13.59,14.24,13.55,13.59,19830.0
2014-05-29,13.71,14.44,13.54,14.24,17102.0
2014-05-30,14.33,14.53,13.98,14.44,28795.0
2014-06-02,14.39,14.67,14.37,14.63,18953.0
2014-06-03,14.65,14.65,13.7,13.85,26151.0
2014-06-04,13.89,13.89,13.14,13.2,52815.0
2014-06-05,13.3,13.99,13.15,13.72,21967.0
2014-06-06,13.67,14.04,13.65,14.04,16654.0
2014-06-09,14.1,14.24,13.64,13.71,18791.0
2014-06-10,13.665,13.665,13.04,13.22,33245.0
2014-06-11,13.17,14.14,13.17,14.09,28400.0
2014-06-12,14.24,14.24,13.735,13.96,33681.0
2014-06-13,13.93,14.12,13.84,14.01,14821.0
2014-06-16,14.0,14.39,13.87,13.95,29631.0
2014-06-17,13.97,14.69,13.92,14.61,40763.0
2014-06-18,14.57,14.6,14.14,14.56,18414.0
2014-06-19,14.6,14.79,14.31,14.79,26045.0
2014-06-20,14.82,15.79,14.7,15.35,294352.0
2014-06-23,15.31,16.75,15.31,16.62,58796.0
2014-06-24,16.65,17.58,16.41,16.61,101697.0
2014-06-25,16.64,16.78,16.31,16.64,54935.0
2014-06-26,16.62,16.81,16.32,16.46,45831.0
2014-06-27,16.46,16.685,15.45,15.47,589672.0
2014-06-30,15.7,16.9,15.27,16.81,75665.0
2014-07-01,16.95,16.95,15.88,16.08,43608.0
2014-07-02,16.02,17.32,16.02,16.65,65667.0
2014-07-03,16.65,16.9,16.33,16.6,14803.0
2014-07-07,16.61,16.66,15.6,15.64,24535.0
2014-07-08,15.7,15.86,14.42,14.77,65016.0
2014-07-09,14.76,14.76,13.83,14.13,48440.0
2014-07-10,13.74,14.35,13.4,14.31,45607.0
2014-07-11,14.33,14.55,14.11,14.45,35351.0
2014-07-14,14.58,14.73,14.35,14.5,32951.0
2014-07-15,14.46,14.46,14.085,14.13,34646.0
2014-07-16,14.25,14.25,13.91,13.96,41356.0
2014-07-17,13.89,13.89,13.33,13.5,61609.0
2014-07-18,13.4,13.55,13.38,13.5,51935.0
2014-07-21,13.46,13.52,13.08,13.32,48590.0
2014-07-22,13.4,13.72,13.32,13.65,31758.0
2014-07-23,13.72,13.87,13.64,13.72,20321.0
2014-07-24,13.66,13.71,13.54,13.56,47735.0
2014-07-25,13.76,14.41,13.69,14.37,48955.0
2014-07-28,14.43,14.55,14.05,14.28,33462.0
2014-07-29,14.27,14.53,14.17,14.37,33750.0
2014-07-30,14.55,14.55,14.28,14.41,20754.0
2014-07-31,14.22,14.22,13.98,14.06,39817.0
2014-08-01,14.1,14.1,13.53,13.71,36357.0
2014-08-04,13.72,14.05,13.71,13.82,30531.0
2014-08-05,13.7,13.85,13.26,13.64,131126.0
2014-08-06,13.52,14.3,13.5,14.21,28396.0
2014-08-07,14.53,16.7,14.09,16.54,113031.0
2014-08-08,16.6,17.175,16.06,17.08,63670.0
2014-08-11,15.94,16.86,15.92,16.82,58608.0
