Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-10-31,13.0,14.19,12.4,14.0,417274.0
2018-11-01,14.9,14.9,13.52,14.1,28749.0
2018-11-02,14.0,14.125,13.77,14.0,91210.0
2018-11-05,14.0,14.99,13.91,14.3,17991.0
2018-11-06,14.16,16.05,14.16,15.83,35574.0
2018-11-07,16.17,16.58,15.515,16.03,45235.0
2018-11-08,16.46,19.59,16.15,19.0,70032.0
2018-11-09,19.55,25.82,19.475,25.0,84532.0
2018-11-12,26.0,26.05,19.42,22.52,79832.0
2018-11-13,22.48,24.775,22.02,24.38,32414.0
2018-11-14,24.68,25.65,24.1,24.59,28093.0
2018-11-15,24.57,25.84,22.8,25.71,42256.0
2018-11-16,25.54,28.63,24.9,28.1,60167.0
2018-11-19,28.0,28.0,23.75,26.66,66548.0
2018-11-20,26.62,26.71,22.55,24.05,62776.0
2018-11-21,24.31,26.2,23.9,25.45,24009.0
2018-11-23,25.33,26.4,25.215,25.99,15687.0
2018-11-26,26.0,28.5,25.21,25.52,47546.0
2018-11-27,25.32,25.88,23.0,23.15,28519.0
2018-11-28,23.15,24.21,21.95,23.38,47704.0
2018-11-29,23.2,25.73,22.49,25.5,24171.0
2018-11-30,25.29,27.17,24.58,26.46,34822.0
2018-12-03,27.11,31.64,26.5,27.53,81810.0
2018-12-04,27.85,33.45,27.6,29.85,120032.0
2018-12-06,29.76,34.26,29.48,31.08,96225.0
2018-12-07,31.1,32.64,27.32,28.55,47379.0
2018-12-10,28.6,29.84,23.49,24.0,92425.0
2018-12-11,24.49,25.15,22.91,23.0,66032.0
2018-12-12,23.18,23.895,21.42,21.95,66233.0
2018-12-13,22.06,23.04,20.78,22.04,49087.0
2018-12-14,21.93,21.93,20.51,20.64,21740.0
2018-12-17,20.63,20.63,18.02,20.13,70768.0
2018-12-18,20.22,21.51,19.0,19.11,38590.0
2018-12-19,19.3,20.26,18.24,19.54,74754.0
2018-12-20,18.67,19.11,15.505,17.35,87398.0
2018-12-21,17.88,18.0,13.99,16.3,707536.0
2018-12-24,16.25,17.32,15.46,17.32,21861.0
2018-12-26,17.44,20.56,17.11,20.44,47574.0
2018-12-27,20.24,21.05,19.41,20.96,25723.0
2018-12-28,20.86,22.35,20.86,22.03,25234.0
2018-12-31,22.24,23.24,21.7,23.09,39105.0
2019-01-02,22.73,24.51,21.68,24.46,61152.0
2019-01-03,24.25,24.25,22.46,22.91,57029.0
2019-01-04,23.06,25.95,22.5,25.86,31688.0
2019-01-07,25.96,28.62,25.7,27.1,67355.0
2019-01-08,27.26,27.99,26.82,27.09,28110.0
2019-01-09,27.13,27.49,26.37,27.21,16468.0
2019-01-10,27.05,27.05,25.25,25.39,22039.0
2019-01-11,25.24,25.24,23.5,24.09,32144.0
2019-01-14,24.0,24.0,22.87,23.22,12511.0
2019-01-15,23.26,23.26,21.54,22.51,31163.0
2019-01-16,22.72,23.85,22.46,23.55,14964.0
2019-01-17,23.42,23.58,22.76,23.07,23465.0
2019-01-18,23.05,23.05,21.02,22.66,27437.0
2019-01-22,22.64,22.66,21.82,21.83,8346.0
2019-01-23,21.87,22.85,21.47,21.66,7921.0
2019-01-24,21.62,22.87,21.45,22.64,14411.0
2019-01-25,22.9,24.65,22.8,23.17,13743.0
2019-01-28,23.12,23.34,22.58,23.32,8420.0
2019-01-29,23.33,23.33,21.5,23.06,23094.0
2019-01-30,23.05,23.84,22.39,23.29,11945.0
2019-01-31,23.23,24.8,22.95,23.13,20639.0
2019-02-01,23.13,23.74,22.9,23.05,8871.0
2019-02-04,23.06,23.55,23.06,23.19,8840.0
2019-02-05,23.15,23.3,22.5,22.59,9756.0
2019-02-06,22.6,23.83,22.13,22.61,42882.0
2019-02-07,22.32,23.045,20.49,21.53,25993.0
2019-02-08,20.67,22.35,20.0,20.52,23840.0
2019-02-11,20.48,21.13,20.29,20.67,16432.0
2019-02-12,20.83,21.49,19.84,19.95,26570.0
2019-02-13,20.04,21.79,19.77,21.63,19422.0
2019-02-14,21.52,22.61,21.42,22.41,11012.0
2019-02-15,22.56,23.5,22.56,22.94,13504.0
2019-02-19,22.8,22.81,22.02,22.15,9259.0
2019-02-20,22.13,22.74,22.0,22.49,12357.0
2019-02-21,22.44,22.44,21.71,22.0,20741.0
2019-02-22,22.06,22.21,21.12,21.38,10654.0
2019-02-25,21.57,22.13,21.57,21.71,16781.0
2019-02-26,21.72,22.14,21.72,21.84,20872.0
2019-02-27,21.83,22.19,21.71,21.96,14907.0
2019-02-28,21.97,22.05,21.67,21.77,9591.0
2019-03-01,22.1,22.1,21.79,21.99,14317.0
2019-03-04,22.28,22.28,20.65,21.81,24134.0
2019-03-05,21.81,22.01,21.5,21.85,13592.0
2019-03-06,21.85,21.85,20.7,21.03,10042.0
2019-03-07,21.1,21.95,20.78,21.45,10472.0
2019-03-08,21.29,21.5,21.0,21.06,6749.0
2019-03-11,21.18,21.75,21.18,21.74,5177.0
2019-03-12,21.83,22.0,21.23,21.51,5160.0
2019-03-13,21.65,21.92,21.02,21.06,7696.0
2019-03-14,21.07,21.8,21.02,21.44,9986.0
2019-03-15,21.45,22.17,21.28,21.88,40413.0
2019-03-18,21.9,22.03,21.77,21.87,14009.0
2019-03-19,21.86,22.18,21.81,21.87,12123.0
2019-03-20,22.03,24.08,21.76,23.28,19243.0
2019-03-21,23.2,24.14,22.0,23.41,16734.0
2019-03-22,23.0,23.0,21.695,22.03,18621.0
2019-03-25,22.0,22.24,21.33,22.0,18345.0
2019-03-26,22.6,22.69,21.21,21.92,19291.0
2019-03-27,21.91,22.18,21.26,21.8,16618.0
2019-03-28,21.89,22.61,21.89,22.45,12971.0
2019-03-29,22.77,23.26,22.6,23.18,29907.0
2019-04-01,23.48,24.41,22.85,24.2,10738.0
2019-04-02,24.45,27.15,24.45,25.63,61459.0
2019-04-03,25.9,26.45,25.05,26.12,25513.0
2019-04-04,26.0,26.0,24.21,24.76,21237.0
2019-04-05,24.88,25.36,24.4,25.0,7282.0
2019-04-08,25.21,26.42,24.41,25.74,30020.0
2019-04-09,25.73,27.71,24.9,27.41,47309.0
2019-04-10,27.78,28.76,26.65,28.18,29636.0
2019-04-11,28.23,28.23,26.48,27.98,17399.0
2019-04-12,28.2,28.49,27.05,27.96,19263.0
2019-04-15,28.0,28.9,27.42,28.6,41680.0
2019-04-16,28.77,28.77,27.35,28.15,35321.0
2019-04-17,28.1,29.02,27.63,28.43,39698.0
2019-04-18,28.35,30.06,27.8,29.85,33932.0
2019-04-22,30.24,32.0,29.52,30.34,27230.0
2019-04-23,30.71,33.05,30.64,32.86,38610.0
2019-04-24,32.87,33.51,32.35,33.2,30047.0
2019-04-25,33.3,34.0,32.9,33.09,21565.0
2019-04-26,33.07,33.95,30.71,30.91,37744.0
2019-04-29,30.12,30.18,27.3,27.74,78190.0
2019-04-30,27.93,28.51,23.57,23.66,151172.0
2019-05-01,25.4,25.55,23.54,25.0,126756.0
2019-05-02,24.5,25.69,24.0,24.24,63847.0
2019-05-03,24.23,25.54,24.23,25.04,96463.0
2019-05-06,24.45,24.88,24.06,24.35,72952.0
2019-05-07,23.5,23.5,21.28,21.74,92249.0
2019-05-08,21.51,23.09,21.1,21.81,182932.0
2019-05-09,21.0,23.73,20.3,22.82,652061.0
2019-05-10,22.5,22.5,21.44,22.07,85826.0
2019-05-13,21.37,24.0,21.37,23.83,145505.0
2019-05-14,23.83,24.27,22.55,23.05,117818.0
2019-05-15,22.77,24.68,22.77,24.39,111798.0
2019-05-16,24.74,25.25,24.07,24.34,133464.0
2019-05-17,24.06,26.45,23.99,25.61,704672.0
2019-05-20,25.23,25.535,24.59,25.29,140787.0
2019-05-21,25.36,26.6,25.36,26.05,100493.0
2019-05-22,26.0,26.43,25.63,26.19,37904.0
2019-05-23,26.22,26.24,25.15,25.82,57500.0
2019-05-24,26.05,26.22,25.69,25.99,43954.0
2019-05-28,26.0,26.24,24.66,25.34,123440.0
2019-05-29,25.03,25.85,24.85,25.8,51715.0
2019-05-30,25.89,26.75,25.62,26.66,58428.0
2019-05-31,26.89,26.89,25.72,25.81,95622.0
2019-06-03,26.12,26.52,24.74,25.81,92625.0
2019-06-04,26.42,26.42,24.39,24.92,89022.0
2019-06-05,25.05,25.28,23.15,23.87,70254.0
2019-06-06,23.88,25.84,23.57,25.62,60550.0
2019-06-07,25.84,26.175,25.485,26.0,62714.0
2019-06-10,26.02,26.02,25.32,25.73,56919.0
2019-06-11,25.7,25.7,23.59,24.71,58306.0
2019-06-12,24.64,24.76,23.26,23.54,61944.0
2019-06-13,23.82,24.0,23.24,23.44,46386.0
2019-06-14,23.55,24.85,23.32,24.75,55262.0
2019-06-17,24.96,26.35,24.96,25.45,99501.0
2019-06-18,25.75,27.76,25.75,27.46,50105.0
2019-06-19,27.18,29.67,27.18,29.26,93964.0
2019-06-20,29.94,30.28,29.01,29.97,69610.0
2019-06-21,29.61,30.5,29.38,30.08,497492.0
2019-06-24,30.0,30.0,29.09,29.45,166774.0
2019-06-25,29.3,29.7,29.06,29.4,46612.0
2019-06-26,29.64,29.82,27.14,28.85,72037.0
2019-06-27,28.85,29.58,28.08,28.14,66924.0
2019-06-28,28.26,29.41,28.26,29.01,1649987.0
2019-07-01,29.31,30.37,29.31,29.61,105480.0
2019-07-02,29.64,30.14,28.97,29.19,154363.0
2019-07-03,29.52,29.54,28.82,29.22,56843.0
2019-07-05,29.12,29.12,28.09,28.41,46134.0
2019-07-08,28.32,28.4,27.15,27.16,168617.0
2019-07-09,27.16,27.88,27.05,27.85,74014.0
2019-07-10,28.05,28.38,27.2,27.59,65295.0
2019-07-11,27.5,28.0,27.1,27.78,98578.0
2019-07-12,27.96,29.11,27.96,28.57,70150.0
2019-07-15,28.6,29.32,28.56,29.03,77987.0
2019-07-16,29.25,30.0,28.9,29.67,77718.0
2019-07-17,29.5,30.25,29.5,30.13,86959.0
2019-07-18,30.0,30.25,29.84,30.06,66825.0
2019-07-19,29.9,30.36,29.9,30.26,57766.0
2019-07-22,30.0,32.17,30.0,31.78,160637.0
2019-07-23,32.0,32.0,29.91,30.41,129589.0
2019-07-24,30.45,32.01,30.38,31.99,59824.0
2019-07-25,32.0,32.1,31.79,31.99,187827.0
2019-07-26,32.14,32.74,31.85,32.6,86469.0
2019-07-29,32.49,34.32,32.49,33.98,93075.0
2019-07-30,33.8,34.2,33.24,33.99,77157.0
