Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2019-09-12,54.0,58.0,51.0,52.75,2678679.0
2019-09-13,52.75,54.31,49.2,52.27,300116.0
2019-09-16,52.45,55.85,52.07,55.2,66779.0
2019-09-17,56.21,60.7,55.85,56.78,140701.0
2019-09-18,56.85,62.19,55.75,62.0,736320.0
2019-09-19,62.81,63.28,61.03,61.12,49002.0
2019-09-20,61.71,62.08,59.82,60.5,142735.0
2019-09-23,60.22,61.48,60.0,60.33,47694.0
2019-09-24,61.0,61.0,54.01,54.3,100283.0
2019-09-25,54.46,55.88,52.61,52.76,53619.0
2019-09-26,52.78,53.69,46.62,49.99,110035.0
2019-09-27,51.13,53.94,50.7,51.03,104566.0
2019-09-30,51.05,51.93,49.25,50.4,39662.0
2019-10-01,50.51,51.52,46.0,47.03,104626.0
2019-10-02,46.78,46.81,45.15,46.07,76072.0
2019-10-03,46.77,48.24,45.81,48.12,37737.0
2019-10-04,48.0,53.25,48.0,51.45,61167.0
2019-10-07,52.1,53.0,49.4,50.36,102616.0
2019-10-08,50.0,51.12,49.05,49.55,69184.0
2019-10-09,49.63,51.5,49.575,50.01,44274.0
2019-10-10,50.55,50.55,48.19,48.44,55549.0
2019-10-11,48.41,49.98,48.14,49.3,27954.0
2019-10-14,49.31,51.05,49.0,50.26,17714.0
2019-10-15,50.5,50.91,48.51,48.66,26643.0
2019-10-16,48.54,51.73,48.54,51.13,39072.0
2019-10-17,51.08,52.0,50.56,51.89,19420.0
2019-10-18,51.61,54.15,51.46,52.5,40036.0
2019-10-21,52.49,56.5,52.22,53.36,45927.0
2019-10-22,53.35,56.0,53.35,54.63,18755.0
2019-10-23,54.99,58.84,54.65,58.63,48831.0
2019-10-24,58.63,59.0,55.11,56.82,19899.0
2019-10-25,57.44,58.35,51.67,52.5,36526.0
2019-10-28,52.78,56.55,52.78,56.05,27266.0
2019-10-29,55.97,56.0,54.75,54.76,11507.0
2019-10-30,55.33,58.99,55.33,57.7,24882.0
2019-10-31,58.44,58.74,57.33,58.0,17289.0
2019-11-01,58.49,58.5,57.35,58.25,41549.0
2019-11-04,58.66,60.65,57.3,57.83,29495.0
2019-11-05,57.84,58.48,55.29,55.33,19167.0
2019-11-06,55.58,56.7,54.01,54.06,31103.0
2019-11-07,55.93,55.93,52.11,55.28,52435.0
2019-11-08,54.74,56.01,51.19,55.72,67046.0
2019-11-11,55.88,61.07,55.88,60.3,62149.0
2019-11-12,60.4,60.4,58.31,59.65,24861.0
2019-11-13,59.31,61.15,59.31,60.95,32378.0
2019-11-14,60.62,64.45,59.25,63.5,84439.0
2019-11-15,63.7,68.13,63.0,67.85,45399.0
2019-11-18,67.85,67.93,60.61,61.34,48199.0
2019-11-19,61.85,64.9,61.85,64.41,36650.0
2019-11-20,63.89,65.0,62.61,63.55,29604.0
2019-11-21,64.08,64.25,61.36,61.81,17780.0
2019-11-22,61.99,64.25,61.99,63.86,31112.0
2019-11-25,64.16,67.49,64.16,66.0,60472.0
2019-11-26,66.0,66.4,64.04,64.04,56764.0
2019-11-27,64.24,64.49,62.5,62.56,30588.0
2019-11-29,62.67,65.33,62.53,64.89,15289.0
2019-12-02,65.94,65.94,63.6,64.75,31827.0
2019-12-03,63.91,65.4,63.75,64.96,27092.0
2019-12-04,65.3,65.55,63.33,63.55,37788.0
2019-12-05,63.67,63.67,60.42,62.61,60633.0
2019-12-06,62.69,63.86,61.87,63.41,65828.0
2019-12-09,63.81,65.35,62.93,63.2,79022.0
2019-12-10,63.25,66.93,62.73,65.95,78240.0
2019-12-11,66.55,66.85,62.96,65.16,41452.0
2019-12-12,64.7,66.0,61.0,61.54,48689.0
2019-12-13,62.05,62.99,60.63,60.97,28949.0
2019-12-16,61.25,62.9,61.03,61.99,84539.0
2019-12-17,62.36,62.5,61.57,62.02,77633.0
2019-12-18,62.04,71.7,61.87,69.71,148705.0
2019-12-19,69.56,69.56,56.48,61.73,228334.0
2019-12-20,64.61,74.84,63.7,73.82,526960.0
2019-12-23,74.0,88.895,72.595,79.54,273056.0
2019-12-24,78.66,80.97,78.25,79.44,31660.0
2019-12-26,79.51,81.76,74.26,74.45,59556.0
2019-12-27,74.94,80.65,74.94,78.15,92181.0
2019-12-30,78.15,78.25,74.73,76.13,43647.0
2019-12-31,76.0,77.0,74.65,76.25,46574.0
