Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2003-12-30,9.249,9.75,8.25,8.66,13365.0
2003-12-31,9.5,9.5,8.7,8.7,4579.0
2004-01-02,8.65,9.0,8.25,8.35,6429.000000000001
2004-01-05,8.65,8.65,7.551,7.98,15619.999999999998
2004-01-06,7.55,7.65,7.3500000000000005,7.5600000000000005,7200.0
2004-01-07,7.68,8.18,7.390000000000001,7.75,19389.0
2004-01-08,7.8500000000000005,7.95,7.45,7.8,14800.0
2004-01-09,8.0,8.24,7.8500000000000005,8.0,9711.0
2004-01-12,8.3,8.35,7.6000000000000005,7.6000000000000005,12675.0
2004-01-13,7.8,8.19,7.75,7.8,7700.0
2004-01-14,7.75,7.8,7.1000000000000005,7.4,7190.999999999999
2004-01-15,7.63,7.73,7.26,7.69,28019.0
2004-01-16,7.5,7.8500000000000005,7.4,7.45,7840.999999999999
2004-01-20,7.95,7.95,7.45,7.45,5200.0
2004-01-21,7.61,7.61,7.41,7.58,4100.0
2004-01-22,7.55,9.0,7.549000000000001,8.899,23257.0
2004-01-23,9.3,9.62,8.0,9.5,35991.0
2004-01-26,10.0,10.1,8.75,8.99,30368.0
2004-01-27,9.0,9.08,8.75,9.03,9521.0
2004-01-28,9.5,9.65,9.02,9.1,8076.999999999999
2004-01-29,9.02,9.24,8.79,9.0,4389.0
2004-01-30,8.791,9.0,8.79,9.0,350.0
2004-02-02,8.75,9.66,8.6,9.05,9142.0
2004-02-03,8.6,9.41,8.6,9.0,6396.0
2004-02-04,9.1,9.1,8.4,8.4,2560.0
2004-02-05,8.4,8.4,8.4,8.4,2450.0
2004-02-06,8.4,8.5,8.02,8.1,6962.0
2004-02-09,8.1,8.3,8.05,8.09,2981.0
2004-02-10,8.5,8.5,8.07,8.07,2350.0
2004-02-11,9.0,9.1,8.11,8.14,8272.0
2004-02-12,8.49,8.61,8.11,8.26,7655.0
2004-02-13,8.61,8.61,7.8,8.05,9505.0
2004-02-17,8.06,8.7,8.06,8.25,10205.0
2004-02-18,8.6,8.6,8.23,8.5,1400.0
2004-02-19,8.5,8.5,8.15,8.15,6220.0
2004-02-20,8.15,8.4,8.15,8.4,240.0
2004-02-23,8.49,8.6,8.2,8.549,3720.0
2004-02-24,7.59,8.75,7.59,8.7,6430.0
2004-02-25,8.275,8.9,8.275,8.75,4800.0
2004-02-26,8.75,9.08,8.25,8.25,7434.999999999999
2004-02-27,8.29,8.29,7.95,7.989,6172.0
2004-03-01,7.99,8.0,7.6000000000000005,8.0,6000.0
2004-03-02,8.0,8.2,8.0,8.0,2400.0
2004-03-03,7.95,7.951,7.95,7.951,200.0
2004-03-04,8.02,8.02,8.01,8.01,538.0
2004-03-05,8.4,8.4,7.82,8.0,3939.0
2004-03-08,8.35,8.35,8.25,8.25,900.0
2004-03-09,8.2,8.25,7.8,7.930000000000001,4800.0
2004-03-10,7.801,7.839000000000001,7.561,7.75,1639.9999999999998
2004-03-11,7.8,7.8,7.6000000000000005,7.69,4329.0
2004-03-12,7.5600000000000005,7.7,7.5600000000000005,7.7,2950.0
2004-03-15,7.7,7.7,7.5600000000000005,7.5600000000000005,900.0
2004-03-16,7.7,8.1,7.7,8.1,3195.0
2004-03-17,8.062,8.35,8.062,8.35,800.0
2004-03-18,8.05,8.225,7.8100000000000005,8.14,1232.0
2004-03-19,8.065,8.065,7.91,7.91,200.0
2004-03-22,7.73,7.73,7.54,7.54,1400.0
2004-03-23,7.51,7.55,7.51,7.51,1030.0
2004-03-24,7.8500000000000005,8.1,7.8500000000000005,7.930000000000001,2300.0
2004-03-25,7.5,7.949,7.5,7.949,4438.0
2004-03-26,7.96,8.11,7.55,7.930000000000001,7295.0
2004-03-29,8.2,8.2,7.7700000000000005,8.04,1200.0
2004-03-30,8.15,8.15,7.621,8.0,2472.0
2004-03-31,8.0,8.0,7.8100000000000005,7.911,1700.0
2004-04-01,8.29,8.3,8.0,8.1,3272.0
2004-04-02,8.35,8.35,8.09,8.1,4150.0
2004-04-05,8.4,8.4,8.1,8.1,9074.0
2004-04-06,8.2,8.25,7.87,8.0,4853.0
2004-04-07,7.999,8.0,7.73,7.9,10325.0
2004-04-08,7.930000000000001,9.29,7.8500000000000005,9.15,52044.00000000001
