Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-01-30,4.25,4.25,3.75,4.125,80900.0
1995-01-31,4.125,4.125,3.75,4.125,10300.0
1995-02-01,4.125,4.125,3.375,3.75,29800.0
1995-02-02,3.625,3.625,3.0,3.125,119200.0
1995-02-03,3.125,3.625,3.125,3.625,11700.0
1995-02-06,4.0,4.0,3.5,4.0,21800.0
1995-02-07,4.0,4.125,3.875,4.125,34100.0
1995-02-08,4.125,4.125,3.875,4.125,42700.0
1995-02-09,4.125,4.125,4.0,4.125,16500.0
1995-02-10,4.125,4.125,3.625,4.125,28200.0
1995-02-13,4.125,4.25,3.625,4.0,41400.0
1995-02-14,4.25,4.25,3.625,4.25,5800.0
1995-02-15,4.25,4.25,3.625,4.25,11100.0
1995-02-16,4.25,4.25,3.75,4.125,17600.0
1995-02-17,3.625,4.25,3.625,4.25,7100.0
1995-02-21,3.625,4.25,3.5,3.5,15000.0
1995-02-22,4.125,4.125,3.5,4.0,4300.0
1995-02-23,4.125,4.25,3.875,4.25,25000.0
1995-02-24,4.0,4.25,3.75,4.125,4600.0
1995-02-27,4.25,4.25,3.75,4.0,3500.0
1995-02-28,4.125,4.125,3.75,4.125,10600.0
1995-03-01,4.0,4.25,3.875,4.125,19300.0
1995-03-02,4.125,4.125,3.875,4.0,7100.0
1995-03-03,4.0,4.125,3.75,4.125,21500.0
1995-03-06,4.125,4.125,3.875,3.875,29800.0
1995-03-07,4.125,4.125,3.875,4.125,4700.0
1995-03-08,4.125,4.125,3.625,3.625,2100.0
1995-03-09,4.125,4.125,3.625,3.75,1300.0
1995-03-10,3.625,4.125,3.625,4.125,4200.0
1995-03-13,4.125,4.125,3.625,3.875,5900.0
1995-03-14,3.5,4.0,3.375,4.0,33100.0
1995-03-15,3.875,3.875,3.375,3.875,4000.0
1995-03-16,3.875,3.875,3.375,3.625,2600.0
1995-03-17,3.375,3.875,3.375,3.375,3300.0
1995-03-20,3.375,3.875,3.375,3.5,5100.0
1995-03-21,3.875,3.875,3.375,3.875,2500.0
1995-03-22,3.875,3.875,3.375,3.875,14500.0
1995-03-23,3.375,3.875,3.375,3.5,3300.0
1995-03-24,3.375,3.875,3.375,3.5,3900.0
1995-03-27,3.875,3.875,3.375,3.375,2600.0
1995-03-28,3.875,3.875,3.375,3.625,5400.0
1995-03-29,3.375,3.875,3.375,3.875,7200.0
1995-03-30,3.375,3.875,3.375,3.875,5200.0
1995-03-31,3.875,3.875,3.25,3.625,5200.0
1995-04-03,3.25,3.5,3.125,3.25,5500.0
1995-04-04,3.125,3.5,3.125,3.5,3500.0
1995-04-05,3.25,3.5,3.25,3.5,5500.0
1995-04-06,3.5,3.75,3.375,3.375,2700.0
1995-04-07,3.375,3.75,3.375,3.5,3900.0
1995-04-10,3.375,3.75,3.375,3.75,1000.0
1995-04-11,3.375,3.75,3.375,3.375,5700.0
1995-04-12,3.375,3.375,3.375,3.375,3200.0
1995-04-13,3.375,3.75,3.375,3.375,6100.0
1995-04-17,3.75,3.75,3.375,3.375,1100.0
1995-04-18,3.5,3.5,3.125,3.5,6200.0
1995-04-20,2.875,4.0,2.875,3.5,12900.0
1995-04-21,4.0,4.0,3.625,3.75,7300.0
1995-04-24,4.0,4.0,3.625,3.75,2300.0
1995-04-25,4.0,4.0,3.5,3.625,17700.0
1995-04-26,4.0,4.0,3.5,3.5,3200.0
1995-04-27,3.5,4.0,3.5,3.625,2200.0
1995-04-28,3.5,4.0,3.5,3.75,1900.0
1995-05-01,3.5,4.0,3.5,3.5,2700.0
1995-05-02,3.5,4.0,3.25,3.25,35600.0
1995-05-03,3.0,3.5,3.0,3.25,9800.0
1995-05-04,3.0,3.125,3.0,3.125,6000.0
1995-05-05,2.75,3.375,2.75,3.125,1400.0
1995-05-08,3.375,3.375,2.75,3.375,1800.0
1995-05-09,2.75,3.25,2.75,3.125,4900.0
1995-05-10,3.375,3.375,3.375,3.375,200.0
1995-05-11,3.0,3.5,3.0,3.375,6700.0
1995-05-12,3.375,3.375,3.0,3.0,10000.0
1995-05-15,2.875,2.875,2.75,2.875,600.0
1995-05-16,2.75,2.875,2.75,2.875,1400.0
1995-05-17,2.75,3.375,2.75,3.375,2800.0
1995-05-18,3.375,3.375,2.75,3.375,5200.0
1995-05-19,3.375,3.375,3.0,3.0,4300.0
1995-05-22,3.375,3.375,3.0,3.0,5000.0
1995-05-23,2.875,3.125,2.75,2.875,3700.0
1995-05-24,2.75,3.0,2.625,3.0,24100.0
1995-05-25,2.875,3.25,2.875,3.25,1000.0
1995-05-26,2.875,2.875,2.875,2.875,100.0
1995-05-30,2.875,3.25,2.625,2.875,9900.0
1995-05-31,3.125,3.125,2.625,2.75,3500.0
1995-06-01,3.125,3.125,3.125,3.125,1300.0
1995-06-05,2.75,3.125,2.75,3.125,900.0
1995-06-06,2.75,3.125,2.75,3.125,1800.0
1995-06-07,2.625,3.375,2.625,3.375,30900.0
1995-06-08,3.0,3.375,3.0,3.375,20100.0
1995-06-09,3.0,3.375,3.0,3.125,20200.0
1995-06-12,3.125,3.375,3.0,3.0,6700.0
1995-06-13,3.0,3.375,3.0,3.125,8200.0
1995-06-15,3.375,3.375,3.0,3.0,1000.0
1995-06-16,3.0,3.0,3.0,3.0,500.0
1995-06-19,3.375,3.875,3.125,3.875,86800.0
1995-06-20,4.0,4.0,3.375,3.875,19200.0
1995-06-21,3.875,3.875,3.25,3.75,32600.0
1995-06-22,3.875,3.875,3.25,3.375,1500.0
1995-06-23,3.875,3.875,3.5,3.75,5000.0
1995-06-26,3.875,3.875,3.625,3.625,2400.0
1995-06-27,3.25,3.875,3.25,3.875,2000.0
1995-06-28,3.875,3.875,3.875,3.875,1400.0
1995-06-30,3.25,3.875,3.25,3.875,16400.0
1995-07-03,3.875,3.875,3.875,3.875,1000.0
1995-07-05,3.375,4.0,3.375,4.0,218700.0
1995-07-06,3.5,3.75,3.5,3.5,3100.0
1995-07-07,3.75,3.75,3.25,3.625,4800.0
1995-07-10,3.25,3.75,3.25,3.25,5900.0
1995-07-11,3.75,3.75,3.625,3.75,1400.0
1995-07-12,3.75,3.75,3.25,3.25,700.0
1995-07-13,3.75,3.75,3.25,3.25,1500.0
1995-07-14,3.25,3.75,3.25,3.25,5600.0
1995-07-17,3.25,3.5,3.25,3.25,4100.0
1995-07-18,3.25,3.5,3.25,3.25,4400.0
1995-07-19,3.25,3.5,3.0,3.375,17500.0
1995-07-20,3.375,3.375,3.25,3.25,6100.0
1995-07-21,2.75,3.25,2.75,3.0,5300.0
1995-07-24,2.75,3.0,2.75,3.0,600.0
1995-07-25,3.25,3.25,3.25,3.25,17500.0
