Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-10-03,23.0,23.49,20.46,21.18,4243670.0
2018-10-04,21.5,21.5,20.6,20.96,272729.0
2018-10-05,20.95,21.74,20.88,20.99,132499.0
2018-10-08,20.95,20.95,19.9,20.04,114839.0
2018-10-09,20.0,20.3,19.72,19.94,504904.0
2018-10-10,20.0,20.14,19.7,20.0,239551.0
2018-10-11,19.83,20.3,18.85,19.04,160530.0
2018-10-12,19.3,19.71,19.0,19.21,117926.0
2018-10-15,19.3,19.74,19.0,19.43,107243.0
2018-10-16,19.35,20.83,19.35,20.2,79194.0
2018-10-17,20.03,20.35,20.0,20.1,50729.0
2018-10-18,20.1,20.22,19.01,19.14,36289.0
2018-10-19,19.15,20.47,19.15,19.44,72000.0
2018-10-22,19.66,19.66,18.03,18.95,61469.0
2018-10-23,18.55,19.15,18.0,18.8,74089.0
2018-10-24,18.93,19.05,17.24,17.24,106238.0
2018-10-25,17.26,20.32,16.7,19.5,255116.0
2018-10-26,19.5,19.605,18.6,18.69,169699.0
2018-10-29,19.15,19.2,17.8,17.99,98731.0
2018-10-30,18.05,19.03,18.05,18.84,87592.0
2018-10-31,19.46,19.66,19.12,19.2,89385.0
2018-11-01,19.38,20.64,19.22,20.23,98845.0
2018-11-02,20.65,20.69,19.67,20.26,71976.0
2018-11-05,20.59,20.59,19.18,19.34,59126.0
2018-11-06,19.43,19.925,19.35,19.4,32487.0
2018-11-07,19.76,21.1,19.51,20.29,152372.0
2018-11-08,20.02,20.02,15.99,18.07,564029.0
2018-11-09,18.49,18.49,17.525,17.68,199478.0
2018-11-12,17.98,17.98,17.5,17.7,95802.0
2018-11-13,17.8,18.44,17.8,18.11,79016.0
2018-11-14,18.47,18.57,18.26,18.55,64895.0
2018-11-15,18.5,18.85,18.49,18.74,75753.0
2018-11-16,18.66,19.49,18.65,19.2,146468.0
2018-11-19,19.2,19.2,16.24,16.46,176323.0
2018-11-20,15.98,16.88,15.69,16.1,91211.0
2018-11-21,16.27,16.97,15.92,16.65,89225.0
2018-11-23,17.18,17.18,16.65,16.89,62684.0
2018-11-26,17.1,17.31,16.71,17.0,83043.0
2018-11-27,16.95,17.07,16.65,16.71,35711.0
2018-11-28,16.76,17.82,16.58,17.63,82584.0
2018-11-29,17.74,18.19,17.64,18.05,57818.0
2018-11-30,18.21,18.97,18.18,18.63,76597.0
2018-12-03,19.32,19.32,18.66,18.89,71810.0
2018-12-04,19.28,19.28,18.19,18.39,117114.0
2018-12-06,17.97,18.25,17.51,18.04,48952.0
2018-12-07,17.86,18.11,17.06,17.09,88059.0
2018-12-10,17.22,17.22,16.32,16.59,56758.0
2018-12-11,17.0,17.14,15.82,16.01,218011.0
2018-12-12,16.1,16.565,16.03,16.49,99746.0
2018-12-13,16.47,17.07,16.21,16.87,88402.0
2018-12-14,16.58,17.44,16.58,17.39,80720.0
2018-12-17,17.18,18.76,17.18,18.44,387666.0
2018-12-18,18.43,19.66,18.11,19.44,209617.0
2018-12-19,19.59,21.69,19.59,20.04,241127.0
2018-12-20,19.76,21.28,19.76,20.67,223544.0
2018-12-21,21.11,21.12,18.65,19.56,2514125.0
2018-12-24,19.23,19.4,17.76,18.1,51596.0
2018-12-26,18.29,18.33,16.85,17.62,145269.0
2018-12-27,17.44,18.0,16.9,17.9,100423.0
2018-12-28,17.95,17.95,17.34,17.86,79143.0
2018-12-31,18.0,18.24,17.6,18.11,159329.0
2019-01-02,17.85,18.73,17.51,18.53,87649.0
2019-01-03,18.39,18.5,17.63,17.87,124586.0
2019-01-04,17.95,18.97,17.95,18.59,143547.0
2019-01-07,18.75,18.75,18.17,18.7,79133.0
2019-01-08,18.87,19.14,18.84,19.13,66174.0
2019-01-09,19.11,19.44,19.01,19.34,47391.0
2019-01-10,19.27,19.27,18.92,19.0,84674.0
2019-01-11,18.85,19.18,18.85,18.99,58405.0
2019-01-14,18.7,18.91,18.59,18.8,79430.0
2019-01-15,18.74,19.15,18.74,18.97,36534.0
