Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-09-27,10.5,11.9,10.06,11.65,2120988.0
2018-09-28,11.15,12.265,10.75,12.0,170322.0
2018-10-01,11.9,12.05,11.4,11.95,54839.0
2018-10-02,11.92,12.85,11.41,12.75,78671.0
2018-10-03,12.63,13.13,12.25,13.0,58115.0
2018-10-04,13.29,13.98,12.82,13.98,42793.0
2018-10-05,13.93,13.93,13.105,13.48,19938.0
2018-10-08,13.26,13.7,12.62,13.03,19134.0
2018-10-09,12.91,12.97,12.61,12.73,19335.0
2018-10-10,13.07,13.64,12.63,13.52,24202.0
2018-10-11,13.61,13.74,13.1,13.49,13628.0
2018-10-12,13.64,13.64,13.27,13.58,14985.0
2018-10-15,13.42,13.72,13.03,13.65,28515.0
2018-10-16,13.5,14.0,13.05,14.0,56453.0
2018-10-17,14.0,14.0,12.71,12.89,21642.0
2018-10-18,12.84,12.84,11.57,12.19,14593.0
2018-10-19,11.75,12.68,11.26,12.68,16562.0
2018-10-22,12.68,13.18,12.29,12.58,21733.0
2018-10-23,12.44,12.75,12.0,12.48,10809.0
2018-10-24,12.48,12.92,12.06,12.43,13920.0
2018-10-25,12.43,12.55,10.79,11.38,30208.0
2018-10-26,11.46,11.53,11.04,11.04,32280.0
2018-10-29,11.09,11.2,9.52,10.13,17042.0
2018-10-30,10.2,10.2,9.84,9.85,8119.0
2018-10-31,9.93,10.05,9.93,10.05,2570.0
2018-11-01,10.26,10.26,9.4,9.4,7113.0
2018-11-02,9.36,9.85,8.56,9.18,22143.0
2018-11-05,9.2,9.49,8.3,8.6,29163.0
2018-11-06,8.6,8.9,8.32,8.44,7896.0
2018-11-07,8.49,8.94,8.26,8.4,5708.0
2018-11-08,8.6,8.77,8.34,8.45,10869.0
2018-11-09,8.37,8.37,7.52,7.7,5389.0
2018-11-12,7.64,7.97,7.15,7.83,30830.0
2018-11-13,7.83,7.99,7.25,7.41,24614.0
2018-11-14,7.47,7.47,6.87,7.23,16215.0
2018-11-15,7.21,8.2,7.1,7.45,16662.0
2018-11-16,7.48,7.93,6.65,7.48,8554.0
2018-11-19,7.47,8.41,7.47,7.81,5631.0
2018-11-20,7.74,8.0,7.13,7.96,13532.0
2018-11-21,8.02,8.18,7.65,8.01,11459.0
2018-11-23,8.02,8.3,7.94,8.3,2543.0
2018-11-26,8.34,8.44,8.15,8.3,12816.0
2018-11-27,8.24,8.5,7.91,8.3,7842.0
2018-11-28,8.25,8.67,8.1,8.1,4119.0
2018-11-29,8.11,8.61,8.07,8.09,10925.0
2018-11-30,8.0,8.32,7.91,8.26,6114.0
2018-12-03,8.41,8.41,7.93,8.1,4619.0
2018-12-04,8.08,8.08,7.84,7.84,1096.0
2018-12-06,7.42,7.5,6.94,6.95,15783.0
2018-12-07,6.96,7.0,6.76,6.8,12708.0
2018-12-10,6.66,6.85,6.25,6.5,9308.0
2018-12-11,6.47,7.11,6.44,6.44,9366.0
2018-12-12,6.47,6.53,5.99,6.19,18602.0
2018-12-13,6.15,6.39,5.91,6.0,6779.0
2018-12-14,5.82,6.02,5.72,6.0,10878.0
2018-12-17,5.88,6.01,5.51,5.51,9157.0
2018-12-18,5.55,5.85,5.36,5.36,10488.0
2018-12-19,5.26,5.56,5.26,5.47,11205.0
2018-12-20,5.34,5.45,5.18,5.18,18172.0
2018-12-21,5.2,5.2,4.11,4.29,42604.0
2018-12-24,4.26,5.6,4.26,5.21,12486.0
2018-12-26,5.19,5.37,4.98,5.24,20455.0
2018-12-27,5.59,5.84,5.345,5.8,12032.0
2018-12-28,6.13,6.69,5.85,6.26,18131.0
2018-12-31,6.25,6.7,6.19,6.59,8185.0
2019-01-02,6.66,7.18,6.63,7.0,14784.0
2019-01-03,6.98,7.15,6.49,6.87,2546.0
2019-01-04,7.16,7.16,6.6,6.81,2798.0
2019-01-07,7.08,7.42,6.93,7.34,7596.0
2019-01-08,7.34,7.38,6.95,6.95,5098.0
2019-01-09,6.96,7.34,6.96,7.34,3874.0
2019-01-10,7.32,7.39,7.07,7.12,1573.0
2019-01-11,7.13,9.405,7.13,8.285,21202.0
2019-01-14,8.26,9.18,8.26,8.88,5329.0
2019-01-15,8.9,10.48,8.9,9.08,10275.0
2019-01-16,9.1,9.64,8.0,9.62,10734.0
2019-01-17,9.75,9.75,9.06,9.06,9276.0
2019-01-18,9.1,9.44,8.61,8.61,1479.0
2019-01-22,8.66,9.39,8.65,9.05,5939.0
2019-01-23,9.75,9.75,8.49,8.69,4246.0
2019-01-24,8.49,9.08,8.49,9.08,700.0
2019-01-25,9.05,9.31,8.61,8.62,4794.0
2019-01-28,8.67,8.87,8.67,8.86,2382.0
2019-01-29,8.95,9.16,8.95,9.08,3129.0
2019-01-30,9.2,9.27,8.72,9.27,4283.0
2019-01-31,9.24,9.24,8.78,9.02,1107.0
2019-02-01,8.77,8.91,8.77,8.9,602.0
2019-02-04,8.99,9.51,8.9,9.51,2140.0
2019-02-05,9.18,9.18,8.85,8.85,3018.0
2019-02-06,8.83,8.84,8.83,8.84,440.0
2019-02-07,8.82,9.29,8.82,9.29,742.0
2019-02-08,8.89,9.41,8.89,9.41,250.0
2019-02-11,9.46,9.49,9.05,9.06,3327.0
2019-02-12,9.15,9.3,8.74,9.04,10874.0
2019-02-13,9.08,9.14,8.86,9.14,2784.0
2019-02-14,8.94,10.765,8.94,10.5,8931.0
2019-02-15,10.52,10.92,10.35,10.35,6363.0
2019-02-19,10.32,10.8,9.9,10.79,13858.0
2019-02-20,10.8,10.8,10.49,10.5,11694.0
2019-02-21,10.46,11.11,10.46,11.0,7727.0
2019-02-22,11.01,11.26,11.01,11.23,3690.0
2019-02-25,11.22,12.0,11.22,11.46,5307.0
2019-02-26,11.6,12.53,11.6,12.09,5966.0
2019-02-27,12.07,12.3,11.97,12.01,7531.0
2019-02-28,12.01,12.22,11.88,12.22,3738.0
2019-03-01,12.21,12.89,12.21,12.4,1416.0
2019-03-04,12.58,13.115,12.58,12.88,5098.0
2019-03-05,12.94,13.59,12.94,13.28,4879.0
2019-03-06,13.39,13.47,13.12,13.2,3285.0
2019-03-07,13.21,13.26,12.77,13.15,13489.0
2019-03-08,13.16,13.36,12.93,13.05,9572.0
2019-03-11,13.06,13.38,13.06,13.23,1392.0
2019-03-12,13.24,13.75,13.24,13.75,19392.0
2019-03-13,13.75,13.82,13.25,13.41,6737.0
2019-03-14,13.42,13.75,13.42,13.75,3619.0
2019-03-15,13.82,14.34,13.7,14.1,86664.0
2019-03-18,14.08,14.2,13.75,13.91,13986.0
2019-03-19,12.1,12.1,9.52,11.0,290129.0
2019-03-20,11.83,11.83,11.11,11.64,28344.0
