Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-08-11,5.49,5.49,4.81,5.1,4736.0
2015-08-12,5.0,5.2,5.0,5.0,857.0
2015-08-13,5.35,5.35,5.15,5.15,1833.0
2015-08-14,5.25,5.25,4.8,4.92,4015.0
2015-08-17,4.49,4.49,3.55,4.1,23113.0
2015-08-18,4.0,4.0,3.65,3.65,2086.0
2015-08-19,3.76,3.96,3.55,3.75,6270.0
2015-08-20,3.9,4.18,3.65,3.65,54870.0
2015-08-21,3.36,3.42,2.49,2.55,35220.0
2015-08-24,2.75,3.12,2.75,3.1,19376.0
2015-08-25,3.5,3.8,3.34,3.37,6652.0
2015-08-26,3.5,3.5,3.24,3.44,2524.0
2015-08-27,3.52,3.52,3.26,3.47,2075.0
2015-08-28,3.46,3.46,3.41,3.45,1211.0
2015-08-31,3.42,3.63,3.42,3.63,125.0
2015-09-01,3.63,3.63,3.36,3.37,4575.0
2015-09-02,3.36,3.8,3.33,3.45,9248.0
2015-09-03,3.43,3.5,3.3,3.5,6151.0
2015-09-04,3.53,3.53,3.53,3.53,268.0
2015-09-08,3.46,3.56,3.37,3.45,6644.0
2015-09-09,3.4,3.55,3.4,3.51,1094.0
2015-09-10,3.43,3.6,3.43,3.6,1978.0
2015-09-11,3.58,3.7,3.5,3.68,3367.0
2015-09-14,3.69,3.74,3.69,3.7,2964.0
2015-09-15,3.74,3.75,3.68,3.72,8198.0
2015-09-16,3.69,3.69,3.6,3.66,3994.0
2015-09-17,3.7,3.8,3.7,3.78,5712.0
2015-09-18,3.79,3.79,2.84,2.84,51179.0
2015-09-21,3.28,3.5,3.17,3.41,9930.0
2015-09-22,3.54,3.54,3.16,3.26,5248.0
2015-09-23,3.35,3.42,3.22,3.29,7288.0
2015-09-24,3.31,3.31,3.16,3.21,3324.0
2015-09-25,3.3,3.31,3.1,3.15,3566.0
2015-09-28,3.0,3.15,2.91,2.91,3034.0
2015-09-29,2.91,3.0,2.91,3.0,4996.0
2015-09-30,2.98,3.0,2.88,2.95,940.0
2015-10-01,2.95,2.98,2.92,2.92,1830.0
2015-10-02,2.98,3.0,2.88,2.88,2902.0
2015-10-05,2.86,2.94,2.86,2.94,269.0
2015-10-06,2.9,2.94,2.9,2.93,1265.0
2015-10-07,2.95,2.95,2.9,2.9,2897.0
2015-10-08,2.9,2.91,2.82,2.82,3579.0
2015-10-09,2.82,2.83,2.8,2.8,600.0
2015-10-12,2.78,2.78,2.78,2.78,100.0
2015-10-13,2.8,2.86,2.8,2.86,1376.0
2015-10-14,2.81,2.85,2.75,2.75,809.0
2015-10-15,2.85,2.89,2.785,2.85,2605.0
2015-10-16,2.96,2.96,2.84,2.84,3901.0
2015-10-19,2.89,2.89,2.78,2.78,899.0
2015-10-20,2.82,2.88,2.82,2.83,550.0
2015-10-21,2.77,2.77,2.77,2.77,50.0
2015-10-22,2.84,2.84,2.84,2.84,12.0
2015-10-23,2.83,2.84,2.83,2.84,1328.0
2015-10-26,2.73,2.73,2.66,2.73,3746.0
2015-10-27,2.64,2.73,2.64,2.68,697.0
2015-10-28,2.73,2.73,2.63,2.63,208.0
2015-10-29,2.75,2.77,2.75,2.77,113.0
2015-10-30,2.65,2.67,2.56,2.67,720.0
2015-11-02,2.67,2.72,2.67,2.72,1800.0
2015-11-03,2.75,2.75,2.75,2.75,400.0
2015-11-04,2.75,2.8,2.75,2.8,1925.0
2015-11-06,2.77,2.77,2.58,2.61,4598.0
2015-11-09,2.69,2.69,2.63,2.64,2305.0
2015-11-10,2.6,2.61,2.53,2.59,3814.0
2015-11-11,2.55,2.57,2.55,2.57,300.0
2015-11-12,2.53,2.53,2.46,2.46,300.0
2015-11-13,2.41,2.44,2.41,2.44,1254.0
2015-11-16,2.41,2.41,2.39,2.39,404.0
2015-11-17,2.39,2.39,2.22,2.22,1348.0
2015-11-18,2.21,2.23,2.08,2.21,1642.0
2015-11-19,2.11,2.14,2.11,2.14,300.0
2015-11-20,2.2,2.35,2.2,2.35,800.0
2015-11-23,2.27,2.27,2.18,2.18,600.0
2015-11-24,2.12,2.12,2.08,2.08,1100.0
2015-11-25,2.1,2.1,2.07,2.1,1147.0
2015-11-27,2.06,2.11,2.04,2.06,4227.0
2015-11-30,2.08,2.16,2.02,2.16,2321.0
2015-12-01,2.11,2.11,2.0,2.01,2502.0
2015-12-02,2.0,2.11,2.0,2.06,2566.0
2015-12-03,2.09,2.09,2.02,2.02,703.0
2015-12-04,2.01,2.09,2.01,2.09,350.0
2015-12-07,2.06,2.07,2.05,2.07,800.0
2015-12-08,2.1,2.12,2.06,2.06,21296.0
2015-12-09,2.09,2.09,2.04,2.05,21626.0
2015-12-10,2.02,2.1,2.02,2.1,7041.0
2015-12-11,2.07,2.11,2.04,2.04,12909.0
2015-12-14,2.02,2.07,2.02,2.07,6753.0
2015-12-15,2.07,2.07,2.03,2.07,9811.0
2015-12-16,2.1,2.12,2.07,2.12,8145.0
2015-12-17,2.09,2.09,2.0,2.02,6513.0
2015-12-18,2.07,2.07,1.84,1.86,41225.0
2015-12-21,1.92,1.99,1.88,1.99,2376.0
2015-12-22,2.04,2.07,1.91,2.07,10007.0
2015-12-23,2.1,2.11,2.06,2.06,10300.0
2015-12-24,2.06,2.06,2.06,2.06,3104.0
2015-12-28,2.07,2.07,2.05,2.05,10660.0
2015-12-29,2.05,2.07,2.05,2.05,12639.0
2015-12-30,2.03,2.07,2.0,2.06,15012.0
2015-12-31,2.04,2.04,1.99,1.99,755.0
2016-01-04,1.99,2.13,1.99,2.01,10823.0
2016-01-05,2.04,2.04,2.03,2.04,1010.0
2016-01-06,1.98,1.98,1.98,1.98,125.0
2016-01-07,1.97,2.03,1.95,1.95,2985.0
2016-01-08,2.06,2.06,2.0,2.05,15087.0
2016-01-11,2.05,2.05,2.04,2.04,590.0
2016-01-12,2.12,2.16,2.09,2.09,20050.0
2016-01-13,2.1,2.1,2.01,2.05,9600.0
2016-01-14,2.07,2.08,1.92,2.08,12314.0
2016-01-15,2.07,2.15,2.06,2.1,14879.0
2016-01-19,2.13,2.13,2.02,2.04,14107.0
2016-01-20,2.07,2.07,1.91,2.03,10294.0
2016-01-21,2.08,2.08,1.99,1.99,12232.0
2016-01-22,2.07,2.13,2.07,2.12,14100.0
2016-01-25,2.03,2.07,2.01,2.01,5308.0
2016-01-26,2.0,2.04,2.0,2.04,314.0
2016-01-27,2.07,2.18,2.01,2.14,14984.0
2016-01-28,2.12,2.12,2.09,2.09,500.0
2016-01-29,2.12,2.15,2.09,2.11,10717.0
2016-02-01,2.14,2.14,1.95,2.09,12900.0
2016-02-02,2.12,2.19,2.12,2.13,644.0
2016-02-03,2.14,2.16,2.14,2.16,11837.0
2016-02-04,2.15,2.17,2.15,2.17,10500.0
2016-02-05,2.15,2.15,2.1,2.1,22.0
2016-02-08,2.08,2.08,1.95,1.95,847.0
2016-02-09,1.92,1.92,1.92,1.92,50.0
2016-02-10,2.0,2.0,1.88,1.9,228.0
2016-02-11,1.88,1.88,1.8,1.8,15080.0
2016-02-12,1.88,1.99,1.88,1.99,888.0
2016-02-16,1.9,1.9,1.9,1.9,255.0
2016-02-17,1.9,1.98,1.9,1.98,1064.0
2016-02-18,1.9,1.95,1.9,1.95,125.0
2016-02-19,1.98,2.07,1.98,2.04,16964.0
2016-02-22,2.1,2.1,2.0,2.06,11335.0
2016-02-23,2.01,2.05,2.01,2.05,507.0
2016-02-24,2.0,2.07,2.0,2.05,4363.0
2016-02-25,2.07,2.07,2.06,2.06,9200.0
2016-02-26,2.07,2.1,2.05,2.1,7624.0
2016-02-29,2.07,2.07,2.02,2.02,5494.0
2016-03-01,2.07,2.07,2.05,2.06,305.0
2016-03-02,2.07,2.1,2.07,2.1,14100.0
2016-03-03,2.1,2.18,2.08,2.08,10157.0
2016-03-04,2.1,2.12,2.08,2.11,13400.0
2016-03-07,2.11,2.12,2.09,2.09,6904.0
2016-03-08,2.06,2.09,2.04,2.06,5758.0
2016-03-09,2.05,2.05,1.98,1.99,242.0
2016-03-10,2.03,2.07,1.94,1.97,4205.0
2016-03-11,2.04,2.08,2.02,2.08,9600.0
2016-03-14,2.0,2.08,2.0,2.08,11466.0
2016-03-15,2.04,2.08,2.04,2.08,6233.0
2016-03-16,2.07,2.1,2.07,2.07,11890.0
2016-03-17,2.07,2.11,2.07,2.11,12073.0
2016-03-18,2.12,2.12,2.07,2.08,13330.0
2016-03-21,2.05,2.06,2.05,2.06,834.0
2016-03-22,2.07,2.11,2.07,2.09,15213.0
2016-03-23,2.09,2.09,2.08,2.08,200.0
2016-03-24,2.08,2.08,2.03,2.07,7996.0
2016-03-28,1.98,1.98,1.6,1.77,19802.0
2016-03-29,1.7,1.86,1.7,1.86,599.0
2016-03-30,1.85,1.85,1.78,1.78,1822.0
2016-03-31,1.74,1.74,1.69,1.72,900.0
2016-04-01,1.74,1.85,1.74,1.82,3857.0
2016-04-04,1.86,1.86,1.76,1.84,1657.0
2016-04-05,1.83,1.83,1.8,1.81,346.0
