Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-10-09,14.0,14.0,13.11,13.95,415412.0
2014-10-10,13.59,15.37,13.59,14.89,2980.0
2014-10-13,14.26,14.51,14.26,14.5,8820.0
2014-10-14,14.37,14.5,13.66,13.66,6030.0
2014-10-15,13.65,13.66,13.65,13.65,15368.0
2014-10-16,13.65,13.65,13.65,13.65,300.0
2014-10-17,13.89,13.9,13.7,13.7,2089.0
2014-10-20,13.68,13.68,13.65,13.65,1300.0
2014-10-22,13.98,13.98,13.6,13.65,5973.0
2014-10-23,13.65,13.745,13.65,13.7,1420.0
2014-10-24,13.62,13.8,13.6,13.68,6768.0
2014-10-27,13.7,14.22,13.62,13.7,5612.0
2014-10-28,13.74,13.9,13.65,13.79,7100.0
2014-10-29,13.69,14.0,13.69,13.96,699.0
2014-10-31,13.75,13.96,13.75,13.96,7282.0
2014-11-03,13.89,13.95,13.64,13.9,9862.0
2014-11-04,13.74,14.5,13.74,14.5,644.0
2014-11-05,14.46,14.5,14.23,14.5,7235.0
2014-11-06,14.66,15.47,14.51,15.02,6619.0
2014-11-07,15.0,15.4,14.92,15.01,4675.0
2014-11-10,14.78,14.9,14.55,14.6,15775.0
2014-11-11,14.6,14.99,14.6,14.99,10954.0
2014-11-12,14.7,14.89,14.69,14.89,249.0
2014-11-13,14.88,15.16,14.6,14.9,7252.0
2014-11-14,14.1,14.65,14.1,14.65,3873.0
2014-11-17,14.58,14.85,14.4,14.6,1360.0
2014-11-18,14.51,15.41,14.51,15.22,6191.0
2014-11-19,15.19,15.4,15.19,15.35,11431.0
2014-11-20,15.69,15.75,14.66,15.15,1239.0
2014-11-21,15.6,16.16,15.24,15.43,4680.0
2014-11-24,15.38,16.44,15.38,16.44,2003.0
2014-11-25,15.44,16.25,14.33,16.22,3884.0
2014-11-26,15.95,15.95,15.89,15.89,614.0
2014-11-28,16.01,16.04,15.25,15.98,1814.0
2014-12-01,15.43,15.43,15.25,15.43,754.0
2014-12-02,15.35,15.61,14.79,15.61,1579.0
2014-12-03,15.33,15.76,15.03,15.76,836.0
2014-12-04,15.63,15.63,15.05,15.16,3839.0
2014-12-05,15.84,15.84,15.02,15.36,7012.0
2014-12-08,15.45,15.79,15.1,15.1,1814.0
2014-12-09,15.04,15.44,14.84,15.44,4022.0
2014-12-10,15.0,15.01,14.51,14.51,1472.0
2014-12-11,14.93,15.25,14.93,15.22,7298.0
2014-12-12,15.09,15.09,14.74,14.93,834.0
2014-12-15,14.69,14.7,14.5,14.7,2722.0
2014-12-16,14.7,14.7,14.26,14.26,5919.0
2014-12-17,14.62,14.62,13.03,14.1,4532.0
2014-12-18,14.34,14.34,14.0,14.12,25367.0
2014-12-19,14.0,14.15,12.8,12.86,41785.0
2014-12-22,13.06,14.35,13.06,14.26,3077.0
2014-12-23,14.25,14.42,14.25,14.42,6912.0
2014-12-24,14.25,14.25,14.22,14.22,66.0
2014-12-26,14.22,14.22,14.22,14.22,179.0
2014-12-29,14.33,14.33,14.04,14.04,150.0
2014-12-30,13.75,14.13,13.75,14.13,3078.0
2014-12-31,14.2,14.2,14.17,14.17,317.0
2015-01-02,14.04,14.37,14.04,14.37,4938.0
2015-01-05,13.82,13.82,13.82,13.82,568.0
2015-01-06,14.0,14.28,13.9,14.03,7964.0
2015-01-07,14.26,14.3,13.95,13.95,1715.0
2015-01-08,14.24,14.24,13.85,14.2,2793.0
2015-01-09,14.03,14.28,13.91,14.09,18145.0
2015-01-12,13.99,13.99,13.99,13.99,200.0
2015-01-13,13.8,13.83,13.52,13.52,6340.0
2015-01-14,13.55,13.75,13.35,13.75,3658.0
2015-01-15,13.57,13.57,13.27,13.3,1345.0
2015-01-16,13.28,13.32,13.0,13.32,4173.0
2015-01-20,12.92,13.03,12.92,13.0,3521.0
2015-01-21,12.98,13.0,12.85,13.0,2640.0
2015-01-22,13.64,14.5,12.98,13.25,6050.0
2015-01-23,13.17,13.37,13.07,13.37,11540.0
2015-01-26,13.27,13.27,13.27,13.27,401.0
2015-01-27,13.22,13.22,12.88,12.88,331.0
2015-01-28,12.9,13.04,12.87,12.87,10680.0
2015-01-29,12.92,13.2,12.92,13.08,3722.0
2015-01-30,12.87,13.15,12.87,13.15,983.0
2015-02-02,13.15,13.24,13.0,13.24,8234.0
2015-02-03,13.2,13.3,13.02,13.3,10761.0
2015-02-04,13.06,13.61,13.06,13.44,5601.0
2015-02-05,13.54,16.0,13.54,14.18,3798.0
2015-02-06,14.1,15.25,14.1,14.7,3565.0
2015-02-09,14.95,15.14,13.37,15.14,1801.0
2015-02-10,14.65,14.75,14.55,14.72,600.0
2015-02-11,14.57,14.6,14.23,14.48,4436.0
2015-02-12,14.4,14.5,14.14,14.14,840.0
2015-02-13,14.42,14.55,14.42,14.45,2572.0
2015-02-17,14.36,14.36,14.22,14.26,1395.0
2015-02-18,14.39,14.39,13.86,13.9,1677.0
2015-02-19,14.37,14.38,14.23,14.23,480.0
2015-02-20,13.98,14.2,13.36,14.2,2259.0
2015-02-23,13.74,14.02,13.74,13.88,1523.0
2015-02-24,14.13,14.21,13.8,14.21,3223.0
2015-02-25,14.37,14.4,14.13,14.33,4370.0
2015-02-26,14.01,14.01,14.01,14.01,143.0
2015-02-27,13.99,14.2,13.99,14.11,644.0
2015-03-02,14.23,14.3,13.84,14.27,1266.0
2015-03-03,14.25,14.25,13.83,14.16,961.0
2015-03-04,14.22,14.35,13.85,14.35,572.0
2015-03-05,14.27,14.27,13.87,13.87,6221.0
2015-03-06,14.01,14.25,13.9,13.9,2156.0
2015-03-09,13.87,13.87,12.09,13.6,5265.0
2015-03-10,13.6,13.78,13.6,13.77,1901.0
2015-03-11,13.975,13.975,13.975,13.975,100.0
2015-03-12,13.98,14.22,13.9,14.22,1639.0
2015-03-13,14.22,14.23,14.22,14.23,200.0
2015-03-16,14.23,14.25,14.05,14.05,542.0
2015-03-17,14.38,14.38,14.28,14.28,490.0
2015-03-19,14.15,14.15,14.15,14.15,100.0
2015-03-20,14.19,14.19,14.01,14.01,91.0
2015-03-23,13.68,14.0,13.68,13.93,394.0
2015-03-24,14.02,14.02,14.02,14.02,139.0
2015-03-25,14.0,14.0,13.82,13.82,234.0
2015-03-27,14.07,14.07,14.07,14.07,1.0
2015-03-30,14.1,14.1,14.1,14.1,1.0
2015-03-31,13.96,14.0,13.96,13.97,1206.0
2015-04-01,13.94,14.04,13.91,13.91,2016.0
2015-04-02,13.98,14.1,13.98,14.02,2272.0
2015-04-06,14.06,14.06,13.97,13.97,210.0
2015-04-07,14.01,14.01,14.0,14.0,651.0
2015-04-08,14.0,14.05,14.0,14.05,559.0
2015-04-09,14.0,14.06,14.0,14.06,724.0
2015-04-10,14.1,14.19,14.09,14.19,4918.0
2015-04-13,14.12,14.2,14.12,14.2,269.0
2015-04-14,14.25,14.25,14.25,14.25,155.0
2015-04-15,14.35,14.49,14.35,14.49,1312.0
2015-04-16,14.49,14.59,14.49,14.59,688.0
2015-04-17,14.45,14.74,14.45,14.74,1569.0
2015-04-20,14.75,14.75,14.43,14.43,1182.0
2015-04-21,14.58,14.69,14.57,14.69,1006.0
2015-04-22,14.7,14.7,14.69,14.69,6.0
2015-04-23,14.67,14.68,14.65,14.68,795.0
2015-04-24,14.62,14.94,14.62,14.94,1711.0
2015-04-27,14.85,14.85,14.55,14.55,321.0
2015-04-28,14.42,14.49,14.42,14.49,125.0
2015-04-29,14.5,14.5,14.5,14.5,102.0
2015-04-30,14.45,14.5,14.44,14.49,3002.0
2015-05-01,14.49,14.74,14.4,14.51,4483.0
2015-05-04,14.55,14.6,14.55,14.6,1316.0
2015-05-05,14.49,14.5,14.49,14.5,100.0
2015-05-06,14.45,14.45,14.41,14.41,550.0
2015-05-08,14.4,14.4,14.12,14.29,1203.0
2015-05-11,14.2,14.2,14.01,14.01,183.0
2015-05-12,14.24,14.24,14.22,14.22,624.0
2015-05-14,14.25,14.25,14.03,14.03,328.0
2015-05-18,13.94,13.94,13.44,13.44,130.0
2015-05-19,13.77,13.99,13.77,13.99,800.0
2015-05-20,13.98,13.98,13.98,13.98,16.0
2015-05-21,13.75,13.87,13.72,13.87,7370.0
