Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-02-02,1.6875,1.6875,1.6875,1.6875,2000.0
1995-02-03,1.6875,1.75,1.6875,1.6875,12400.0
1995-02-07,1.6875,1.6875,1.6875,1.6875,800.0
1995-02-10,1.6875,1.6875,1.6875,1.6875,400.0
1995-02-14,1.9375,1.9375,1.6875,1.6875,4400.0
1995-02-17,1.6875,1.6875,1.6875,1.6875,1600.0
1995-02-27,1.78125,1.78125,1.78125,1.78125,800.0
1995-03-09,1.9375,1.9375,1.9375,1.9375,2800.0
1995-03-17,1.6875,1.6875,1.6875,1.6875,400.0
1995-03-21,1.6875,1.6875,1.6875,1.6875,800.0
1995-03-23,1.6875,1.6875,1.6875,1.6875,400.0
1995-03-29,1.6875,1.6875,1.6875,1.6875,4800.0
1995-03-30,1.6875,1.75,1.6875,1.75,105200.0
1995-04-11,1.9375,1.9375,1.9375,1.9375,2800.0
1995-04-19,1.6875,1.75,1.6875,1.75,35600.0
1995-04-24,1.6875,1.6875,1.6875,1.6875,1600.0
1995-04-26,1.6875,1.6875,1.6875,1.6875,9600.0
1995-04-27,1.75,1.75,1.6875,1.6875,12000.0
1995-05-04,1.6875,1.6875,1.6875,1.6875,2400.0
1995-05-05,1.6875,1.6875,1.6875,1.6875,2800.0
1995-05-09,1.9375,1.9375,1.6875,1.6875,3200.0
1995-05-10,1.875,1.875,1.875,1.875,2000.0
1995-05-23,1.9375,1.9375,1.84375,1.875,14800.0
1995-05-24,1.78125,1.78125,1.78125,1.78125,2000.0
1995-05-26,1.78125,1.78125,1.78125,1.78125,4800.0
1995-05-30,1.75,1.75,1.75,1.75,800.0
1995-06-06,1.75,2.0,1.75,1.75,14000.0
1995-06-15,1.75,1.75,1.75,1.75,2400.0
1995-06-19,1.75,1.75,1.75,1.75,2400.0
1995-06-20,1.75,1.75,1.75,1.75,2000.0
1995-06-26,1.78125,1.78125,1.78125,1.78125,8400.0
1995-06-27,1.75,1.8125,1.75,1.75,64000.0
1995-06-29,1.75,1.75,1.75,1.75,400.0
1995-07-07,1.75,1.75,1.75,1.75,4000.0
1995-07-10,2.0,2.0,1.75,1.75,4800.0
1995-07-11,1.75,1.75,1.75,1.75,2400.0
1995-07-13,,,,,4000.0
1995-07-21,1.75,1.8125,1.75,1.8125,8400.0
1995-07-27,1.75,1.75,1.75,1.75,5200.0
1995-08-07,1.75,1.75,1.75,1.75,400.0
1995-08-09,2.0,2.0,1.75,1.75,3600.0
1995-08-18,1.75,1.75,1.75,1.75,3200.0
1995-08-21,1.8125,1.8125,1.8125,1.8125,28800.0
1995-08-23,1.75,1.75,1.75,1.75,1200.0
1995-08-28,1.75,1.75,1.75,1.75,4000.0
1995-08-31,1.75,1.78125,1.75,1.78125,22400.0
1995-09-05,2.0,2.0,2.0,2.0,3200.0
1995-09-08,1.8125,1.8125,1.8125,1.8125,6000.0
1995-09-15,1.75,1.75,1.75,1.75,2400.0
1995-09-22,1.75,1.75,1.75,1.75,3600.0
1995-09-26,1.75,1.75,1.75,1.75,2400.0
1995-09-28,1.75,1.75,1.75,1.75,400.0
1995-10-02,1.75,2.0,1.75,1.75,6800.0
1995-10-09,2.0,2.0,1.75,1.78125,142800.0
1995-10-10,1.75,1.75,1.75,1.75,800.0
1995-10-13,1.84375,1.84375,1.84375,1.84375,4000.0
1995-10-16,1.75,1.75,1.75,1.75,7200.0
1995-10-17,1.71875,1.71875,1.71875,1.71875,264000.0
1995-10-18,1.75,1.75,1.75,1.75,3200.0
1995-10-24,1.75,1.75,1.75,1.75,400.0
1995-10-25,1.75,1.78125,1.75,1.75,28800.0
1995-11-06,2.0,2.0,1.75,1.75,8800.0
1995-11-07,1.75,1.78125,1.75,1.78125,30000.0
1995-11-08,1.75,1.75,1.75,1.75,1600.0
1995-11-09,1.75,1.75,1.75,1.75,400.0
1995-11-13,1.75,1.75,1.75,1.75,800.0
1995-11-14,1.75,1.75,1.75,1.75,52400.0
1995-11-15,1.75,1.75,1.75,1.75,2400.0
1995-11-17,1.75,1.75,1.75,1.75,4000.0
1995-11-21,1.75,1.75,1.75,1.75,800.0
1995-11-22,1.75,1.9375,1.6875,1.75,6000.0
