Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2018-06-15,20.0,22.0,16.61,17.5,576496.0
2018-06-18,17.98,19.0,17.745,18.5,46532.0
2018-06-19,18.42,20.19,18.4,19.57,46012.0
2018-06-20,19.66,22.505,19.66,20.24,29964.0
2018-06-21,20.28,21.0,19.61,20.06,14896.0
2018-06-22,20.0,20.66,20.0,20.03,7434.0
2018-06-25,20.08,20.3,20.0,20.3,19466.0
2018-06-26,20.24,20.8,20.02,20.25,3848.0
2018-06-27,20.15,20.61,19.61,19.66,5260.0
2018-06-28,20.13,20.13,19.5,19.6,7219.0
2018-06-29,19.99,19.99,19.5,19.73,4758.0
2018-07-02,19.62,19.8,19.5,19.8,901.0
2018-07-03,19.84,20.1,19.52,19.65,2416.0
2018-07-05,19.8,20.06,19.61,19.77,1301.0
2018-07-06,19.77,19.94,19.25,19.82,12248.0
2018-07-09,19.95,20.01,19.51,19.77,1915.0
2018-07-10,20.0,20.0,18.4,18.54,15919.0
2018-07-11,18.97,19.0,18.55,18.64,7484.0
2018-07-12,18.58,18.83,18.58,18.65,7228.0
2018-07-13,18.76,18.88,18.5,18.88,4130.0
2018-07-16,18.58,18.96,18.42,18.42,9396.0
2018-07-17,18.42,18.66,18.15,18.31,6756.0
2018-07-18,18.25,18.42,18.1,18.4,2655.0
2018-07-19,18.25,18.43,18.25,18.425,2473.0
2018-07-20,18.44,18.9,18.44,18.46,1687.0
2018-07-23,18.45,18.79,18.45,18.61,481.0
2018-07-24,19.1,19.1,18.67,18.7,1396.0
2018-07-25,18.68,18.81,18.2,18.2,4823.0
2018-07-26,18.31,18.31,17.55,17.6,5396.0
2018-07-27,17.73,17.9,17.44,17.68,1281.0
2018-07-30,17.68,17.68,17.575,17.6,761.0
2018-07-31,17.68,17.8,17.25,17.25,1731.0
2018-08-01,17.37,17.845,16.14,16.33,18272.0
2018-08-02,16.09,16.25,13.29,14.31,23819.0
2018-08-03,14.26,14.7,13.52,13.75,26371.0
2018-08-06,14.0,15.125,13.635,14.7,20346.0
2018-08-07,14.75,14.88,14.3,14.41,13469.0
2018-08-08,14.48,14.9,14.45,14.57,11662.0
2018-08-09,14.49,15.21,14.4,15.2,7351.0
2018-08-10,15.29,15.4,15.0,15.1,5932.0
2018-08-13,15.1,15.14,14.95,15.0,3601.0
2018-08-14,15.04,16.23,15.04,16.18,2439.0
2018-08-15,16.06,16.95,15.93,16.14,12066.0
2018-08-16,16.32,16.71,16.01,16.1,9194.0
2018-08-17,16.21,16.85,16.21,16.85,3592.0
2018-08-20,16.95,17.22,16.25,17.2,7542.0
2018-08-21,17.08,17.79,16.9,17.25,10123.0
2018-08-22,17.12,18.21,17.0,17.74,30668.0
2018-08-23,17.74,17.9,17.35,17.5,9950.0
2018-08-24,17.64,17.64,17.27,17.59,2814.0
2018-08-27,17.55,17.61,17.2,17.27,6178.0
2018-08-28,17.5,17.95,17.3,17.95,9906.0
2018-08-29,17.83,17.83,17.11,17.16,13858.0
2018-08-30,17.1,17.4,16.8,17.4,9577.0
2018-08-31,17.3,17.46,17.2,17.45,2775.0
2018-09-04,17.57,17.85,16.35,16.45,24697.0
2018-09-05,16.43,16.43,15.75,15.96,13471.0
2018-09-06,16.08,17.12,15.85,16.73,25092.0
2018-09-07,16.76,17.18,16.32,16.65,20745.0
2018-09-10,16.74,16.82,16.22,16.4,15541.0
2018-09-11,16.31,16.7,15.5,16.21,24773.0
2018-09-12,16.23,16.74,15.2,16.35,17547.0
2018-09-13,16.47,16.83,16.27,16.59,13945.0
2018-09-14,16.87,16.87,16.11,16.42,20013.0
2018-09-17,16.44,16.78,16.27,16.36,15480.0
2018-09-18,16.25,16.66,16.25,16.46,16873.0
2018-09-19,16.61,17.44,16.59,17.2,43515.0
2018-09-20,17.11,17.57,16.21,16.49,50063.0
2018-09-21,16.51,16.92,15.55,16.32,484162.0
2018-09-24,16.38,16.62,16.03,16.15,34494.0
2018-09-25,16.23,16.59,15.65,15.7,41142.0
2018-09-26,15.74,16.79,15.74,16.0,18687.0
2018-09-27,16.03,16.41,16.03,16.32,6848.0
2018-09-28,16.29,16.37,15.45,16.25,21692.0
2018-10-01,16.37,16.46,15.87,16.12,27884.0
2018-10-02,16.09,16.09,15.82,15.93,25306.0
2018-10-03,15.93,15.99,15.75,15.93,14655.0
2018-10-04,15.85,15.89,14.91,14.96,25626.0
2018-10-05,14.93,15.52,13.51,13.99,22814.0
2018-10-08,14.02,14.51,14.02,14.15,5407.0
2018-10-09,14.07,14.55,14.05,14.33,11046.0
2018-10-10,14.26,14.26,13.13,14.05,15503.0
2018-10-11,14.0,14.0,13.0,13.21,17149.0
2018-10-12,13.45,13.95,13.13,13.95,12634.0
2018-10-15,13.83,13.92,13.27,13.92,8681.0
2018-10-16,13.95,14.15,13.6,13.92,8486.0
2018-10-17,13.89,13.89,13.44,13.5,7395.0
2018-10-18,13.45,14.0,13.36,13.81,10762.0
2018-10-19,13.83,13.99,13.725,13.79,9671.0
2018-10-22,13.78,13.78,13.16,13.24,7419.0
2018-10-23,13.1,13.3,12.7,13.14,9039.0
2018-10-24,13.11,13.27,12.55,12.66,9352.0
2018-10-25,12.74,12.97,12.22,12.95,5468.0
2018-10-26,12.75,12.96,12.48,12.51,5406.0
2018-10-29,12.7,14.1,12.7,13.02,8815.0
2018-10-30,13.02,13.44,12.56,12.96,13013.0
2018-10-31,13.1,13.54,12.94,13.2,11549.0
2018-11-01,13.23,13.9,12.94,13.35,15842.0
2018-11-02,13.39,13.52,13.19,13.36,3964.0
2018-11-05,13.41,13.47,13.1,13.43,5996.0
2018-11-06,13.4,13.65,13.25,13.26,4767.0
2018-11-07,13.26,13.59,13.25,13.34,10566.0
2018-11-08,13.39,13.39,12.5,12.76,13417.0
2018-11-09,12.67,12.67,11.91,11.99,10978.0
2018-11-12,11.95,14.85,11.95,14.0,28046.0
2018-11-13,14.0,15.6,13.54,15.23,30583.0
2018-11-14,15.4,15.4,13.13,13.57,44990.0
2018-11-15,13.56,14.12,13.45,13.64,17991.0
2018-11-16,13.5,13.74,13.3,13.45,7823.0
2018-11-19,13.5,13.59,13.25,13.26,10038.0
2018-11-20,13.26,13.26,12.34,12.34,10935.0
2018-11-21,12.25,12.39,11.77,12.05,6418.0
2018-11-23,12.1,12.25,11.69,12.24,3042.0
2018-11-26,12.24,12.24,11.64,11.7,5232.0
2018-11-27,11.7,12.78,11.15,11.36,5156.0
2018-11-28,11.29,12.03,11.15,11.68,4766.0
2018-11-29,11.65,11.82,11.31,11.62,7660.0
2018-11-30,11.65,12.36,11.63,12.0,15081.0
2018-12-03,12.18,12.18,11.56,11.79,6709.0
2018-12-04,11.77,12.0,10.8,10.86,8056.0
2018-12-06,10.53,10.53,10.18,10.25,6640.0
2018-12-07,10.35,10.5,10.11,10.25,11270.0
2018-12-10,10.23,10.54,9.905,10.21,8282.0
2018-12-11,10.3,10.3,9.965,10.0,7877.0
2018-12-12,10.0,10.57,9.94,10.34,8556.0
2018-12-13,10.34,10.36,10.22,10.22,7964.0
2018-12-14,10.15,10.27,10.04,10.04,7472.0
2018-12-17,10.01,10.18,9.6,9.6,10939.0
2018-12-18,9.5,9.62,8.77,8.78,8905.0
2018-12-19,8.64,9.05,7.54,8.48,8778.0
2018-12-20,8.41,8.49,6.595,7.34,22279.0
2018-12-21,7.33,7.33,6.615,6.75,32313.0
2018-12-24,6.61,7.14,6.61,6.85,3211.0
2018-12-26,7.06,9.2,7.06,9.13,15648.0
2018-12-27,9.1,9.1,8.13,8.33,9700.0
2018-12-28,8.06,8.9,8.06,8.78,3413.0
2018-12-31,8.97,9.0,8.0,8.15,5921.0
2019-01-02,8.02,8.2,7.8,7.95,7560.0
