Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2014-02-28,39.0,47.94,38.0,44.0,3395666.0
2014-03-03,44.7,49.74,42.86,43.19,281556.0
2014-03-04,45.86,46.7,44.0,45.0,127778.0
2014-03-05,45.0,50.38,45.0,49.25,146215.0
2014-03-06,51.5,54.0,50.0,53.09,147368.0
2014-03-07,56.5,56.79,52.51,53.48,76484.0
2014-03-10,53.4,53.87,47.18,47.49,120403.0
2014-03-11,48.0,48.02,43.91,44.54,111536.0
2014-03-12,42.77,44.57,40.76,44.0,176355.0
2014-03-13,45.2,45.98,41.81,43.1,68970.0
2014-03-14,42.78,43.7,41.73,42.0,48739.0
2014-03-17,42.35,44.93,41.05,44.56,47408.0
2014-03-18,45.75,46.75,44.44,45.01,54296.0
2014-03-19,45.0,46.5,44.4,46.34,42654.0
2014-03-20,46.1,46.6,43.5,43.71,42056.0
2014-03-21,43.65,43.65,38.54,39.86,117405.0
2014-03-24,39.75,39.75,35.12,36.51,87334.0
2014-03-25,38.07,43.83,37.405,43.78,121650.0
2014-03-26,44.21,44.8,38.1,38.38,67080.0
2014-03-27,38.13,38.5,35.26,36.6,72844.0
2014-03-28,36.48,37.51,34.72,35.08,76866.0
2014-03-31,35.5,36.71,33.75,35.76,306831.0
2014-04-01,35.84,38.19,35.2,36.97,53174.0
2014-04-02,36.06,36.78,35.04,35.29,71183.0
2014-04-03,35.55,36.24,32.75,33.39,88901.0
2014-04-04,33.48,33.95,31.41,31.92,58531.0
2014-04-07,31.64,32.0,29.82,29.97,74497.0
2014-04-08,30.12,30.56,26.21,26.67,172801.0
2014-04-09,27.02,29.1,25.6,29.02,135973.0
2014-04-10,28.35,29.02,26.2,26.91,77698.0
2014-04-11,28.12,28.3,25.6,25.64,91059.0
2014-04-14,25.98,27.69,25.54,26.92,72224.0
2014-04-15,27.0,27.19,25.82,26.5,62940.0
2014-04-16,26.79,27.4,25.8,27.13,32548.0
2014-04-17,27.16,28.64,26.21,28.24,40122.0
2014-04-21,28.11,28.22,27.17,27.36,33711.0
2014-04-22,27.85,30.8,27.47,30.48,64949.0
2014-04-23,30.51,30.51,28.6,28.92,51015.0
2014-04-24,29.16,29.31,27.1,28.1,32359.0
2014-04-25,27.8,27.8,25.62,25.86,72185.0
2014-04-28,25.79,26.15,22.81,23.3,97222.0
2014-04-29,23.52,25.09,23.26,24.93,80823.0
2014-04-30,24.75,25.55,23.99,25.27,68600.0
2014-05-01,25.33,28.42,24.47,27.79,63777.0
2014-05-02,27.9,27.9,27.0,27.39,28303.0
2014-05-05,27.34,28.4,27.0,28.14,36259.0
2014-05-06,27.53,28.0,24.5,24.51,95245.0
2014-05-07,24.52,25.0,23.17,23.51,86202.0
2014-05-08,23.62,24.07,22.2,22.37,78788.0
2014-05-09,22.47,22.5,21.6,21.91,34492.0
2014-05-12,22.13,22.67,21.66,22.01,28565.0
2014-05-13,21.92,22.92,21.13,21.36,32994.0
2014-05-14,21.24,21.6,20.6,20.89,42463.0
2014-05-15,20.73,20.89,19.72,20.78,50881.0
2014-05-16,20.92,21.4,20.52,21.32,24674.0
2014-05-19,21.18,24.61,21.18,24.455,54654.0
2014-05-20,24.24,24.25,23.05,23.18,35770.0
2014-05-21,23.43,25.08,23.43,23.99,43627.0
2014-05-22,24.17,25.41,24.17,25.03,22976.0
2014-05-23,25.12,25.43,24.74,25.08,30644.0
2014-05-27,25.38,25.38,23.99,24.46,39002.0
2014-05-28,24.41,24.41,23.27,23.58,24519.0
2014-05-29,23.7,24.97,23.13,24.77,23321.0
2014-05-30,24.78,24.78,23.85,24.49,44075.0
2014-06-02,24.52,24.52,23.25,23.55,22692.0
2014-06-03,23.44,23.51,21.95,22.02,26955.0
2014-06-04,21.86,22.47,20.8,21.35,24317.0
2014-06-05,21.55,21.85,20.75,21.52,24911.0
2014-06-06,21.71,23.54,21.71,22.78,36425.0
2014-06-09,22.79,23.99,22.55,22.94,34644.0
2014-06-10,22.91,23.23,22.27,22.64,18236.0
