Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1991-07-24,,4.625,4.5,4.5,2001000.0
1991-07-25,,4.625,4.5,4.5625,314600.0
1991-07-26,,4.625,4.5,4.625,401800.0
1991-07-29,,4.625,4.5,4.625,75400.0
1991-07-30,,4.625,4.5,4.5,354400.0
1991-07-31,,4.625,4.5,4.5,372000.0
1991-08-01,,4.5625,4.5,4.5,157000.0
1991-08-02,,4.625,4.5625,4.5625,220800.0
1991-08-05,,4.625,4.5,4.625,103800.0
1991-08-06,,4.625,4.5625,4.625,124600.0
1991-08-07,,4.625,4.5,4.5,222400.0
1991-08-08,,4.625,4.5,4.5625,97000.0
1991-08-09,,4.625,4.5,4.5,172000.0
1991-08-12,,4.625,4.5,4.5,41600.0
1991-08-13,,4.625,4.5,4.5,63000.0
1991-08-14,,4.625,4.5625,4.625,102200.0
1991-08-15,,4.625,4.5,4.5,31800.0
1991-08-16,,4.625,4.5,4.5,69800.0
1991-08-19,,4.5,4.1875,4.375,75400.0
1991-08-20,,4.4375,4.25,4.375,57800.0
1991-08-21,,4.4375,4.3125,4.4375,14000.0
1991-08-22,,4.5,4.3125,4.375,41400.0
1991-08-23,,4.5,4.3125,4.3125,17000.0
1991-08-26,,4.5625,4.3125,4.5625,77600.0
1991-08-27,,4.6875,4.5,4.625,72600.0
1991-08-28,,4.6875,4.5,4.6875,73400.0
1991-08-29,,4.9375,4.5625,4.9375,178000.0
1991-08-30,,5.1875,4.8125,5.1875,145800.0
1991-09-03,,5.5,5.125,5.125,326200.0
1991-09-04,,5.25,5.0,5.0,139000.0
1991-09-05,,5.1875,5.0,5.0,145000.0
1991-09-06,,5.125,5.0,5.0,35800.0
1991-09-09,,5.125,4.875,4.875,33800.0
1991-09-10,,5.0625,4.875,5.0625,30200.0
1991-09-11,,5.125,4.875,5.0,167400.0
1991-09-12,,5.3125,5.0625,5.1875,729400.0
1991-09-13,,5.5625,5.375,5.5625,110600.0
1991-09-16,,5.5625,5.375,5.5625,230800.0
1991-09-17,,5.5625,5.4375,5.5,90200.0
1991-09-18,,5.6875,5.5,5.6875,82800.0
1991-09-19,,6.25,5.5625,6.1875,443200.0
1991-09-20,,6.875,6.1875,6.625,290400.0
1991-09-23,,6.6875,6.375,6.5625,492200.0
1991-09-24,,6.5625,6.375,6.5625,28400.0
1991-09-25,,7.0,6.375,7.0,106400.0
1991-09-26,,7.625,6.875,7.625,230400.0
1991-09-27,,7.625,7.375,7.375,277000.0
1991-09-30,,7.5,7.1875,7.375,117600.0
1991-10-01,,7.875,7.25,7.8125,87800.0
1991-10-02,,7.8125,7.6875,7.8125,144400.0
1991-10-03,,7.8125,7.375,7.375,532000.0
1991-10-04,,7.5,7.25,7.5,86600.0
1991-10-07,,7.5,6.625,6.625,237800.0
1991-10-08,,6.875,6.625,6.8125,157000.0
1991-10-09,,6.875,6.6875,6.875,41200.0
1991-10-10,,6.875,6.6875,6.875,35000.0
1991-10-11,,6.875,6.75,6.8125,12800.0
1991-10-14,,6.875,6.75,6.875,11400.0
1991-10-15,,7.375,6.875,7.25,97600.0
1991-10-16,,8.0,7.4375,7.8125,164800.0
1991-10-17,,7.625,7.4375,7.5,120200.0
1991-10-18,,7.625,7.4375,7.625,44200.0
1991-10-21,,7.625,7.0,7.25,57000.0
1991-10-22,,7.25,6.75,6.75,64800.0
1991-10-23,,7.5,6.8125,7.5,503400.0
1991-10-24,,7.875,7.25,7.5625,140200.0
1991-10-25,,7.5625,7.25,7.25,127600.0
1991-10-28,,7.5,7.25,7.25,25400.0
1991-10-29,,7.4375,7.25,7.25,9400.0
1991-10-30,,7.4375,7.25,7.4375,53200.0
1991-10-31,,7.4375,7.25,7.25,34200.0
1991-11-01,,7.5625,7.3125,7.5625,167400.0
1991-11-04,,7.6875,7.4375,7.6875,81000.0
1991-11-05,,7.6875,7.4375,7.6875,248400.0
1991-11-06,,7.75,7.4375,7.75,51400.0
1991-11-07,,7.8125,7.5625,7.625,40400.0
1991-11-08,,7.8125,7.5625,7.75,86000.0
1991-11-11,7.75,7.75,7.5625,7.5625,8200.0
1991-11-12,7.5,7.6875,7.0625,7.25,218000.0
1991-11-13,7.1875,7.1875,7.0,7.1875,96800.0
1991-11-14,7.1875,7.1875,7.0,7.1875,132400.0
1991-11-15,6.9375,7.0625,6.4375,6.4375,93400.0
1991-11-18,6.375,6.4375,5.75,6.0,124400.0
1991-11-19,6.0,6.0,5.625,5.75,150200.0
1991-11-20,5.625,5.8125,5.625,5.75,126800.0
1991-11-21,5.625,5.75,5.625,5.6875,43800.0
1991-11-22,5.75,5.75,5.625,5.625,19800.0
1991-11-25,5.75,5.75,5.5625,5.5625,35600.0
1991-11-26,5.75,5.75,5.625,5.75,155000.0
1991-11-27,5.625,5.875,5.625,5.8125,98800.0
1991-11-29,5.8125,5.8125,5.625,5.6875,15600.0
1991-12-02,5.75,5.75,5.5625,5.75,9600.0
1991-12-03,5.75,5.8125,5.625,5.75,239400.0
1991-12-04,5.8125,6.25,5.75,6.25,255200.0
1991-12-05,6.25,6.8125,6.25,6.625,139600.0
1991-12-06,6.75,7.375,6.5,7.0,269200.0
1991-12-09,7.125,7.25,6.875,6.875,487000.0
1991-12-10,7.125,7.125,6.875,6.9375,120400.0
1991-12-11,6.875,7.0,6.875,7.0,1600600.0
1991-12-12,7.0,7.0,6.75,6.875,372800.0
1991-12-13,7.0,7.0,6.75,6.75,36400.0
1991-12-16,6.75,7.0,6.625,6.6875,90200.0
1991-12-17,7.0,7.0,6.6875,6.8125,150000.0
1991-12-18,6.875,7.0,6.75,7.0,228800.0
1991-12-19,6.75,7.0,6.75,7.0,108200.0
1991-12-20,7.0,7.0,6.75,6.75,29400.0
1991-12-23,6.75,6.75,6.375,6.5625,62800.0
1991-12-24,6.625,6.75,6.5,6.75,35400.0
1991-12-26,6.75,6.875,6.625,6.75,43000.0
1991-12-27,6.625,7.5,6.625,7.5,179400.0
1991-12-30,7.625,8.0,7.375,7.5,268200.0
1991-12-31,7.5,7.75,7.25,7.375,76400.0
1992-01-02,7.25,7.5,7.25,7.5,18600.0
1992-01-03,7.375,8.375,7.25,8.125,331800.0
1992-01-06,8.25,8.75,8.0,8.625,236800.0
1992-01-07,8.625,8.625,8.0,8.375,51800.0
1992-01-08,8.125,8.25,7.875,8.0,260800.0
1992-01-09,8.25,8.375,8.0,8.125,77200.0
1992-01-10,8.375,8.375,8.0,8.25,224000.0
1992-01-13,8.375,8.375,8.125,8.25,44800.0
1992-01-14,8.125,8.375,8.0,8.0,86400.0
1992-01-15,8.375,8.375,8.0,8.125,47800.0
1992-01-16,8.0,8.0,7.5,7.75,82800.0
1992-01-17,7.5,7.75,7.5,7.75,30200.0
1992-01-20,7.5,7.75,7.25,7.25,72000.0
1992-01-21,7.25,7.5,7.25,7.375,47000.0
1992-01-22,7.125,7.5,7.125,7.375,74400.0
1992-01-23,7.375,7.5,7.0,7.375,255600.0
1992-01-24,7.375,7.375,7.0,7.0,102600.0
1992-01-27,7.375,7.375,7.0,7.375,30200.0
1992-01-28,7.0,7.375,7.0,7.125,28400.0
1992-01-29,7.0,7.25,6.625,6.625,96200.0
1992-01-30,6.875,6.875,6.375,6.5,169400.0
1992-01-31,6.5,6.75,6.375,6.75,646000.0
1992-02-03,6.375,6.75,6.375,6.75,208800.0
1992-02-04,6.375,6.75,6.375,6.625,470400.0
1992-02-05,6.75,6.75,6.375,6.75,150600.0
1992-02-06,6.375,6.75,6.375,6.625,106400.0
1992-02-07,6.75,6.75,6.375,6.75,481600.0
1992-02-10,6.375,6.75,6.375,6.625,231400.0
1992-02-11,6.375,6.625,6.375,6.375,29800.0
1992-02-12,6.375,6.625,6.375,6.375,52600.0
1992-02-13,6.625,6.625,6.25,6.25,50800.0
1992-02-14,6.5,6.5,6.25,6.5,92000.0
