Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-07-30,14.0,14.0,10.71,10.89,2578351.0
2015-07-31,10.6,10.66,9.2,10.0,266040.0
2015-08-03,10.12,10.48,9.91,10.0,55596.0
2015-08-04,10.0,10.25,10.0,10.04,84963.0
2015-08-05,10.3,10.3,9.86,10.0,79499.0
2015-08-06,10.23,10.23,9.37,9.5,79168.0
2015-08-07,9.41,9.41,8.47,8.91,55811.0
2015-08-10,9.33,9.48,8.37,8.43,39644.0
2015-08-11,8.3,8.67,7.68,7.88,17100.0
2015-08-12,7.98,7.98,7.53,7.7,9288.0
2015-08-13,7.7,8.15,7.7,8.0,12671.0
2015-08-14,7.91,8.2,7.83,8.03,7948.0
2015-08-17,7.9,8.98,7.9,8.97,10501.0
2015-08-18,8.99,10.24,8.99,10.02,28338.0
2015-08-19,10.0,10.25,9.58,10.08,15622.0
2015-08-20,10.13,10.31,9.91,9.925,4412.0
2015-08-21,9.92,9.92,8.77,8.85,11626.0
2015-08-24,7.95,9.84,7.5,8.84,24625.0
2015-08-25,9.33,9.33,8.37,8.39,5673.0
2015-08-26,8.8,9.02,8.33,8.97,6919.0
2015-08-27,8.8,9.18,8.69,8.91,3019.0
2015-08-28,8.86,9.79,8.86,9.42,7389.0
2015-08-31,9.21,9.63,8.71,8.72,8921.0
2015-09-01,8.65,9.43,8.65,8.97,5960.0
2015-09-02,9.16,9.32,8.58,8.97,52727.0
2015-09-03,9.0,9.73,9.0,9.5,12014.0
2015-09-04,9.19,9.51,9.1,9.32,5693.0
2015-09-08,9.72,9.78,9.52,9.64,10292.0
2015-09-09,9.85,9.85,9.16,9.22,5148.0
2015-09-10,9.05,9.29,8.9,8.96,6416.0
2015-09-11,8.81,9.27,8.54,9.21,4674.0
2015-09-14,9.25,9.25,9.03,9.08,893.0
2015-09-15,9.03,9.38,8.86,9.025,2500.0
2015-09-16,9.03,9.34,8.7,9.28,29042.0
2015-09-17,9.3,9.8,9.18,9.33,15840.0
2015-09-18,9.26,9.335,7.56,7.56,153009.0
2015-09-21,7.77,7.97,7.1,7.23,35800.0
2015-09-22,7.09,7.28,6.15,7.28,31179.0
2015-09-23,7.03,7.35,6.87,7.15,7200.0
2015-09-24,7.09,7.2,6.6,6.78,13677.0
2015-09-25,6.79,6.79,6.33,6.44,13076.0
2015-09-28,6.44,6.65,5.36,6.48,28981.0
2015-09-29,6.46,6.92,6.46,6.86,10957.0
2015-09-30,7.0,7.42,6.52,6.52,335167.0
2015-10-01,6.6,6.64,5.83,6.27,23217.0
2015-10-02,6.17,6.99,5.91,6.75,41458.0
2015-10-05,6.85,7.09,6.39,7.06,7701.0
2015-10-06,7.06,7.06,6.5,6.69,25788.0
2015-10-07,6.64,8.03,6.58,7.93,17877.0
2015-10-08,7.94,7.94,7.17,7.5,7860.0
2015-10-09,7.53,7.56,7.02,7.07,6271.0
2015-10-12,7.12,7.2,6.87,6.99,14677.0
2015-10-13,6.95,7.32,6.74,6.75,7723.0
2015-10-14,6.75,6.87,6.67,6.87,9670.0
2015-10-15,6.93,7.49,6.6,7.47,7511.0
2015-10-16,7.51,8.12,7.44,8.12,11412.0
2015-10-19,8.03,8.13,7.69,8.03,13462.0
2015-10-20,7.98,8.15,7.8,7.92,12801.0
2015-10-21,7.98,7.98,7.49,7.84,5452.0
2015-10-22,7.86,7.86,7.12,7.42,10848.0
2015-10-23,7.46,7.78,7.46,7.65,2875.0
2015-10-26,7.65,7.8,7.5,7.53,5868.0
2015-10-27,7.59,7.75,6.99,7.16,5451.0
2015-10-28,7.22,7.81,7.22,7.49,8897.0
2015-10-29,7.44,7.75,7.1,7.21,5953.0
2015-10-30,7.23,7.58,7.01,7.34,10670.0
2015-11-02,7.29,7.48,7.17,7.33,3668.0
2015-11-03,7.32,7.47,7.06,7.18,6196.0
2015-11-04,7.18,7.43,7.13,7.43,3823.0
2015-11-05,7.38,7.61,7.15,7.51,6634.0
2015-11-06,7.75,7.75,7.0,7.09,9297.0
2015-11-09,7.13,7.56,6.69,7.43,13601.0
2015-11-10,7.38,7.38,7.07,7.29,7641.0
2015-11-11,7.29,7.29,6.84,7.1,4342.0
2015-11-12,6.99,7.13,6.85,6.93,4886.0
2015-11-13,7.0,7.1,6.68,6.68,7844.0
2015-11-16,6.63,6.77,6.59,6.69,5546.0
2015-11-17,6.69,6.69,6.11,6.18,12579.0
2015-11-18,6.31,6.76,6.21,6.76,6399.0
2015-11-19,6.7,6.74,6.23,6.44,7192.0
2015-11-20,6.49,6.85,6.45,6.54,7542.0
