Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2016-12-29,6.5,7.34,6.5,7.34,300.0
2016-12-30,6.98,7.0,5.5,5.5,6011.0
2017-01-03,5.9,5.9,4.2,4.22,24567.0
2017-01-04,4.36,4.37,4.2,4.2,41149.0
2017-01-05,4.25,4.4,4.22,4.4,17521.0
2017-01-06,4.48,5.76,4.48,5.6,20702.0
2017-01-09,5.3,5.56,4.61,4.66,5665.0
2017-01-10,4.65,5.35,4.65,5.11,2028.0
2017-01-11,5.1,5.1,5.0,5.1,600.0
2017-01-12,4.82,5.26,4.82,5.26,508.0
2017-01-13,5.03,5.05,5.0,5.0,1600.0
2017-01-18,5.2,5.2,5.07,5.07,300.0
2017-01-19,5.4,5.4,5.3,5.3,1933.0
2017-01-20,5.44,5.5,5.31,5.31,3104.0
2017-01-23,5.21,5.32,5.21,5.26,800.0
2017-01-24,5.12,5.18,5.12,5.12,534.0
2017-01-25,5.12,5.16,5.12,5.14,2500.0
2017-01-26,5.05,5.05,4.89,4.92,702.0
2017-01-27,4.86,4.99,4.81,4.83,301.0
2017-01-30,4.72,4.72,4.69,4.69,252.0
2017-01-31,5.0,5.19,5.0,5.19,1860.0
2017-02-01,5.31,5.31,5.2,5.2,297.0
2017-02-07,5.05,5.19,5.05,5.19,202.0
2017-02-08,5.07,5.13,5.05,5.05,909.0
2017-02-09,5.06,5.06,4.55,4.55,88.0
2017-02-10,4.32,5.15,4.32,5.0,741.0
2017-02-13,4.86,4.97,4.86,4.9,307.0
2017-02-14,4.61,4.61,4.61,4.61,5.0
2017-02-16,4.99,4.99,4.86,4.86,602.0
2017-02-17,4.8,4.8,4.8,4.8,2.0
2017-02-21,4.6,4.75,4.6,4.75,82.0
2017-02-23,,,,,200.0
2017-02-24,4.85,5.25,4.85,5.11,1539.0
2017-02-27,5.0,5.01,5.0,5.01,304.0
2017-02-28,4.9,4.9,4.9,4.9,100.0
2017-03-02,4.98,4.98,4.98,4.98,5.0
2017-03-03,4.84,4.99,4.84,4.99,100.0
2017-03-08,4.83,4.87,4.83,4.85,1100.0
2017-03-09,4.34,4.34,4.32,4.32,1600.0
2017-03-10,4.32,4.32,4.32,4.32,45.0
2017-03-16,4.44,4.44,4.44,4.44,50.0
2017-03-20,4.55,4.55,4.48,4.48,4050.0
2017-03-27,4.0,4.27,4.0,4.27,140.0
2017-03-28,4.5,4.52,4.5,4.52,500.0
2017-03-30,4.51,4.51,4.06,4.06,63.0
2017-03-31,4.48,4.48,4.48,4.48,6.0
2017-04-03,4.04,4.04,4.04,4.04,5.0
2017-04-04,4.52,4.52,4.52,4.52,1001.0
2017-04-05,4.13,4.13,4.13,4.13,2.0
2017-04-07,4.01,4.01,4.01,4.01,10.0
2017-04-18,5.02,5.02,4.72,4.72,235.0
2017-04-19,4.29,4.4,4.29,4.4,3700.0
2017-04-20,4.3,4.4,4.23,4.4,201.0
2017-04-21,4.2,4.2,4.2,4.2,164.0
2017-04-24,4.09,4.09,4.09,4.09,100.0
2017-04-25,4.48,4.48,4.31,4.31,496.0
2017-04-26,4.35,4.35,3.9,3.9,1252.0
2017-04-27,3.94,3.94,3.94,3.94,3.0
2017-04-28,3.49,3.55,3.49,3.55,655.0
2017-05-01,3.95,3.95,3.95,3.95,1.0
2017-05-02,4.02,4.02,4.02,4.02,4000.0
2017-05-03,3.64,3.64,3.64,3.64,4000.0
2017-05-04,3.68,3.68,3.66,3.67,1140.0
2017-05-05,3.91,3.91,3.91,3.91,3.0
2017-05-08,3.9,3.9,3.75,3.75,206.0
2017-05-09,3.79,3.79,3.69,3.74,302.0
2017-05-10,3.68,3.7,3.68,3.7,111.0
2017-05-11,3.78,3.78,3.78,3.78,1.0
2017-05-12,3.65,3.65,3.65,3.65,168.0
2017-05-15,3.65,3.84,3.65,3.82,2865.0
2017-05-16,3.82,3.82,3.69,3.69,409.0
2017-05-19,3.8,3.8,3.61,3.61,8003.0
2017-05-22,3.74,3.78,3.74,3.78,5370.0
2017-05-23,3.85,3.85,3.85,3.85,5.0
2017-05-24,3.85,3.85,3.85,3.85,3068.0
2017-05-25,3.7,3.7,3.7,3.7,6000.0
2017-05-31,3.52,3.52,3.46,3.46,1500.0
2017-06-01,3.2,3.2,3.2,3.2,5.0
2017-06-05,3.2,3.2,3.2,3.2,4.0
2017-06-06,3.2,3.31,3.01,3.31,222.0
2017-06-07,3.3,3.3,3.3,3.3,206.0
2017-06-08,2.97,3.25,2.97,3.24,6114.0
2017-06-09,3.3,3.3,3.3,3.3,1500.0
2017-06-12,3.25,3.25,3.21,3.24,1000.0
2017-06-14,3.2,3.2,3.2,3.2,290.0
2017-06-16,3.2,3.3,3.2,3.29,3487.0
2017-06-19,2.96,3.41,2.96,3.4,1700.0
2017-06-20,3.06,3.06,3.06,3.06,5.0
2017-06-22,3.18,3.43,3.04,3.43,1410.0
2017-06-23,3.42,3.67,3.36,3.46,1600.0
2017-06-26,3.48,3.53,3.48,3.52,305.0
2017-06-27,3.7,3.7,3.57,3.59,2500.0
2017-06-28,3.61,3.61,3.6,3.6,1004.0
2017-06-29,3.74,3.74,3.74,3.74,50.0
2017-06-30,3.8,4.7,3.8,3.82,12023.0
2017-07-03,3.57,3.63,3.57,3.63,18.0
2017-07-05,3.55,3.97,3.38,3.97,3111.0
2017-07-06,3.8,3.87,3.68,3.81,1200.0
2017-07-07,3.75,3.95,3.75,3.95,690.0
2017-07-10,3.92,3.92,3.92,3.92,8.0
2017-07-11,3.93,3.93,3.93,3.93,2.0
2017-07-12,4.32,4.32,4.32,4.32,50.0
2017-07-13,3.97,4.0,3.97,4.0,1750.0
2017-07-14,3.87,3.99,3.76,3.98,536.0
2017-07-18,3.8,3.81,3.5,3.6,1700.0
2017-07-19,3.6,3.6,3.6,3.6,263.0
2017-07-20,3.57,3.69,3.57,3.69,750.0
2017-07-21,3.74,3.74,3.74,3.74,100.0
2017-07-24,3.78,3.85,3.78,3.85,1000.0
2017-07-25,3.74,3.74,3.55,3.55,306.0
2017-07-26,3.55,3.57,3.55,3.57,205.0
2017-07-27,3.8,3.8,3.8,3.8,2100.0
2017-07-28,3.8,3.81,3.7,3.75,1253.0
2017-07-31,3.67,3.67,3.45,3.52,4603.0
2017-08-01,3.45,3.45,3.45,3.45,60.0
2017-08-02,2.95,3.57,2.95,3.57,115.0
2017-08-07,3.69,3.69,3.69,3.69,3000.0
2017-08-08,3.73,3.73,3.48,3.48,257.0
2017-08-09,3.49,3.5,3.45,3.5,900.0
2017-08-10,3.57,3.65,3.56,3.65,300.0
2017-08-11,3.68,3.68,3.68,3.68,5.0
2017-08-14,3.7,3.7,3.7,3.7,265.0
2017-08-15,3.51,3.72,3.51,3.72,699.0
2017-08-16,3.6,3.6,3.51,3.54,400.0
2017-08-17,3.64,3.64,3.5,3.55,501.0
2017-08-18,3.56,3.56,3.47,3.54,1900.0
2017-08-21,3.57,3.57,3.41,3.41,401.0
2017-08-23,3.38,3.45,3.38,3.45,1173.0
2017-08-24,3.54,3.54,3.53,3.53,458.0
2017-08-25,3.5,3.5,3.5,3.5,10.0
2017-08-29,3.31,3.31,3.31,3.31,1.0
2017-08-30,3.31,3.31,3.31,3.31,1.0
2017-09-06,3.24,3.52,3.24,3.52,2369.0
2017-09-07,3.48,3.48,3.47,3.47,800.0
2017-09-08,3.5,3.5,3.5,3.5,200.0
2017-09-11,3.27,3.27,3.27,3.27,14.0
2017-09-12,3.27,3.27,3.27,3.27,8.0
2017-09-13,3.53,3.65,3.27,3.27,810.0
2017-09-14,3.28,3.43,3.28,3.43,202.0
2017-09-15,3.73,3.73,3.31,3.31,358.0
2017-09-19,3.45,3.45,3.4,3.4,700.0
2017-09-20,3.38,3.55,3.38,3.47,2000.0
2017-09-21,3.64,3.64,3.46,3.53,3001.0
2017-09-22,3.58,3.69,3.58,3.69,200.0
2017-09-25,3.58,3.58,3.31,3.44,600.0
2017-09-26,3.41,3.41,3.4,3.4,16.0
2017-09-27,3.53,3.53,3.27,3.27,1070.0
2017-09-28,3.29,3.35,3.29,3.35,780.0
2017-09-29,3.3,3.48,3.3,3.48,519.0
2017-10-02,3.29,3.29,3.25,3.25,93.0
2017-10-03,3.3,3.3,3.25,3.25,235.0
2017-10-09,3.4,3.41,3.08,3.22,840.0
2017-10-12,3.25,3.25,3.25,3.25,1.0
