Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1984-05-08,4.4375,4.4375,4.3125,4.375,91800.0
1984-05-09,4.375,4.375,4.25,4.25,39000.0
1984-05-10,4.25,4.4375,4.25,4.4375,160200.0
1984-05-11,4.4375,4.5,4.3125,4.4375,205600.0
1984-05-14,4.5,4.5625,4.375,4.4375,88600.0
1984-05-15,4.4375,4.625,4.375,4.625,252000.0
1984-05-16,4.6875,4.75,4.625,4.6875,137400.0
1984-05-17,4.75,4.75,4.625,4.625,68200.0
1984-05-18,4.625,4.6875,4.5,4.5,73600.0
1984-05-21,4.625,4.625,4.4375,4.5,25000.0
1984-05-22,4.375,4.4375,4.3125,4.3125,26400.0
1984-05-23,4.3125,4.4375,4.3125,4.375,65400.0
1984-05-24,4.3125,4.4375,4.1875,4.3125,62400.0
1984-05-25,4.3125,4.3125,4.125,4.25,38000.0
1984-05-29,4.1875,4.25,4.1875,4.25,15200.0
1984-05-30,4.25,4.5,4.25,4.4375,130200.0
1984-05-31,4.4375,4.4375,4.125,4.1875,168600.0
1984-06-01,4.125,4.375,4.125,4.375,98400.0
1984-06-04,4.4375,4.5,4.375,4.375,28600.0
1984-06-05,4.5,4.5,4.3125,4.3125,35200.0
1984-06-06,4.25,4.25,4.125,4.1875,29000.0
1984-06-07,4.125,4.1875,4.0,4.0,38200.0
1984-06-08,4.0,4.0625,3.9375,3.9375,29600.0
1984-06-11,3.875,3.9375,3.6875,3.9375,97400.0
1984-06-12,3.8125,3.9375,3.75,3.875,33400.0
1984-06-13,3.75,3.8125,3.5625,3.6875,114400.0
1984-06-14,3.8125,3.8125,3.5,3.5625,346800.0
1984-06-15,3.625,3.75,3.5,3.6875,440000.0
1984-06-18,3.625,3.9375,3.5625,3.8125,63000.0
1984-06-19,3.875,3.875,3.8125,3.875,48600.0
1984-06-20,3.75,3.875,3.625,3.875,66600.0
1984-06-21,3.875,4.0,3.75,4.0,48800.0
1984-06-22,3.875,4.0625,3.875,3.875,133800.0
1984-06-25,3.9375,4.0625,3.875,3.9375,149200.0
1984-06-26,3.9375,3.9375,3.8125,3.8125,47000.0
1984-06-27,3.8125,3.8125,3.6875,3.6875,82400.0
1984-06-28,3.8125,3.875,3.6875,3.75,20800.0
1984-06-29,3.75,3.875,3.75,3.875,41200.0
1984-07-02,3.875,3.875,3.625,3.75,28000.0
1984-07-03,3.625,3.6875,3.5625,3.625,24800.0
1984-07-05,3.75,3.8125,3.6875,3.75,25000.0
1984-07-06,3.75,3.75,3.5625,3.75,24200.0
1984-07-09,3.8125,3.8125,3.5625,3.75,34200.0
1984-07-10,3.8125,3.8125,3.5625,3.75,198800.0
1984-07-11,3.625,3.75,3.625,3.625,28400.0
1984-07-12,3.6875,3.8125,3.5625,3.6875,21200.0
1984-07-13,3.625,3.6875,3.5625,3.5625,50200.0
1984-07-16,3.6875,3.6875,3.5,3.5,34400.0
1984-07-17,3.5,3.5625,3.25,3.375,62200.0
1984-07-18,3.4375,3.5,3.375,3.4375,57800.0
1984-07-19,3.4375,3.5,3.0,3.25,82600.0
1984-07-20,3.25,3.375,3.1875,3.3125,97000.0
1984-07-23,3.1875,3.3125,2.9375,3.3125,80200.0
1984-07-24,3.3125,3.4375,3.25,3.3125,54000.0
1984-07-25,3.1875,3.5,3.0625,3.5,82200.0
1984-07-26,3.5,3.5625,3.375,3.5,75400.0
1984-07-27,3.375,3.625,3.375,3.5,164400.0
1984-07-30,3.5625,3.6875,3.5625,3.625,59600.0
1984-07-31,3.5625,3.625,3.375,3.5,78400.0
1984-08-01,3.4375,3.6875,3.375,3.6875,164200.0
1984-08-02,3.6875,3.8125,3.625,3.8125,81200.0
1984-08-03,3.875,4.3125,3.875,4.3125,244600.0
1984-08-06,4.5,4.8125,4.4375,4.5,481800.0
1984-08-07,4.375,4.5625,4.3125,4.5,103400.0
1984-08-08,4.4375,4.5625,4.25,4.375,74000.0
1984-08-09,4.3125,4.5625,4.25,4.5625,88400.0
1984-08-10,4.625,4.8125,4.25,4.375,352000.0
