Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1996-09-18,8.75,9.25,8.5,8.625,890800.0
1996-09-19,8.75,8.875,8.5,8.5,188000.0
1996-09-20,8.75,9.125,8.75,9.0,182600.0
1996-09-23,9.25,9.5,9.25,9.5,53300.0
1996-09-24,9.75,10.0,9.375,9.375,151200.0
1996-09-25,9.625,9.625,9.25,9.5,75600.0
1996-09-26,9.5,9.5,9.25,9.25,23700.0
1996-09-27,9.25,9.625,9.25,9.625,45600.0
1996-09-30,9.625,9.625,9.125,9.25,77900.0
1996-10-01,9.125,9.375,8.875,9.125,74900.0
1996-10-02,8.875,9.125,8.875,9.125,32000.0
1996-10-03,8.75,9.125,8.75,8.75,23900.0
1996-10-04,9.0,9.375,8.75,9.375,35800.0
1996-10-07,9.375,10.0,9.375,9.75,39500.0
1996-10-08,10.0,10.875,10.0,10.875,117200.0
1996-10-09,10.875,11.0,10.625,10.625,57000.0
1996-10-10,10.625,11.0,10.625,10.875,52500.0
1996-10-11,10.875,11.0,10.625,11.0,97100.0
1996-10-14,11.125,12.375,11.125,11.625,85400.0
1996-10-15,11.625,11.875,11.0,11.0,71500.0
1996-10-16,10.625,11.0,10.625,11.0,20300.0
1996-10-17,11.125,11.125,10.875,10.875,33000.0
1996-10-18,11.25,11.25,10.875,11.125,19800.0
1996-10-21,11.25,11.25,10.875,11.125,29200.0
1996-10-22,11.25,11.25,10.3125,10.375,28900.0
1996-10-23,10.375,10.75,10.375,10.625,11000.0
1996-10-24,10.375,10.75,10.375,10.75,16300.0
1996-10-25,10.375,10.75,9.875,10.0,27100.0
1996-10-28,10.125,10.125,9.875,10.0,18700.0
1996-10-29,10.125,10.125,9.875,10.125,36800.0
1996-10-30,10.125,11.0,10.0,10.75,61100.0
1996-10-31,11.0,11.0,10.625,10.625,1900.0
1996-11-01,10.75,11.125,10.75,11.125,8300.0
1996-11-04,10.75,11.375,10.75,11.375,11200.0
1996-11-05,11.375,11.625,11.0,11.5,18100.0
1996-11-06,11.625,11.625,11.25,11.625,14200.0
1996-11-07,11.625,11.625,11.125,11.625,6500.0
1996-11-08,11.625,11.625,11.125,11.125,14400.0
1996-11-11,11.25,11.25,10.875,10.875,7100.0
1996-11-12,10.75,11.0,10.5,10.75,26300.0
1996-11-13,10.875,11.0,10.5,11.0,105100.0
1996-11-14,11.0,11.0,10.5,10.75,54400.0
1996-11-15,11.0,11.375,11.0,11.125,25800.0
1996-11-18,11.375,11.5,10.875,11.25,18000.0
1996-11-19,11.5,11.5,11.125,11.5,20900.0
1996-11-20,11.5,11.5,11.125,11.125,8600.0
1996-11-21,11.125,11.25,11.0,11.0,11100.0
1996-11-22,11.5,11.5,11.0,11.0,14400.0
1996-11-25,11.375,11.375,11.0,11.25,6200.0
1996-11-26,11.0,11.375,10.875,11.25,8800.0
1996-11-27,11.0,11.375,11.0,11.375,6800.0
1996-11-29,11.25,11.625,11.25,11.25,3200.0
1996-12-02,11.25,12.0,11.25,11.5,12900.0
1996-12-03,11.5,11.75,11.5,11.75,25600.0
1996-12-04,11.5,11.75,11.5,11.5,2400.0
1996-12-05,11.875,11.875,11.5,11.5,8000.0
1996-12-06,11.5,12.0,11.5,12.0,38900.0
1996-12-09,11.875,12.25,11.875,12.25,56000.0
1996-12-10,12.0,12.125,11.875,11.875,42300.0
1996-12-11,11.875,12.375,11.875,11.875,14300.0
1996-12-12,12.375,12.375,11.875,12.0,42400.0
1996-12-13,12.0,12.25,12.0,12.25,10200.0
1996-12-16,12.0,12.375,12.0,12.375,9300.0
1996-12-17,12.0,12.25,12.0,12.0,45400.0
1996-12-18,12.0,12.875,12.0,12.625,43300.0
1996-12-19,12.625,12.875,12.5,12.5,8000.0
1996-12-20,12.5,12.875,12.5,12.5,26100.0
1996-12-23,12.5,12.75,12.5,12.6875,9100.0
1996-12-26,12.875,12.875,12.5,12.75,14300.0
1996-12-27,12.5625,12.75,12.5,12.75,3200.0
1996-12-30,12.875,12.875,12.5,12.75,1100.0
1996-12-31,12.625,12.875,12.5,12.875,2900.0
1997-01-02,12.5,12.875,12.5,12.625,19300.0
1997-01-03,12.875,13.125,12.75,13.125,53800.0
1997-01-06,13.125,13.625,12.875,12.875,148500.0
1997-01-07,12.875,13.375,12.875,13.0,11500.0
1997-01-08,12.875,13.375,12.875,13.0,11500.0
1997-01-09,13.0,13.375,13.0,13.375,5900.0
1997-01-10,13.375,13.375,13.0,13.0,13800.0
1997-01-13,13.0,13.0,13.0,13.0,1300.0
1997-01-14,13.375,13.375,13.0,13.125,12100.0
1997-01-15,12.75,13.25,12.75,13.25,31000.0
1997-01-16,13.0,13.625,13.0,13.625,26600.0
1997-01-17,13.5,13.75,13.5,13.5,6100.0
1997-01-20,13.5,13.5,13.5,13.5,5200.0
1997-01-21,13.75,13.75,13.25,13.25,11600.0
1997-01-22,13.25,13.625,13.25,13.5,26200.0
1997-01-23,13.25,13.625,13.25,13.5,19200.0
1997-01-24,13.25,13.625,13.25,13.25,8800.0
1997-01-27,13.625,13.625,13.0,13.125,23500.0
1997-01-28,13.0,13.375,13.0,13.0,4800.0
1997-01-29,13.0,13.375,13.0,13.375,16700.0
1997-01-30,13.5,13.75,13.5,13.5,5800.0
1997-01-31,13.5,13.5,13.5,13.5,1000.0
1997-02-03,13.5,13.5,13.5,13.5,3900.0
1997-02-04,13.5,13.5,13.5,13.5,11200.0
1997-02-05,13.75,13.75,13.25,13.25,33000.0
1997-02-06,13.25,13.25,12.875,12.875,8100.0
1997-02-07,12.875,13.25,12.875,12.875,7500.0
1997-02-10,12.875,12.875,12.875,12.875,600.0
1997-02-11,12.875,13.125,12.625,12.625,25100.0
1997-02-12,13.0,13.0,12.5,13.0,17800.0
1997-02-13,12.75,13.25,12.75,13.25,9900.0
1997-02-14,13.375,13.625,13.375,13.625,15300.0
1997-02-18,13.25,13.625,13.25,13.625,35900.0
1997-02-19,13.25,13.375,13.25,13.25,23600.0
1997-02-20,13.125,13.625,13.125,13.5,17200.0
1997-02-21,13.375,13.375,12.75,13.0,26000.0
