Date,OPEN,HIGH,LOW,CLOSE,VOLUME
1995-07-18,10.5,12.125,10.0,11.0,1100800.0
1995-07-19,11.125,11.125,10.375,10.5,1000300.0
1995-07-20,11.0,11.125,10.625,10.875,241800.0
1995-07-21,11.125,11.25,10.75,11.0,223900.0
1995-07-24,11.25,11.875,11.0,11.75,217400.0
1995-07-25,11.875,11.875,11.25,11.375,194700.0
1995-07-26,11.375,11.4375,11.25,11.25,415400.0
1995-07-27,11.25,12.125,11.25,11.875,286100.0
1995-07-28,12.0,12.125,11.625,11.875,49400.0
1995-07-31,12.125,12.25,11.375,11.5,192300.0
1995-08-01,11.75,11.875,11.375,11.375,110900.0
1995-08-02,11.625,11.625,11.375,11.375,56700.0
1995-08-03,11.375,11.5,11.125,11.125,39100.0
1995-08-04,11.5,11.5,11.125,11.125,9800.0
1995-08-07,11.125,11.375,11.125,11.125,19500.0
1995-08-08,11.125,12.25,11.125,11.875,297500.0
1995-08-09,12.0,12.375,11.25,11.375,534200.0
1995-08-10,11.25,11.5,10.875,10.875,76800.0
1995-08-11,10.75,11.125,10.75,11.125,123500.0
1995-08-14,11.0,11.0,10.75,10.75,17100.0
1995-08-15,10.875,11.25,10.75,11.25,184700.0
1995-08-16,11.25,11.25,10.875,11.0,168500.0
1995-08-17,10.875,11.5,10.875,11.0,243600.0
1995-08-18,11.0,11.125,10.75,10.75,101500.0
1995-08-21,11.125,11.125,10.75,10.75,62300.0
1995-08-22,10.9375,11.125,10.75,11.0,85900.0
1995-08-23,11.0,11.125,10.75,10.75,22300.0
1995-08-24,10.75,11.0,10.75,10.75,17600.0
1995-08-25,10.875,11.125,10.75,11.125,72300.0
1995-08-28,11.125,11.125,10.75,11.0,39300.0
1995-08-29,10.875,11.125,10.625,10.875,136000.0
1995-08-30,10.875,11.0,10.75,10.75,12200.0
1995-08-31,10.75,10.875,10.625,10.625,29100.0
1995-09-01,10.625,10.875,10.625,10.625,4200.0
1995-09-05,10.875,10.875,10.625,10.75,28600.0
1995-09-06,10.875,11.375,10.75,11.1875,213100.0
1995-09-07,11.125,11.5,11.125,11.5,88900.0
1995-09-08,11.5,11.875,11.25,11.875,142600.0
1995-09-11,11.625,11.875,11.625,11.875,51600.0
1995-09-12,12.0,12.0,11.75,11.75,25500.0
1995-09-13,11.75,11.875,11.25,11.5,64700.0
1995-09-14,11.25,11.5,11.25,11.25,55000.0
1995-09-15,11.5,11.5,11.25,11.375,65800.0
1995-09-18,11.25,11.25,11.0,11.0,88200.0
1995-09-19,11.0,11.125,10.875,11.125,26800.0
1995-09-20,11.125,11.25,11.0,11.25,115800.0
1995-09-21,11.25,11.25,11.0,11.0,27900.0
1995-09-22,11.0,11.25,11.0,11.25,88000.0
1995-09-25,11.25,11.375,11.25,11.25,30300.0
1995-09-26,11.25,11.5,11.25,11.25,33800.0
1995-09-27,11.25,11.25,10.5,10.75,185500.0
1995-09-28,10.75,10.75,10.5,10.625,42900.0
1995-09-29,10.625,10.625,10.5,10.5,36900.0
1995-10-02,10.5,10.5,10.0,10.0,77900.0
1995-10-03,10.125,10.125,9.25,9.375,48100.0
1995-10-04,9.125,9.125,8.375,8.625,51700.0
1995-10-05,8.5,9.0,8.5,8.8125,152900.0
1995-10-06,8.75,9.0,8.75,8.875,69800.0
1995-10-09,8.8125,8.8125,7.25,7.75,200200.0
1995-10-10,7.625,7.75,7.3125,7.375,90500.0
1995-10-11,7.625,8.0,7.375,8.0,105000.0
1995-10-12,8.0,8.25,7.875,8.25,48300.0
1995-10-13,8.125,8.5,8.0,8.125,47900.0
1995-10-16,8.125,8.375,8.0,8.375,135300.0
1995-10-17,8.375,8.75,8.375,8.75,59400.0
1995-10-18,8.75,9.0,8.5,8.75,176400.0
1995-10-19,8.625,8.875,8.625,8.625,16000.0
1995-10-20,8.625,9.0,8.625,8.625,8400.0
1995-10-23,8.625,9.0,8.625,9.0,4300.0
1995-10-24,9.0,9.0,8.625,9.0,9000.0
1995-10-25,8.625,8.75,8.5,8.5,9500.0
1995-10-26,8.5,8.625,8.125,8.125,20300.0
1995-10-27,8.125,8.375,8.125,8.125,2200.0
1995-10-30,8.375,8.625,8.125,8.625,9300.0
1995-10-31,8.25,8.625,8.0625,8.25,23800.0
1995-11-01,8.375,8.375,7.875,8.0,24500.0
1995-11-02,8.0,8.0,7.5,7.625,12100.0
1995-11-03,7.625,8.0,7.625,7.625,25600.0
1995-11-06,8.0,8.0,7.625,7.625,3900.0
1995-11-07,7.625,7.875,7.375,7.5,47500.0
1995-11-08,7.625,7.625,7.375,7.375,14700.0
1995-11-09,7.625,7.625,7.375,7.625,10300.0
1995-11-10,7.625,7.625,7.375,7.5,27100.0
1995-11-13,7.375,7.625,7.375,7.375,35100.0
1995-11-14,7.375,7.625,7.375,7.625,50300.0
1995-11-15,7.375,7.625,7.375,7.625,9100.0
1995-11-16,7.375,7.625,7.375,7.5,35900.0
1995-11-17,7.625,8.25,7.625,8.25,35500.0
1995-11-20,8.0,8.25,8.0,8.0625,34500.0
1995-11-21,8.0,8.375,7.75,7.75,86500.0
1995-11-22,7.875,8.0,7.875,8.0,5000.0
1995-11-27,8.25,8.25,7.875,7.875,2700.0
1995-11-28,7.875,8.625,7.875,8.375,19100.0
1995-11-29,8.375,8.625,8.375,8.375,17200.0
1995-11-30,8.375,8.375,8.375,8.375,800.0
1995-12-01,8.375,8.625,8.375,8.375,4100.0
1995-12-04,8.5,8.5,8.375,8.4375,5200.0
1995-12-05,8.375,8.625,8.375,8.375,32600.0
1995-12-06,8.375,8.5,8.375,8.375,42000.0
1995-12-07,8.375,8.5,8.375,8.375,9500.0
1995-12-08,8.375,8.375,8.375,8.375,14700.0
1995-12-11,8.375,8.75,8.375,8.75,3800.0
1995-12-12,8.375,8.5,8.25,8.25,54700.0
1995-12-13,8.25,8.25,8.25,8.25,17600.0
1995-12-14,8.375,8.375,8.25,8.25,51900.0
1995-12-15,8.25,8.25,7.875,7.875,29500.0
1995-12-18,7.625,7.625,7.5,7.5,8300.0
1995-12-19,7.5,7.5,7.375,7.5,18500.0
1995-12-20,7.375,7.375,7.375,7.375,5100.0
1995-12-21,7.5,7.5,7.375,7.375,51700.0
1995-12-22,7.375,7.375,7.25,7.25,9400.0
1995-12-26,7.25,7.375,7.0,7.25,24300.0
1995-12-27,7.0,7.125,7.0,7.0,39300.0
1995-12-28,7.0,7.25,6.75,6.75,40000.0
1995-12-29,6.875,7.0,6.75,6.75,46500.0
1996-01-02,6.75,7.0,6.75,7.0,2300.0
1996-01-03,7.0,7.0,6.875,6.875,4400.0
1996-01-04,6.875,6.875,6.75,6.75,21500.0
