Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-04-15,23.0,25.3,21.67,23.25,450892.0
2015-04-16,23.56,24.7,22.7,22.71,71211.0
2015-04-17,23.0,26.64,23.0,26.18,62281.0
2015-04-20,27.57,32.15,27.0,31.5,172761.0
2015-04-21,32.46,32.5,26.74,27.37,91769.0
2015-04-22,29.0,29.66,27.38,27.55,40080.0
2015-04-23,27.5,28.51,27.0,27.44,32276.0
2015-04-24,27.5,27.5,22.55,22.94,94199.0
2015-04-27,23.37,23.41,19.62,19.95,141205.0
2015-04-28,19.95,20.53,19.62,19.89,59453.0
2015-04-29,20.05,20.95,19.7,19.94,60486.0
2015-04-30,20.0,21.5,18.25,18.25,73071.0
2015-05-01,18.71,19.32,17.4,17.64,78773.0
2015-05-04,17.98,19.64,17.98,18.66,73862.0
2015-05-05,19.09,19.5,17.19,18.2,70974.0
2015-05-06,18.1,18.6,17.55,17.63,28513.0
2015-05-07,18.0,18.43,18.0,18.23,18909.0
2015-05-08,18.94,19.53,18.94,19.095,35527.0
2015-05-11,19.5,21.25,19.5,20.14,105234.0
2015-05-12,20.5,20.9,20.0,20.2,90639.0
2015-05-13,21.43,21.52,20.39,20.75,37813.0
2015-05-14,20.64,20.64,19.67,19.74,51646.0
2015-05-15,19.64,21.18,19.39,19.93,19076.0
2015-05-18,20.1,20.24,19.66,19.75,24560.0
2015-05-19,20.24,20.34,18.12,18.42,44845.0
2015-05-20,18.59,19.5,18.42,18.84,47158.0
2015-05-21,18.85,19.54,18.8,19.05,28547.0
2015-05-22,19.4,20.99,19.0,20.59,103555.0
2015-05-26,20.9,21.56,20.01,20.22,88520.0
2015-05-27,22.22,22.6,20.0,20.01,72285.0
2015-05-28,20.63,20.63,19.5,19.92,58967.0
2015-05-29,19.84,20.31,18.96,19.12,60303.0
2015-06-01,19.29,19.74,17.9,18.59,59048.0
2015-06-02,18.9,19.5,18.4,19.19,53956.0
2015-06-03,19.5,20.74,19.27,20.6,35523.0
2015-06-04,20.4,20.74,19.31,19.31,93453.0
2015-06-05,19.79,20.35,19.5,20.2,56379.0
2015-06-08,20.2,20.94,19.61,20.93,37126.0
2015-06-09,20.75,21.9,20.41,21.69,86704.0
2015-06-10,21.9,22.29,21.34,22.01,45262.0
2015-06-11,22.15,22.15,21.61,22.0,20166.0
2015-06-12,22.13,22.15,21.72,22.15,23975.0
2015-06-15,22.5,22.75,21.63,21.99,38340.0
2015-06-16,22.3,22.82,20.68,20.68,35166.0
2015-06-17,21.04,21.42,20.72,21.19,15638.0
2015-06-18,21.27,22.45,20.52,20.63,60074.0
2015-06-19,20.77,21.11,20.09,20.16,187471.0
2015-06-22,20.15,21.41,20.11,20.49,42371.0
2015-06-23,20.63,20.63,19.85,20.11,40220.0
2015-06-24,20.01,20.46,19.7,19.99,81255.0
2015-06-25,19.9,19.9,18.6,19.68,33095.0
2015-06-26,19.83,19.83,18.82,18.97,229943.0
2015-06-29,18.75,19.2,18.25,18.26,25560.0
2015-06-30,18.0,19.01,17.98,18.08,44243.0
2015-07-01,18.37,18.66,17.9,18.02,27082.0
2015-07-02,17.96,18.0,17.5,17.72,28131.0
2015-07-06,18.1,18.62,18.1,18.39,26406.0
2015-07-07,18.85,19.51,18.44,18.64,72775.0
2015-07-08,18.67,18.68,16.7,16.7,27656.0
