Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2015-07-31,9.1,9.1,8.75,8.85,47295.0
2015-08-03,8.99,9.03,8.8,8.82,10900.0
2015-08-04,8.82,8.91,8.78,8.78,11603.0
2015-08-05,8.75,8.77,8.7,8.77,24034.0
2015-08-06,8.9,9.06,8.9,8.95,27742.0
2015-08-07,9.05,9.05,8.9,8.95,10100.0
2015-08-10,8.95,8.95,8.9,8.95,8413.0
2015-08-11,8.98,8.98,8.9,8.9,1063.0
2015-08-12,8.97,8.97,8.95,8.95,1176.0
2015-08-13,9.04,9.04,9.0,9.0,6475.0
2015-08-14,9.04,9.04,8.87,8.9,6404.0
2015-08-17,8.9,8.95,8.9,8.95,1312.0
2015-08-18,8.5,9.0,8.5,9.0,3979.0
2015-08-19,9.0,9.0,8.9,8.9,2788.0
2015-08-20,8.9,8.9,8.81,8.81,4700.0
2015-08-21,8.81,8.81,8.7,8.725,4042.0
2015-08-24,8.77,8.77,8.0,8.6,23600.0
2015-08-25,8.99,8.99,8.67,8.71,628.0
2015-08-26,8.61,8.69,8.6,8.67,1963.0
2015-08-27,8.52,8.695,8.5,8.695,700.0
2015-08-28,7.95,8.6,7.95,8.57,1008.0
2015-08-31,8.56,8.6,8.53,8.53,940.0
2015-09-01,8.53,8.55,8.46,8.46,710.0
2015-09-02,8.9,9.0,8.9,9.0,18916.0
2015-09-03,9.0,9.0,8.75,8.87,4516.0
2015-09-04,8.87,8.87,8.79,8.8,1149.0
2015-09-08,8.97,9.15,8.8,9.15,5490.0
2015-09-09,8.87,9.14,8.87,9.13,2476.0
2015-09-10,8.8,9.03,8.74,8.74,1072.0
2015-09-11,8.95,9.1,8.95,9.1,2607.0
2015-09-14,9.0,9.12,9.0,9.12,2149.0
2015-09-15,8.95,9.08,8.95,9.05,2152.0
2015-09-16,9.0,9.09,8.75,8.75,3712.0
2015-09-17,8.5,8.8,8.25,8.62,9677.0
2015-09-18,8.31,8.5,8.0,8.1,38509.0
2015-09-21,8.19,8.63,7.98,8.31,3048.0
2015-09-22,8.61,8.61,8.07,8.26,4943.0
2015-09-23,8.35,8.46,8.3,8.36,643.0
2015-09-24,8.87,9.0,8.66,8.85,3292.0
2015-09-25,8.12,8.49,8.12,8.36,1224.0
2015-09-28,8.42,8.42,8.26,8.35,875.0
2015-09-29,8.16,8.16,7.66,7.7,2701.0
2015-09-30,7.73,8.59,7.73,8.59,3839.0
2015-10-01,8.19,8.5,8.08,8.08,711.0
2015-10-02,7.8,7.88,7.51,7.88,2615.0
2015-10-05,7.74,8.36,7.74,8.36,407.0
2015-10-06,8.37,8.37,8.37,8.37,223.0
2015-10-07,8.17,8.36,8.09,8.36,1977.0
2015-10-08,8.17,8.25,8.17,8.25,400.0
2015-10-09,8.16,8.2,8.16,8.2,101.0
2015-10-12,8.25,8.38,8.0,8.38,1480.0
2015-10-13,8.06,8.06,8.03,8.05,521.0
2015-10-14,7.76,8.05,7.76,8.05,600.0
2015-10-15,7.87,8.275,7.85,8.275,1100.0
2015-10-16,8.06,8.06,7.96,8.03,3297.0
2015-10-19,7.91,8.08,7.91,8.08,2620.0
2015-10-20,7.99,8.0,7.77,8.0,1400.0
2015-10-21,7.86,7.86,7.86,7.86,400.0
2015-10-22,7.77,7.9,7.77,7.9,303.0
2015-10-23,7.95,7.95,7.9,7.9,431.0
2015-10-26,7.85,7.92,7.56,7.56,177.0
2015-10-27,7.47,7.5,7.47,7.48,1637.0
2015-10-28,7.5,7.71,7.5,7.71,291.0
2015-10-29,7.29,7.46,6.97,7.39,2219.0
2015-10-30,6.85,7.18,6.85,7.1,1315.0
2015-11-02,7.19,7.24,7.19,7.24,327.0
2015-11-03,7.16,7.16,7.16,7.16,100.0
