Date,OPEN,HIGH,LOW,CLOSE,VOLUME
2013-09-19,18.5,20.8,18.5,19.99,2097601.0
2013-09-20,20.45,20.99,19.8,20.99,67848.0
2013-09-23,21.25,21.68,19.83,20.03,66183.0
2013-09-24,20.15,22.0,19.94,21.7,32885.0
2013-09-25,22.49,22.98,22.15,22.57,18511.0
2013-09-26,23.29,23.31,21.91,22.14,32240.0
2013-09-27,21.84,23.0,21.84,22.92,9790.0
2013-09-30,22.8,22.94,22.08,22.23,14363.0
2013-10-01,22.23,22.84,21.99,22.5,14939.0
2013-10-02,22.55,23.49,22.2,23.49,5500.0
2013-10-03,24.0,25.97,23.27,25.79,35861.0
2013-10-04,25.79,26.52,25.41,25.89,24008.0
2013-10-07,25.75,26.09,25.18,25.9,40173.0
2013-10-08,25.71,26.04,22.8,23.2,32568.0
2013-10-09,23.11,23.11,19.24,19.98,66482.0
2013-10-10,20.9,22.28,20.37,20.63,74738.0
2013-10-11,20.5,22.38,20.5,22.12,27431.0
2013-10-14,22.48,22.52,21.19,21.28,34487.0
2013-10-15,21.28,22.25,21.28,22.13,14474.0
2013-10-16,22.2,22.7,22.0,22.62,14489.0
2013-10-17,22.6,22.6,21.55,22.05,10875.0
2013-10-18,21.4,22.8,21.4,22.8,17081.0
2013-10-21,22.82,22.82,22.0,22.37,6254.0
2013-10-22,22.37,22.85,22.11,22.75,5034.0
2013-10-23,22.76,23.33,22.57,23.06,4184.0
2013-10-24,23.34,23.4,23.0,23.25,12165.0
2013-10-25,22.94,23.77,22.85,22.85,6829.0
2013-10-28,22.86,23.99,22.0,23.76,8726.0
2013-10-29,23.58,23.58,22.14,22.74,3608.0
2013-10-30,22.92,23.04,22.76,22.85,22308.0
2013-10-31,22.87,22.87,21.59,22.54,9867.0
2013-11-01,22.52,22.52,21.1,21.24,1696.0
2013-11-04,21.24,21.24,20.0,20.28,20366.0
2013-11-05,20.33,22.22,20.33,21.46,19180.0
2013-11-06,21.54,21.63,16.78,19.53,79161.0
2013-11-07,20.31,20.45,17.4,17.4,15673.0
2013-11-08,17.42,18.79,16.78,18.5,12225.0
2013-11-11,18.55,19.05,18.55,19.03,4299.0
2013-11-12,19.05,19.3,18.88,19.01,9514.0
2013-11-13,18.94,19.75,18.94,19.55,5292.0
2013-11-14,19.59,19.59,19.29,19.29,3331.0
2013-11-15,19.27,20.38,19.27,19.71,8669.0
2013-11-18,19.7,19.77,19.29,19.47,18894.0
2013-11-19,19.51,19.91,19.47,19.77,2511.0
2013-11-20,19.79,20.04,19.76,19.76,3589.0
2013-11-21,20.09,20.52,19.875,20.52,4150.0
2013-11-22,21.02,21.88,19.96,21.07,4858.0
2013-11-25,20.87,21.49,20.87,21.24,5866.0
2013-11-26,21.49,21.64,20.92,21.64,2290.0
2013-11-27,21.52,21.995,21.34,21.68,10360.0
2013-11-29,21.81,22.08,21.62,21.77,1652.0
2013-12-02,21.76,22.11,21.6,22.09,5147.0
2013-12-03,22.11,23.5,21.83,23.28,14795.0
2013-12-04,23.27,24.68,23.21,24.08,20435.0
2013-12-05,24.03,24.77,23.51,24.11,9620.0
2013-12-06,24.11,26.01,23.96,25.99,20282.0
2013-12-09,26.23,28.73,26.23,27.24,32449.0
2013-12-10,27.47,29.99,27.08,29.92,14500.0
2013-12-11,30.61,31.43,27.38,28.07,45682.0
2013-12-12,27.0,29.48,25.57,29.22,70209.0
2013-12-13,28.9,29.89,28.37,29.19,12614.0
2013-12-16,28.98,30.44,28.49,28.72,37108.0
2013-12-17,28.92,28.92,26.94,27.62,29873.0
2013-12-18,27.86,29.92,26.86,27.21,94869.0
2013-12-19,26.87,28.93,26.38,28.74,49580.0
2013-12-20,29.0,30.0,27.13,30.0,613559.0
2013-12-23,29.73,33.83,29.73,32.97,39485.0
2013-12-24,32.97,33.71,31.85,32.75,20741.0
2013-12-26,32.85,35.44,32.26,35.14,38939.0
2013-12-27,35.81,37.08,34.49,35.25,36040.0
2013-12-30,35.58,37.11,35.15,35.26,29764.0
2013-12-31,35.15,39.98,35.15,39.6,58616.0
2014-01-02,39.92,40.0,36.86,38.11,33292.0
2014-01-03,38.2,39.98,37.83,39.01,36081.0
2014-01-06,39.38,40.95,38.18,40.94,45175.0
2014-01-07,41.81,43.7,41.39,41.67,70634.0
2014-01-08,41.46,42.29,40.28,41.26,32836.0
2014-01-09,42.06,49.32,42.0,48.99,66486.0
2014-01-10,48.76,48.76,40.98,47.15,166269.0
2014-01-13,45.64,48.27,45.43,46.31,48828.0
2014-01-14,46.31,48.71,46.31,48.52,20589.0
2014-01-15,49.31,50.65,48.03,48.73,31064.0
2014-01-16,48.49,48.49,47.25,47.42,14637.0
2014-01-17,47.1,50.01,46.09,49.14,49414.0
2014-01-21,47.0,51.74,46.87,51.66,42969.0
2014-01-22,51.54,57.69,51.26,56.7,78533.0
2014-01-23,53.25,53.39,50.92,51.01,586708.0
2014-01-24,50.78,51.59,48.77,49.03,74486.0
2014-01-27,49.0,49.0,44.24,46.08,99754.0
2014-01-28,46.0,48.33,46.0,47.39,45441.0
2014-01-29,48.4,50.25,47.39,49.64,69359.0
2014-01-30,51.91,52.53,49.17,49.65,84453.0
2014-01-31,48.66,48.77,44.21,46.35,120662.0
2014-02-03,46.1,46.1,43.51,44.63,47505.0
2014-02-04,45.01,46.94,43.95,44.48,44747.0
2014-02-05,44.03,45.37,43.81,44.54,22443.0
2014-02-06,44.97,45.21,44.345,44.5,25767.0
2014-02-07,45.41,45.41,42.76,43.47,52364.0
2014-02-10,43.94,45.48,43.45,45.24,30929.0
2014-02-11,45.5,45.5,43.88,44.44,28377.0
2014-02-12,44.34,44.92,43.53,43.79,28134.0
2014-02-13,43.13,44.34,40.3,43.99,64124.0
2014-02-14,43.37,43.46,41.25,41.75,64012.0
2014-02-18,42.16,45.89,41.7,45.61,67398.0
2014-02-19,45.33,46.5,44.0,44.36,54806.0
2014-02-20,44.17,46.52,43.19,46.08,53792.0
2014-02-21,46.32,48.04,43.55,47.49,73957.0
2014-02-24,47.79,48.82,44.89,45.28,97169.0
2014-02-25,46.5,47.28,45.2,46.87,46020.0
2014-02-26,46.0,50.1,46.0,46.9,64326.0
2014-02-27,46.52,47.64,45.12,47.03,62955.0
2014-02-28,46.84,48.59,45.62,46.93,51257.0
2014-03-03,46.29,49.28,46.29,48.52,48140.0
2014-03-04,49.1,53.66,48.96,50.52,57221.0
2014-03-05,50.48,53.39,50.48,52.27,45721.0
2014-03-06,52.35,53.86,50.82,51.75,39436.0
2014-03-07,52.43,52.43,48.87,51.43,46354.0
2014-03-10,51.45,52.4,49.41,50.14,45482.0
2014-03-11,51.1,51.29,47.83,47.98,44954.0
2014-03-12,47.51,49.3,47.47,48.13,30250.0
2014-03-13,48.42,48.61,45.1,45.64,46489.0
2014-03-14,45.3,47.54,44.23,45.25,50340.0
2014-03-17,45.56,45.83,42.47,42.5,80499.0
2014-03-18,42.6,43.07,38.01,40.08,255549.0
2014-03-19,40.23,40.49,39.56,39.8,99950.0
2014-03-20,39.55,39.56,38.38,38.92,51258.0
2014-03-21,38.98,39.01,38.61,39.01,200959.0
2014-03-24,39.05,39.27,37.99,38.55,47989.0
2014-03-25,38.78,39.03,37.64,38.2,86953.0
2014-03-26,38.64,38.64,36.58,36.75,73034.0
2014-03-27,36.83,36.83,35.94,36.31,49799.0
2014-03-28,36.25,36.92,33.94,34.28,70720.0
2014-03-31,34.69,35.0,33.86,34.5,58691.0
2014-04-01,34.74,35.24,33.04,33.87,39396.0
2014-04-02,38.0,41.58,37.4,38.33,220993.0
2014-04-03,38.0,38.53,35.56,37.16,74465.0
2014-04-04,37.41,37.41,34.65,35.96,48846.0
2014-04-07,35.62,36.64,35.42,36.37,73362.0
2014-04-08,36.46,36.56,35.96,36.01,58193.0
2014-04-09,36.3,38.01,36.0,37.83,40619.0
2014-04-10,38.44,38.44,36.05,36.71,87417.0
2014-04-11,36.24,37.77,34.87,36.54,60785.0
2014-04-14,36.84,38.49,35.92,37.16,85485.0
2014-04-15,37.22,37.25,33.75,34.5,81726.0
2014-04-16,34.72,38.17,34.66,37.8,94570.0
2014-04-17,38.02,39.21,37.7,38.41,69301.0
2014-04-21,38.08,38.53,35.81,36.37,56112.0
2014-04-22,35.75,36.46,34.68,35.01,117222.0
2014-04-23,35.0,35.02,33.15,33.42,55191.0
2014-04-24,33.63,34.61,30.01,31.85,117754.0
2014-04-25,32.38,32.55,31.135,32.5,78773.0
2014-04-28,32.74,32.74,30.98,32.42,66722.0
2014-04-29,32.5,33.78,32.38,33.7,39431.0
2014-04-30,33.46,34.48,32.8,34.35,62942.0
2014-05-01,34.03,34.42,32.61,34.16,39025.0
2014-05-02,34.13,34.18,33.1,33.7,20902.0
2014-05-05,33.25,35.37,32.73,33.37,36304.0
2014-05-06,33.28,33.64,31.13,31.17,49967.0
2014-05-07,31.72,32.78,30.38,32.69,71452.0
2014-05-08,32.01,33.04,31.48,32.1,38495.0
2014-05-09,31.93,32.7,31.0,31.87,69300.0
2014-05-12,31.78,33.12,31.78,32.65,56636.0
2014-05-13,32.72,34.87,32.23,32.74,32108.0
2014-05-14,32.73,32.97,31.53,31.75,61481.0
2014-05-15,32.32,32.32,31.0,31.56,75152.0
2014-05-16,31.77,32.35,31.36,31.98,107460.0
2014-05-19,31.68,32.57,31.09,31.52,74086.0
2014-05-20,31.51,32.5,31.43,31.76,91839.0
2014-05-21,31.78,32.04,28.66,29.43,119111.0
2014-05-22,29.61,31.93,28.59,31.23,102698.0
2014-05-23,30.64,31.49,30.08,30.66,41998.0
2014-05-27,30.76,31.2,30.35,31.0,49889.0
2014-05-28,31.0,31.21,30.86,30.94,64419.0
2014-05-29,31.2,31.44,29.97,30.21,65644.0
2014-05-30,30.34,30.34,29.13,29.68,100547.0
2014-06-02,29.61,30.095,29.14,30.0,53654.0
2014-06-03,29.49,30.09,29.23,30.0,94548.0
2014-06-04,29.83,30.19,29.73,29.94,40859.0
2014-06-05,30.12,30.71,29.95,30.23,54412.0
2014-06-06,30.4,31.05,30.21,30.72,57890.0
2014-06-09,30.67,32.37,30.67,32.2,111061.0
2014-06-10,32.17,34.07,31.84,33.7,89633.0
2014-06-11,33.45,33.75,32.15,32.65,52594.0
2014-06-12,32.43,34.48,31.94,34.24,102089.0
2014-06-13,34.16,34.28,33.21,33.88,93407.0
2014-06-16,34.08,34.21,31.76,32.88,116876.0
2014-06-17,32.74,34.33,32.61,34.1,130001.0
2014-06-18,34.13,34.84,34.0,34.58,105779.0
2014-06-19,34.86,34.9,33.78,34.34,38239.0
2014-06-20,34.52,35.09,33.88,34.77,317047.0
2014-06-23,34.7,35.88,34.53,34.61,70111.0
2014-06-24,34.47,35.31,33.37,33.5,56791.0
2014-06-25,33.35,34.97,33.11,34.67,52408.0
2014-06-26,34.79,35.08,34.46,34.78,62650.0
2014-06-27,34.59,35.05,34.47,34.47,683909.0
2014-06-30,34.22,34.41,33.43,33.97,126005.0
2014-07-01,34.05,34.33,33.94,34.05,96898.0
2014-07-02,33.93,34.99,33.91,34.0,80117.0
2014-07-03,34.0,34.0,33.05,33.28,36355.0
2014-07-07,33.26,33.26,31.08,31.34,42886.0
2014-07-08,31.3,31.3,28.89,29.04,58059.0
2014-07-09,29.04,30.38,28.05,30.19,46451.0
2014-07-10,29.4,30.49,29.36,30.4,37847.0
2014-07-11,30.27,30.89,30.02,30.3,39893.0
2014-07-14,30.54,30.54,28.27,28.37,53001.0
2014-07-15,28.44,28.5,26.99,27.36,86984.0
2014-07-16,27.44,28.07,27.31,27.78,54311.0
2014-07-17,27.59,27.71,25.25,25.54,77182.0
2014-07-18,25.5,26.82,25.48,26.75,50024.0
2014-07-21,26.48,27.11,26.11,27.07,32838.0
